name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sri Chowdeshwari Jyothishalaya,<,4.6,116 Ratings,"Maruleshwara Gudi Road Kollegal, Chamarajanagar",,,,true,false,false,true,true,Astrologers,,Chamarajanagar,2025-06-04T09:15:45.388Z
Shri Raja Rajeshwari Jyothishalaya,<,4.0,47 Ratings,"Opposite New Busstand Kollegal, Chamarajanagar",,,,true,false,false,true,true,Astrologers,,Chamarajanagar,2025-06-04T09:15:45.388Z
Sri Durgamba Jyothishyalaya,<,4.8,103 Ratings,"Dr Ambedkar Road Kollegal, Chamarajanagar",,,,true,false,false,true,true,Astrologers,,Chamarajanagar,2025-06-04T09:15:45.389Z
Om Sri Kollegala Famous Astrologer,<,4.5,93 Ratings,"Road Double Road Chamarajanagar, Chamarajanagar",,08401407674,,true,false,false,true,true,Astrologers,,Chamarajanagar,2025-06-04T09:15:45.416Z
Sri Mahadeshwara Jyothishyalaya,<,4.5,34 Ratings,"Veterinary Hospital Kollegal, Chamarajanagar",,,,true,false,false,true,true,Astrologers,,Chamarajanagar,2025-06-04T09:15:45.417Z
Kollegalada Mantrika Jothishyaru,<,4.8,71 Ratings,"Kollegala Chamarajanagar HO, Chamarajanagar",,07411947800,,true,false,false,false,true,Astrologers,,Chamarajanagar,2025-06-04T09:15:45.417Z
Kollegala Kaalikamba Jyothishyalaya,<,5.0,49 Ratings,"Malavalli Main Road Kollegala, Chamarajanagar",,08460534288,,true,false,false,true,true,Astrologers,,Chamarajanagar,2025-06-04T09:15:45.417Z
Kollegala Pandith Modi Yallappa Guruji,<,5.0,17 Ratings,"Kollegal, Chamarajanagar",,06366960242,,true,false,false,false,true,Astrologers,,Chamarajanagar,2025-06-04T09:15:45.417Z
Kollegalada Vamsha Paramparika Jothishyaru,<,4.6,52 Ratings,"Kollegala Main Road Sathegala, Chamarajanagar",,09980896150,,true,false,false,false,true,Astrologers,,Chamarajanagar,2025-06-04T09:15:45.417Z
Kollegala Mantrikaru.,<,4.8,43 Ratings,"Devangapete Beedi Kollegala, Chamarajanagar",,08460304154,,true,false,false,false,true,Astrologers,,Chamarajanagar,2025-06-04T09:15:45.417Z
Kadu Kurabara Devi Aradhakaru Pandith Suresh Sathri,+,4.7,3 Ratings,"Narsipura Main ROAD Kollegal, Chamarajanagar",,09724067552,,true,false,false,false,true,Astrologers,,Chamarajanagar,2025-06-04T09:15:45.418Z
