name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Taj Car Garage,<,4.4,50 Ratings,"Ooty Road Gundlupet Gundlupet, Chamarajanagar",,,Garages; Car Repair & Services,true,false,false,false,true,Car Repair & Services,,Chamarajanagar,2025-06-04T09:38:57.537Z
Janani Car Care,<,4.9,5 Ratings,"Santhemaralli Road Doddarayapet, Chamarajanagar",,,DoorStep Service; Customer Lounge,true,false,false,false,true,Car Repair & Services,,Chamarajanagar,2025-06-04T09:38:57.537Z
Mandovi Motors,<,4.1,294 Ratings,"Sampige Road Agara Chamrajnagar, Chamarajanagar",,,Motor Training,true,false,false,false,true,Car Repair & Services,,Chamarajanagar,2025-06-04T09:38:57.537Z
MRF Tyre Showroom,<,4.6,110 Ratings,"Hills Double Road Chamarajanagar, Chamarajanagar",,,Company Authorised Dealer,true,false,false,false,true,Car Repair & Services,,Chamarajanagar,2025-06-04T09:38:57.537Z
Taj Car Garage,<,4.4,50 Ratings,"Ooty Main Road Gundlupet, Chamarajanagar",,,Garages; Car Repair & Services,true,false,false,false,false,Car Repair & Services,,Chamarajanagar,2025-06-04T09:38:57.537Z
Star Hyundai,<,4.6,23 Ratings,"Kollegala Road Kollegal, Chamarajanagar",,,Car Dealers; Car Repair & Services,true,false,false,false,true,Car Repair & Services,,Chamarajanagar,2025-06-04T09:38:57.537Z
Thirumalai Motors,<,3.9,25 Ratings,"Mysore - Ooty Road Begur, Chamarajanagar",,,Car Repair & Services; Tyre Puncture Repair,true,false,false,false,false,Car Repair & Services,,Chamarajanagar,2025-06-04T09:38:57.537Z
Fixplus Auto Care Centre,<,4.5,20 Ratings,"Industrial Area Kollegal, Chamarajanagar",,,Oil Change; DoorStep Service; On Site Services,true,false,false,false,true,Car Repair & Services,,Chamarajanagar,2025-06-04T09:38:57.537Z
Bettahalli Maramma Garage,<,4.8,12 Ratings,"Vivekananda School Opp Hanur, Chamarajanagar",,,Oil Change,true,false,false,false,true,Car Repair & Services,,Chamarajanagar,2025-06-04T09:38:57.537Z
Muskegon Service Station Auto Works,<,4.0,14 Ratings,"Chamarajanagara Road Gundlupet, Chamarajanagar",,,Garages; Car Repair & Services,true,false,false,false,false,Car Repair & Services,,Chamarajanagar,2025-06-04T09:38:57.537Z
India Garage,+,3.5,13 Ratings,"Sathyamangal Road Chamarajanag, Chamarajanagar",,,Car Dealers; Garages,true,false,false,false,false,Car Repair & Services,,Chamarajanagar,2025-06-04T09:38:57.538Z
