name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Hotel Bhagya Veg Deluxe,<,3.8,"2,535 Ratings","Road Chamarajanagar Ho, Chamarajanagar",,07041652465,,false,false,false,true,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.539Z
Sree Durga Parameshwari Catering Service,<,4.5,15 Ratings,"Main Road Hanumantha Nagar, Bangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.540Z
Majisa Rnm Sweets and Caterers,<,5.0,2 Ratings,"2nd Cross Road Robertsonpet, Kolar",,09972933072,Caterers For Office; Caterers,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.540Z
Sri Karpagarani Kerala Chenda Melam And A To Z Wedding Planners,<,3.8,110 Ratings,"Sabapathy Street Sangliandapuram, Trichy",,,Caterers; Chenda Melam Players,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.541Z
Masters Event Management,<,4.5,85 Ratings,"Ward No 8 Town Hall Sqaure, Chickballapur",,,Event Organisers; Caterers,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.541Z
Sri Gulab Caterers & Events,<,4.8,43 Ratings,"Androon Quilla, Raichur",,,,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.541Z
Sri Maa Asapura Caterers,<,4.8,18 Ratings,"Gunj Road M G Road Raichur, Raichur",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.542Z
Sr Events,<,4.4,18 Ratings,"Puduru Palakollu, West Godavari",,08460403938,Event Organisers; Caterers,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.542Z
Abhinandan Events Pvt. Ltd.,<,4.3,389 Ratings,"Mudhliyar Nagar Rukhmini Nagar, Amravati",,,Book Appointment,true,true,false,true,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.542Z
Enzoey.com,<,4.5,133 Ratings,Mumbai,,08488949380,,true,true,false,true,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.542Z
Ebk Event Management Pvt Ltd,+,4.6,53 Ratings,"Extension 2 Nangloi Extension, Delhi",,08511787702,,true,true,false,true,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.543Z
Hotel Hamza,+,3.9,294 Ratings,"Kollegal, Chamarajanagar",,,,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.543Z
Rotighar Garden Restaurant,+,4.2,"2,726 Ratings","1st Cross Rd Chamarajanagar HO, Chamarajanagar",,,,false,false,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.543Z
Al Makkah Hotel,A,3.9,73 Ratings,"Chamrajnagar Main Road Gundlupet, Chamarajanagar",,,,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.543Z
Hotel Tippu Taj,+,3.7,217 Ratings,"Peace Park Road Kollegal, Chamarajanagar",,,,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.543Z
Khwaja Hotel,+,3.7,123 Ratings,"Agrahara Street Chamarajanagar, Chamarajanagar",,,,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.543Z
Chamarajanagar City,C,3.6,136 Ratings,"Double Road Chamarajanagar, Chamarajanagar",,,Caterers,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.543Z
Kumar Ice Cream Parlour,+,3.5,2 Ratings,"G P Rajarathnam Road Gundlupet, Chamarajanagar",,,,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.543Z
Wonder Sip,+,4.0,3 Ratings,"Road Double Road Chamarajanagar, Chamarajanagar",,,,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.544Z
Dhanyashree Fast Food,+,3.0,2 Ratings,"Nanjanagud Chinnadagudihundi, Mysore",,,,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.544Z
G M G Group Of Catering And Supply Services,G,4.0,2 Ratings,"Gejjiganahalli, Mysore",,,Caterers,false,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.544Z
Guru Tiffanys,+,4.7,58 Ratings,"Road Tirumakudalu Narasipura, Mysore",,,Parking Available,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.544Z
Chandru Adigai Contractor,C,5.0,1 Ratings,"Hegadaihalli Nanjangud, Nanjangud",,,Caterers; Caterers Upto 150 Persons,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.545Z
Guru Renuka Supplier,G,4.0,2 Ratings,"6th Cross Roadon Road Nanjangud, Nanjangud",,,Tent House; Caterers,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.545Z
Upachar Restaurant,+,4.9,4 Ratings,"Mysore Ooty Road Nanjangud, Nanjangud",,,,false,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.545Z
Shubham Catering Services,S,4.5,16 Ratings,"Road Immavu, Mysore",,,Caterers; Caterers For Wedding,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.546Z
Paripoorana Event Management,P,2.5,2 Ratings,"100 Feet Road Hosahalli, Mandya",,,Caterers; Flower Decorators,false,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.546Z
Suvai Catering Service,S,4.3,3 Ratings,Chamarajanagar,,,Caterers; Caterers For Wedding,false,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.546Z
Bharath Mobiles,B,4.3,3 Ratings,"Hosahundi, Mysore",,,Caterers; Mobile Catering Services,false,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.546Z
Shree Catering Services,+,4.8,2 Ratings,"Nedugula Kodanad, Kotagiri",,,Caterers; Caterers For Function,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.546Z
Hotel Green Taj,+,3.5,22 Ratings,"Sathyamangalam Road Hasanur, Erode",,,,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.546Z
SLN Caterers,S,4.4,10 Ratings,"Srinagar Mysore South, Mysore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.547Z
G M Caterers,G,4.6,5 Ratings,"Mandakalli Kadakola, Mysore",,,Caterers,false,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.547Z
A1 Food Service,A,4.0,1 Ratings,"Road Sri Chamundeshwari Layout, Mysore",,,Caterers,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.547Z
Snb Caterers,S,3.4,5 Ratings,"Mysuru Krishnadhama Nagar, Mysore",,,Caterers,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.547Z
Bambooz Food Bay,+,4.2,70 Ratings,"Narasipura Main Road Alanahalli, Mysore",,,,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.547Z
Lokesh Caterers,L,4.5,27 Ratings,"6th Cross Road Nazarbad, Mysore",,,Caterers,false,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.548Z
The Catering Hub,T,4.6,6 Ratings,"Honaganahalli, Mysore",,,Caterers,false,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.548Z
Shankar Catering,S,5.0,2 Ratings,"Layout Siddhartha Layout, Mysore",,,Caterers; Caterers For Function,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.548Z
Takshak Events,+,5.0,19 Ratings,"Alanahalli Village, Mysore",,,Videography,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.548Z
Sri Basveswara Tent House,+,5.0,2 Ratings,"Nagar Main J P Nagar, Mysore",,,Tent House; Caterers,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.549Z
Niveditha Event Management & Organisers,N,5.0,3 Ratings,"Vinayaka Enclave J P Nagar, Mysore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.549Z
Srinidhi Caterers,S,4.8,37 Ratings,"13th Cross Road J P Nagar, Mysore",,,Caterers; Caterers For Wedding,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.549Z
Siri Chicken Center,S,2.5,2 Ratings,"Main Road N H Palya, Mysore",,,Caterers,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.549Z
Sri Hari Caterers,+,4.8,499 Ratings,"B Block Jp Nagar, Mysore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.549Z
Desi Dhabha,D,4.5,6 Ratings,"Akkamahadevi Road J P Nagar, Mysore",,,,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.549Z
Shariff Caterers,+,4.7,119 Ratings,"Main Road Kalyana Girinagar, Mysore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.549Z
Menaka Catering,M,4.3,3 Ratings,"Vishweshwara Nagar, Mysore",,,Caterers,false,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.549Z
Radhe Krishna Catress,+,4.5,1 Ratings,"Siddhartha Layout, Mysore",,,Home Delivery,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.550Z
S.N.S Catering,+,3.0,2 Ratings,"Gundurao Nagar, Mysore",,,Caterers,false,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.550Z
Ambari Convention Hall,+,4.3,"1,262 Ratings","Theatre Road Vishweshwara Nagar, Mysore",,,Caterers; Convention Halls,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.550Z
Prithvi Catering,P,4.0,2 Ratings,"Main Road Siddarthanagar, Mysore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.550Z
Mahesh Caterers,M,3.8,5 Ratings,"Siddalingeshwara Layout Stage 1, Mysore",,,Caterers,false,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.550Z
Urs cafe,U,5.0,1 Ratings,"Main Road Vishweshwara Nagar, Mysore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.550Z
Srk Catering,+,5.0,136 Ratings,"Hoysalanagar Vidyaranyapuram, Mysore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.550Z
Srk Catering,+,5.0,136 Ratings,"Kanakagiri, Mysore",,,Caterers,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.550Z
Tt Temper Glass,T,4.3,3 Ratings,"Kc Layout Kc Layout, Mysore",,,Caterers; Mobile Catering Services,false,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.550Z
Patel Gardenia,+,3.9,439 Ratings,"HD Kote Main Road Rayanakere, Mysore",,,,true,false,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.550Z
H W Catterers,H,4.3,3 Ratings,"Rajkumar Main Alan Halli Layout, Mysore",,,Caterers,false,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.550Z
Shakambhari Karmanushtana Bhavana,S,4.7,8 Ratings,"7th Cross Road J P Nagar, Mysore",,,Caterers,false,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.550Z
M S Furnishers & Decorators,+,4.3,3 Ratings,"Bannur Road Siddhartha Layout, Mysore",,,On Site Services,true,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.551Z
C R Shravya Tent House,+,4.3,10 Ratings,"Rajkumar Road Yaraganahalli, Mysore",,08511210163,Home Delivery,true,true,false,true,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.551Z
Kgn Caterers,K,4.6,5 Ratings,"Road Manandavadi Road, Mysore",,,Caterers; Caterers For Wedding,false,true,false,false,false,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.551Z
Chamundeshwari Military Hotel,C,5.0,2 Ratings,"Bannur Main Road Siddarthanagar, Mysore",,,Home Delivery,false,true,false,false,true,Caterers,Popular Caterers,Chamarajanagar,2025-06-04T09:26:18.551Z
