name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Hotel Tippu Taj,<,3.7,217 Ratings,Chamarajanagar,,,,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.262Z
Sree Durga Parameshwari Catering Service,<,4.5,15 Ratings,Bangalore,,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.262Z
Majisa Rnm Sweets and Caterers,<,5.0,2 Ratings,Kolar,,09972933072,Caterers For Office; Caterers,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.262Z
Sri Gulab Caterers & Events,<,4.8,43 Ratings,Raichur,,,,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.263Z
Sri Maa Asapura Caterers,<,4.8,18 Ratings,Raichur,,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.263Z
Train Zaika,<,4.1,"1,296 Ratings",Bilaspur-Chhattisgarh,,07411587292,,false,false,false,true,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.263Z
Sab Hospitality Services,<,4.8,139 Ratings,Lucknow,,08460247319,Caterers For Hospital; Caterers For Wedding,true,false,false,true,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.263Z
Upachar Restaurant,<,4.9,4 Ratings,Nanjangud,,,,false,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.263Z
SLN Caterers,<,4.4,10 Ratings,Mysore,,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.263Z
Prithvi Catering,<,4.0,2 Ratings,Mysore,,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.263Z
C R Shravya Tent House,+,4.3,10 Ratings,Mysore,,08511210163,Home Delivery,true,false,false,true,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.263Z
Aathithya Caterers,A,3.4,12 Ratings,Mysore,,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.263Z
Chaithra Caterers,+,4.5,20 Ratings,Mysore,,08197228516,Home Delivery,true,false,false,true,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
Brother's Caterers,+,5.0,41 Ratings,Mysore,,09724742088,Non Veg Caterers; Caterers,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
Rakshitha Catering,R,5.0,2 Ratings,Mysore,,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
Smp Bhojanapriya,+,4.1,21 Ratings,Mysore,,09724658976,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
Sarovara Mess,+,4.3,4 Ratings,Mysore,,,Home Delivery,false,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
V Srinivasa Rao Catering & Cooking Contractors,V,4.7,9 Ratings,Mysore,,09054057385,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
Srinesh Catering,+,4.5,13 Ratings,Erode,,,Caterers; Caterers For Wedding,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
Crn Caterers,+,5.0,1 Ratings,Mysore,,,Caterers; Veg Caterers,false,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
Nagasri Caterers,N,5.0,12 Ratings,Mysore,,08460451875,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
Shabnam Catering,S,5.0,1 Ratings,Mysore,,,Home Delivery,false,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
SVK Caterers,S,4.2,14 Ratings,Mysore,,,,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
Bsl Caterers,B,4.6,7 Ratings,Mysore,,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
Akshay Veg Hotel,+,4.8,5 Ratings,Mysore,,,,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
Ayva Events,+,5.0,90 Ratings,Mysore,,,Event Decoration; Corporate; Name Printed Balloon,true,false,false,true,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
Sri Ramdev Caterers Mysore,+,4.6,11 Ratings,Mysore,,09980204685,Caterers; Veg Caterers,true,false,false,true,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
Shringeri Caterers,+,4.9,7 Ratings,Mysore,,07383736281,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
Sri Kheteshwar Caterers,S,4.7,3 Ratings,Mysore,,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.264Z
Sri Mahadeshwara Catering Contractor,+,3.0,2 Ratings,Mysore,,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.265Z
Shasta Caterers,+,4.2,15 Ratings,Mysore,,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.265Z
Sri Srinivasa Tent House,+,5.0,4 Ratings,Mysore,,,Tent House; Caterers,true,false,false,false,true,Caterers,Popular Caterers For Office,Chamarajanagar,2025-06-04T09:31:40.265Z
