name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Hotel Tippu Taj,<,3.7,217 Ratings,"Peace Park Road Kollegal, Chamarajanagar",,,,true,false,false,false,true,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.988Z
Hotel Arfa,<,4.1,51 Ratings,"Sathyamangal Road Chamarajanag, Chamarajanagar",,,Caterers For Parties; Caterers For Non Veg Biryani,true,false,false,false,true,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.988Z
Upachar Restaurant,<,4.9,4 Ratings,"Mysore Ooty Road Nanjangud, Nanjangud",,,,false,false,false,false,true,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.989Z
Shubham Catering Services,<,4.5,16 Ratings,"Road Immavu, Mysore",,,Caterers; Caterers For Wedding,true,false,false,false,false,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.989Z
Suvai Catering Service,<,4.3,3 Ratings,Chamarajanagar,,,Caterers; Caterers For Wedding,false,false,false,false,false,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.989Z
Shree Catering Services,<,4.8,2 Ratings,"Nedugula Kodanad, Kotagiri",,,Caterers; Caterers For Function,true,false,false,false,false,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.989Z
SLN Caterers,<,4.4,10 Ratings,"Srinagar Mysore South, Mysore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.989Z
Niveditha Event Management & Organisers,<,5.0,3 Ratings,"Vinayaka Enclave J P Nagar, Mysore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.989Z
Srinidhi Caterers,<,4.8,37 Ratings,"13th Cross Road J P Nagar, Mysore",,,Caterers; Caterers For Wedding,true,false,false,false,false,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.989Z
Sri Hari Caterers,<,4.8,499 Ratings,"B Block Jp Nagar, Mysore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.989Z
Prithvi Catering,P,4.0,2 Ratings,"Main Road Siddarthanagar, Mysore",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.989Z
Srk Catering,+,5.0,136 Ratings,"Hoysalanagar Vidyaranyapuram, Mysore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.989Z
M S Furnishers & Decorators,+,4.3,3 Ratings,"Bannur Road Siddhartha Layout, Mysore",,,On Site Services,true,false,false,false,true,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.989Z
C R Shravya Tent House,+,4.3,10 Ratings,"Rajkumar Road Yaraganahalli, Mysore",,08511210163,Home Delivery,true,false,false,true,true,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.990Z
Kgn Caterers,K,4.6,5 Ratings,"Road Manandavadi Road, Mysore",,,Caterers; Caterers For Wedding,false,false,false,false,false,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.990Z
Chamundeshwari Military Hotel,C,5.0,2 Ratings,"Bannur Main Road Siddarthanagar, Mysore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.990Z
Annadha Caterings,+,4.7,31 Ratings,"5th Cross Vishweshwara Nagar, Mysore",,09724767918,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.990Z
PGM Caterers,+,4.6,13 Ratings,"11th Cross Vidyaranyapuram, Mysore",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.990Z
Aathithya Caterers,A,3.4,12 Ratings,"Jlb Road Ramaswamy Circle, Mysore",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.990Z
Al Ameen Catering Service,A,3.0,1 Ratings,Ooty,,,Caterers; Caterers For Function,true,false,false,false,false,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.990Z
Chaithra Caterers,+,4.5,20 Ratings,"C Block J P Nagar, Mysore",,08197228516,Home Delivery,true,false,false,true,true,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.990Z
Brother's Caterers,+,5.0,41 Ratings,"Cross Raghavendranagar Extension, Mysore",,09724742088,Non Veg Caterers; Caterers,true,false,false,false,true,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.990Z
Rakshitha Catering,R,5.0,2 Ratings,"Gurur Village Ramabai Nagar, Mysore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.990Z
Smp Bhojanapriya,+,4.1,21 Ratings,"Lakshimi Bai Road Chamundipuram, Mysore",,09724658976,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.990Z
Sarovara Mess,+,4.3,4 Ratings,"Center Road Vishweshwara Nagar, Mysore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Caterers For Parties,Chamarajanagar,2025-06-04T09:28:30.990Z
