name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Hotel Tippu Taj,<,3.7,217 Ratings,"Peace Park Road Kollegal, Chamarajanagar",,,,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Chamarajanagar,2025-06-04T09:32:44.915Z
Hotel Arfa,<,4.1,51 Ratings,"Sathyamangal Road Chamarajanag, Chamarajanagar",,,Caterers For Parties; Caterers For Non Veg Biryani,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Chamarajanagar,2025-06-04T09:32:44.915Z
Sree Durga Parameshwari Catering Service,<,4.5,15 Ratings,"Main Road Hanumantha Nagar, Bangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Chamarajanagar,2025-06-04T09:32:44.915Z
Majisa Rnm Sweets and Caterers,<,5.0,2 Ratings,"2nd Cross Road Robertsonpet, Kolar",,09972933072,Caterers For Office; Caterers,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Chamarajanagar,2025-06-04T09:32:44.915Z
Sri Gulab Caterers & Events,<,4.8,43 Ratings,"Androon Quilla, Raichur",,,,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Chamarajanagar,2025-06-04T09:32:44.915Z
Sri Maa Asapura Caterers,<,4.8,18 Ratings,"Gunj Road M G Road Raichur, Raichur",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Chamarajanagar,2025-06-04T09:32:44.915Z
Sr Events,<,4.4,18 Ratings,"Puduru Palakollu, West Godavari",,08460403938,Event Organisers; Caterers,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Chamarajanagar,2025-06-04T09:32:44.916Z
Enzoey.com,<,4.5,133 Ratings,Mumbai,,08488949380,,true,true,false,true,true,Caterers,Popular Caterers For Wedding,Chamarajanagar,2025-06-04T09:32:44.916Z
Sab Hospitality Services,<,4.8,139 Ratings,"5 Viram Khand Gomti Nagar, Lucknow",,08460247319,Caterers For Hospital; Caterers For Wedding,true,true,false,true,true,Caterers,Popular Caterers For Wedding,Chamarajanagar,2025-06-04T09:32:44.916Z
Ebk Event Management Pvt Ltd,<,4.6,53 Ratings,"Extension 2 Nangloi Extension, Delhi",,08511787702,,true,true,false,true,true,Caterers,Popular Caterers For Wedding,Chamarajanagar,2025-06-04T09:32:44.916Z
Chandru Adigai Contractor,C,5.0,1 Ratings,"Hegadaihalli Nanjangud, Nanjangud",,,Caterers; Caterers Upto 150 Persons,true,true,false,false,false,Caterers,Popular Caterers For Wedding,Chamarajanagar,2025-06-04T09:32:44.916Z
Guru Renuka Supplier,G,4.0,2 Ratings,"6th Cross Roadon Road Nanjangud, Nanjangud",,,Tent House; Caterers,true,true,false,false,false,Caterers,Popular Caterers For Wedding,Chamarajanagar,2025-06-04T09:32:44.916Z
