name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Santhosh G & Associates,<,4.5,4 Ratings,"2nd Car Street Chamarajanagar, Chamarajanagar",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.652Z
Balaji Associates,<,5.0,2 Ratings,"Double Road Chamarajanagar, Chamarajanagar",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.652Z
Kndc and Associates LLP,<,4.7,37 Ratings,"GHS Road Hampankatta, Mangalore",,,Licence; GST Return; TDS Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.652Z
Mohit Mahajan & Co.,<,3.9,38 Ratings,"Koppikar Road Koppikar Road, Hubli",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.652Z
Yatesh Renuke & Company,<,4.6,22 Ratings,"Erandwane Kothrud, Pune",,08460426416,GST Return; TDS Return; Income Tax Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.652Z
Mithlesh Pardhi & Co,<,4.3,361 Ratings,"Jaitala Road Jaitala Road, Nagpur",,08511513986,GST Return; TDS Return; Income Tax Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.653Z
Yogita S And Company,<,4.7,34 Ratings,"Thane Bhiwandi Road Kasheli, Bhiwandi",,07795682280,Accounting; GST Return; TDS Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.653Z
B R A H M & Associates,<,4.2,46 Ratings,"Jamnagar HO, Jamnagar",,,Accounting; GST Return; NRI ITR Filing,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.653Z
TKSA SERVICES PVT LTD,<,3.5,2 Ratings,"Government Place East Esplanade, Kolkata",,08904955304,Licence; GST Return; NRI ITR Filing,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.653Z
Arpit Gupta & Co,<,4.1,156 Ratings,"Westend Marg Saket, Delhi",,,,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.653Z
K K K D & CO,+,4.8,56 Ratings,"101 BP BLOCK Pitampura, Delhi",,09731820288,Accounting; GST Return; TDS Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.653Z
V V S V & CO,+,4.2,13 Ratings,"Pandav Nagar Block A, Delhi",,09035176479,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.653Z
Equiltax Private Limited,E,3.5,2 Ratings,"Thapar Nagar, Meerut",,08105037165,Business Advisory Services; Name Change; IPO,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.653Z
Dwarka & Co,D,4.1,97 Ratings,"Barabazar Garikhana, Shillong",,09054867046,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.653Z
Kamal Raj,K,5.0,2 Ratings,"2nd Floor Chamarajanagar Ho, Chamarajanagar",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.653Z
Natarajan Venkatesan & Co,N,5.0,1 Ratings,"Templestreet Kollegal, Chamarajanagar",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.653Z
Prabhu & Co,P,4.5,1 Ratings,"Car Street Car Street, Chamarajanagar",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.653Z
Acto,+,5.0,4 Ratings,"Akkamahadevi Road Jp Nagar, Mysore",,,Wheel Chair Accessible Entrance And Exit; GST Return; TDS Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
Smitha V K,S,3.0,1 Ratings,"12th Cross Vidyaranyapuram, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
Vasudeva Rao S A,V,5.0,1 Ratings,"Colony Vishweshwara Nagar, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
Govindaraju,+,4.9,5 Ratings,"Fort Mohalla Ramanuja Road, Mysore",,,Wheel Chair Accessible Entrance And Exit; GST Return; TDS Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
Narendra And Company,N,4.0,2 Ratings,"Main 1st Cross Vidyaranyapuram, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Chamarajanagar,2025-06-04T09:33:54.654Z
