name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Poorvith Photography,<,4.4,5 Ratings,"College Road Kollegal, Chamarajanagar",,08147956629,Videography; Studio Photography; Traditional Videography,true,true,false,true,true,Event Organizer,Popular Event Organisers,Chamarajanagar,2025-06-04T09:44:30.509Z
N K EVENTS,<,5.0,7 Ratings,"Double Road Chamarajanagar, Chamarajanagar",,08460306672,Event Organisers; Birthday Party Decorators,true,true,false,true,true,Event Organizer,Popular Event Organisers,Chamarajanagar,2025-06-04T09:44:30.509Z
Sri Adhishakthi & Shamiyana Center,<,4.7,14 Ratings,"Office Road Chamarajanagar Ho, Chamarajanagar",,09980845163,Banquet Hall Decoration,true,true,false,true,true,Event Organizer,Popular Event Organisers,Chamarajanagar,2025-06-04T09:44:30.509Z
Vibhava Creations,<,4.5,345 Ratings,"Cross Rajajinagar Srirampuram, Bangalore",,09035152635,Videography,true,true,false,false,true,Event Organizer,Popular Event Organisers,Chamarajanagar,2025-06-04T09:44:30.509Z
Nuclear Events,<,4.8,30 Ratings,"Subrub Vidyaranyapuram, Mysore",,08460255672,On Site Services; In Store Collect; Same Day Delivery,true,true,false,false,true,Event Organizer,Popular Event Organisers,Chamarajanagar,2025-06-04T09:44:30.509Z
Sree Durga Parameshwari Catering Service,<,4.5,15 Ratings,"Main Road Hanumantha Nagar, Bangalore",,,Home Delivery,true,true,false,false,true,Event Organizer,Popular Event Organisers,Chamarajanagar,2025-06-04T09:44:30.509Z
Sri Karpagarani Kerala Chenda Melam And A To Z Wedding Planners,<,3.8,110 Ratings,"Sabapathy Street Sangliandapuram, Trichy",,,Caterers; Chenda Melam Players,true,true,false,false,true,Event Organizer,Popular Event Organisers,Chamarajanagar,2025-06-04T09:44:30.509Z
Sangeeth Musics (Paid),<,4.5,46 Ratings,"Horpet Circle SS Puram, Tumkur",,,Bands; Orchestra Bands,true,true,false,false,true,Event Organizer,Popular Event Organisers,Chamarajanagar,2025-06-04T09:44:30.509Z
Media House,<,4.7,150 Ratings,"Bejai Kapikad Road Bejai, Mangalore",,,Flex,true,true,false,true,true,Event Organizer,Popular Event Organisers,Chamarajanagar,2025-06-04T09:44:30.509Z
Masters Event Management,<,4.5,85 Ratings,"Ward No 8 Town Hall Sqaure, Chickballapur",,,Event Organisers; Caterers,true,true,false,false,true,Event Organizer,Popular Event Organisers,Chamarajanagar,2025-06-04T09:44:30.510Z
Shri Sai Events and Orchestra,+,5.0,5 Ratings,"Near Sarvodaya Hotel Keshawapur, Hubli",,08147330577,Orchestra Bands; Event Organisers,true,true,false,false,true,Event Organizer,Popular Event Organisers,Chamarajanagar,2025-06-04T09:44:30.510Z
Music Mantra Band,+,3.8,6 Ratings,"Vasco Da Gama, Goa",,09972223490,Event Organisers; Bands,true,true,false,false,true,Event Organizer,Popular Event Organisers,Chamarajanagar,2025-06-04T09:44:30.510Z
Sri Vijayalakshmi Fireworks and Rakhi Centre,S,4.1,35 Ratings,"Ponnala Ambedkarnagar, Siddipet",,08488940459,Fire Cracker Dealers-Standard; Fire Cracker Dealers,true,true,false,false,true,Event Organizer,Popular Event Organisers,Chamarajanagar,2025-06-04T09:44:30.510Z
Sr Events,+,4.4,18 Ratings,"Puduru Palakollu, West Godavari",,08460403938,Event Organisers; Caterers,true,true,false,false,true,Event Organizer,Popular Event Organisers,Chamarajanagar,2025-06-04T09:44:30.510Z
Picnic Point - An Agri Tourism Center,+,4.5,"1,396 Ratings","Solapur Pune - Highway Mohol, Solapur",,,,true,true,false,false,true,Event Organizer,Popular Event Organisers,Chamarajanagar,2025-06-04T09:44:30.510Z
