name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Basavaraja Swamy Anubava Mantapa,<,4.6,20 Ratings,"Siddhartha Nagar, Chamarajanagar",,,Wedding Organisers,false,false,false,false,true,Event Organizer,Popular Wedding Organisers,Chamarajanagar,2025-06-04T09:46:36.211Z
Nayaka Valmiki Bhavan,<,3.1,6 Ratings,Yelandur,,,Wedding Organisers,false,false,false,false,false,Event Organizer,Popular Wedding Organisers,Chamarajanagar,2025-06-04T09:46:36.211Z
Kanaka Samudaya Bhavana,<,3.0,2 Ratings,"Alaganchi, Mysore",,,Wedding Organisers,false,false,false,false,false,Event Organizer,Popular Wedding Organisers,Chamarajanagar,2025-06-04T09:46:36.211Z
Shri Chikkamma Tayi Yaatri Bhavana,<,3.0,3 Ratings,"Road Tirumakudalu Narasipura, Mysore",,,Wedding Organisers,false,false,false,false,false,Event Organizer,Popular Wedding Organisers,Chamarajanagar,2025-06-04T09:46:36.211Z
Chikkamma Yatri Bhavana,<,3.8,151 Ratings,"Road Tirumakudalu Narasipura, Mysore",,,Wedding Organisers,false,false,false,false,true,Event Organizer,Popular Wedding Organisers,Chamarajanagar,2025-06-04T09:46:36.211Z
Skandha Mahal,<,4.6,5 Ratings,"Rajan Nagar Ajanar, Erode",,,Wedding Organisers,false,false,false,false,false,Event Organizer,Popular Wedding Organisers,Chamarajanagar,2025-06-04T09:46:36.211Z
Kgn Furnitures,<,4.9,6 Ratings,"Rajkumar Road Sathagalli Layout, Mysore",,,Flower Decorators; Event Organisers,true,false,false,false,true,Event Organizer,Popular Wedding Organisers,Chamarajanagar,2025-06-04T09:46:36.211Z
Happy Wedding,<,4.6,6 Ratings,"Mysuru Yaraganahalli, Mysore",,,Event Organisers; Wedding Planners,true,false,false,false,false,Event Organizer,Popular Wedding Organisers,Chamarajanagar,2025-06-04T09:46:36.211Z
Shiva Bhavana,<,4.5,36 Ratings,"Adichunchanagiri Road Srirampura, Mysore",,,Wedding Organisers,false,false,false,false,false,Event Organizer,Popular Wedding Organisers,Chamarajanagar,2025-06-04T09:46:36.211Z
Sri Laksminarashima Dharmashala,<,4.3,15 Ratings,"Sriramapura, Mysore",,,Wedding Organisers,false,false,false,false,false,Event Organizer,Popular Wedding Organisers,Chamarajanagar,2025-06-04T09:46:36.211Z
My Celebrationzs,+,4.8,32 Ratings,"Basavesgwara Rd Agrahara, Mysore",,,Banquet Hall Decoration; Car Decoration; Balloon Arch,true,false,false,false,true,Event Organizer,Popular Wedding Organisers,Chamarajanagar,2025-06-04T09:46:36.212Z
AJK CELEBRATION,+,3.9,124 Ratings,"Complex Madvachar Road Agrahara, Mysore",,,Home Delivery,true,false,false,false,false,Event Organizer,Popular Wedding Organisers,Chamarajanagar,2025-06-04T09:46:36.212Z
Ayva Events,+,5.0,90 Ratings,"1st Floor Rajivnagar, Mysore",,,Event Decoration; Corporate; Name Printed Balloon,true,false,false,true,true,Event Organizer,Popular Wedding Organisers,Chamarajanagar,2025-06-04T09:46:36.212Z
Mr Rathan,+,4.8,6 Ratings,"G Block Ramakrishnanagar, Mysore",,,Fashion Photographers; Photographers,true,false,false,false,true,Event Organizer,Popular Wedding Organisers,Chamarajanagar,2025-06-04T09:46:36.212Z
Rakshith Enterprise,+,3.9,67 Ratings,"G Block Ramakrishnanagar, Mysore",,,Videography,true,false,false,false,false,Event Organizer,Popular Wedding Organisers,Chamarajanagar,2025-06-04T09:46:36.212Z
