name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Rns Enterprises,<,5.0,5 Ratings,Chamarajanagar,,09845247628,Industrial,true,false,false,true,true,Fabricators,,Chamarajanagar,2025-06-04T09:49:04.211Z
A P Superior Fencing,<,5.0,4 Ratings,Chamarajanagar,,08460423618,Solar Fence Dealers; Fencing Dealers,true,false,false,true,true,Fabricators,,Chamarajanagar,2025-06-04T09:49:04.211Z
Ragavendra Enterprises,<,5.0,3 Ratings,Chamarajanagar,,07411712945,Aluminium Fabricators; Interior Designers,true,false,false,false,true,Fabricators,,Chamarajanagar,2025-06-04T09:49:04.211Z
SRM Traders,<,4.3,12 Ratings,Chamarajanagar,,,Same Day Delivery; Shop In Store,true,false,false,true,true,Fabricators,,Chamarajanagar,2025-06-04T09:49:04.211Z
Sneha Aluminium Fabrications,<,3.5,2 Ratings,Chamarajanagar,,08460270169,Aluminium Fabricators; Fabricators,true,false,false,false,true,Fabricators,,Chamarajanagar,2025-06-04T09:49:04.211Z
Slv Enterprises,<,4.0,3 Ratings,Bangalore,,07041944282,Fabricators; MS Fabricators,true,false,false,false,false,Fabricators,,Chamarajanagar,2025-06-04T09:49:04.212Z
F K Tensile Structure and Fabrication,<,4.5,8 Ratings,Bangalore,,08401754984,Industrial,true,false,false,false,false,Fabricators,,Chamarajanagar,2025-06-04T09:49:04.212Z
Citadel Building Systems,<,5.0,6 Ratings,Coimbatore,,09724108889,Building,true,false,false,true,true,Fabricators,,Chamarajanagar,2025-06-04T09:49:04.212Z
Trancivilia Constructions Private Limited,<,4.6,14 Ratings,Bangalore,,09980942009,Industrial,true,false,false,true,true,Fabricators,,Chamarajanagar,2025-06-04T09:49:04.213Z
H L Power Tech Laser Cutting,<,5.0,1 Ratings,Hosur,,07383244439,Fabricators; Engineering Companies,true,false,false,false,true,Fabricators,,Chamarajanagar,2025-06-04T09:49:04.213Z
