name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Madhu 24,<,3.0,2 Ratings,Chamarajanagar,,,Placement Services For Maids (For Employers),true,false,false,false,true,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.733Z
Venus Placements,<,3.7,200 Ratings,Udupi,,,Interview Room; Offline Aptitude Tests; Online Aptitude Tests,true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.733Z
Standard Group,<,4.0,218 Ratings,Mangalore,,,Overseas Placement,true,false,false,false,true,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.734Z
Yes House Maid Service,<,3.7,203 Ratings,Pune,,07411586640,Placement Services For Maids (For Employers); Placement Services (For Employers),true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.734Z
Balaji Manpower Consultancy Services,<,3.6,193 Ratings,Thane,,08123860225,Placement Services For Babysitter (Candidate); Placement Services For Driver (Candidate),true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.734Z
Domestic Help India,<,3.4,27 Ratings,Thane,,07204989457,Placement Services For Maids (For Employers); Placement Services For Cook (For Employers),true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.734Z
Great Corporate Solutions,<,3.8,12 Ratings,Mumbai,,08401151953,Overseas Placement,true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.734Z
Vinayak Placement,<,3.4,52 Ratings,Jamshedpur,,08511498177,Placement Services For Hospital Staff (Candidate); Placement Services For Security Staff (Candidate),true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.734Z
Rapid Manpower Services,<,3.8,280 Ratings,Jamshedpur,,09980756770,Placement Services (Candidate); Placement Services For Driver (Candidate),true,false,false,true,true,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.734Z
R K Placement Services,<,4.0,158 Ratings,Kanpur,,08734976048,Part Time Placement,true,false,false,false,true,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.734Z
Directionguru,+,3.9,"3,697 Ratings",Jodhpur,,,Overseas Placement,true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.735Z
Aarohi Placement Services,+,3.8,145 Ratings,Lucknow,,07487890344,Placement Services For Cook (For Employers); Placement Services For Maids (For Employers),true,false,false,true,false,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.735Z
Geetanjali Maid Bureau,G,4.2,209 Ratings,Delhi,,08904410463,Placement Services For Maids (For Employers),true,false,false,false,true,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.735Z
Happy House Maid Bureau,H,4.1,43 Ratings,Delhi,,09845272404,Placement Services For Maids (For Employers); Placement Services For Cook (For Employers),true,false,false,false,true,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.735Z
Uttam Mart,U,4.8,8 Ratings,Delhi,,08511091734,Placement Services For Maids (For Employers); Placement Services For Patient Care Taker (For Employers),true,false,false,false,true,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.735Z
Kavya Placement Services,K,4.0,70 Ratings,Delhi,,08147080951,Placement Services For Servants (For Employers); Placement Services For Maids (For Employers),true,false,false,true,true,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.735Z
Ayush Maid Beuro,A,4.8,31 Ratings,Delhi,,08904614872,Placement Services (For Employers); Placement Services For Maids (For Employers),true,false,false,false,true,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.735Z
Advith Np,A,4.0,2 Ratings,Nanjangud,,,Placement Services For Maids (For Employers),true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.735Z
Smm House Maid Services,S,4.7,10 Ratings,Mysore,,,Home Nursing Services; Placement Services (For Employers),true,false,false,false,true,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.735Z
Apex Services,A,3.8,14 Ratings,Mysore,,,Placement Services (Candidate); Placement Services For Driver (Candidate),false,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Chamarajanagar,2025-06-04T09:54:20.735Z
