name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Vkm Packers And Movers,<,4.9,5 Ratings,"Road Double Road Chamarajanagar, Chamarajanagar",,,All India; Within City,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.570Z
Safe India Movers & Packers,<,4.6,582 Ratings,"Saiswara Temple Wilson Garden, Bangalore",,09035025567,All India; International; Within City,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.571Z
Go Up Logistics,<,4.0,96 Ratings,"Near Human Temple Nayandahalli, Bangalore",,09980218296,International Courier; Cargo Service; Domestic Courier,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.571Z
Sinu Roadlines,<,5.0,30 Ratings,"Menonpara Road Kanjikode, Palakkad",,08460484417,Packers And Movers; Transporters,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.571Z
Good Luck Transport,<,4.2,33 Ratings,"Narayana Nagar Kanakapura Road, Bangalore",,08401668875,Cargo Service; Domestic Courier; Within City,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.571Z
Annannya Travels and Cargo,<,4.1,234 Ratings,"Sundar Arcade Bn Road Mysore, Mysore",,07383031384,Electronic,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.571Z
Perfect Packers and Warehouse,<,4.4,50 Ratings,"3rd Stage Hinkal Signal Hinkal, Mysore",,08511845263,All India; Within City,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.572Z
Easy Packers and Movers,<,4.6,30 Ratings,"Circle Chikmagalur HO, Chikmagalur",,08460430743,All India,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.572Z
Surya Facility Service,<,4.1,54 Ratings,"Police Chowki Vinoba Nagar, Shimoga",,09731644360,Packers And Movers; Packers And Movers (Within City),true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.572Z
Urbx Worldwide,<,4.7,74 Ratings,"Cochin Special Economic Zone, Ernakulam",,08401097476,International Courier; Cargo Service; Domestic Courier,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.572Z
Care Packers And Movers,+,4.3,6 Ratings,"Street Vijayapuram Chikmagalur, Chikmagalur",,08511643831,Packers And Movers For Bangalore; Packers And Movers,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.572Z
Tirumala Packers and Movers,+,4.7,21 Ratings,"Bhagya Nagar Bhagya Nagar, Guntakal",,08460221154,Electronic,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.572Z
BEST Relocations Packers And Moovers,+,5.0,53 Ratings,"Vidyanagar Hubli, Hubli",,08460452321,Packers And Movers; Packers And Movers (Within City),true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.572Z
Yestee Agency,+,4.1,322 Ratings,"Wall Tax Road Park Town, Chennai",,08197305459,Industrial Machinery Relocation; Cargo Service; Domestic Courier,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.572Z
Suraksha Packers and Movers,+,4.5,68 Ratings,"Shirur Park Vidyanagar Hubli, Hubli",,08401259807,All India; Within City,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.572Z
Vishwas Packers and Movers,+,4.6,48 Ratings,"Near Gokul Road Anand Nagar, Hubli",,08460506201,Pets Transportation; Car Transportation; Commercial And Office Relocation Services,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.572Z
Royal Cargo Packers & Movers,+,4.8,170 Ratings,"Near BRTS Bus Stand Vidyagiri, Dharwad",,08401217512,,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.573Z
Lata Packers and Movers,L,4.4,20 Ratings,"Mj Nagar, Hospet",,07487906639,All India; Within City,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.573Z
Blessingstar Packers And Movers,+,3.9,21 Ratings,"Bhavani Nagar Bijapur City, Bijapur-Karnataka",,07383423106,,true,true,false,true,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.573Z
KGN Transport & Logistics,+,4.2,32 Ratings,"Gandiguda Village Shadnagar, Mahabubnagar",,09054784995,International Courier; Trucks On Rent; Domestic Courier,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.573Z
Aastik Maharaj Trader,+,5.0,1 Ratings,"Kukatpally Kukatpally, Hyderabad",,07411644350,Cargo Service; Tempos On Hire; Domestic Courier,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.573Z
Diamondsafety Lorry Transport Packers and Movers,+,4.1,49 Ratings,"Bypass Road Khammam Bypass Road, Khammam",,09724438448,Pets Transportation; All India; Within City,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.573Z
Balaji Packers and Movers,B,4.8,851 Ratings,"Link Road Wakad, Pune",,08460237516,Cargo Service,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.573Z
Shyam Transport,S,4.0,74 Ratings,"Mahavir Nagar Kandivali West, Mumbai",,07405412431,Animal Transportation,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.573Z
Falnest Relocations,F,4.3,3 Ratings,"Kapurbawdi-Thane West, Thane",,08460221627,Transporters For All India; Packers And Movers,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.573Z
Suryavansham Transport,+,3.5,93 Ratings,"Bilaspur Highway Gudhiyari, Raipur-Chhattisgarh",,08460211093,Animal Transportation; Electronic,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.573Z
GURUNANAK GOLDEN ROADWAYS,G,5.0,2 Ratings,"Transport Nagar Pithampur, Dhar",,08460501188,Transporters; Transport Agents,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.573Z
Sun Transport,+,3.8,36 Ratings,"Highway Road Mehsana Nagar Road, Vadodara",,09054604193,Pets Transportation; All India; International,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.573Z
Mirai Logistics India Private Limited,+,3.4,278 Ratings,"Kesarwani College Garha Phatak, Jabalpur",,08511256279,International Courier; All India; Cargo Service,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.573Z
Suyash Road Lines,+,4.1,103 Ratings,"Neemuch Road Ratlam Station Road, Ratlam",,08128143529,Domestic Courier; All India; Within City,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.573Z
Mahalaxmi Transport,+,4.4,38 Ratings,"Shop No 37 Morbi Bypass Road, Morbi",,09725352726,Trucks On Rent,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.574Z
Shree Devnarayan Transport Company,+,4.5,62 Ratings,"Transport  Nagar Transport Nagar, Kota-Rajasthan",,07411856402,Transporters; Packers And Movers,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.574Z
Reliable Packer & Movers Courier Service,+,4.7,3 Ratings,"Adinathnagar Odhav, Ahmedabad",,08904998358,All India; International,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.574Z
Shri Krishna Transport Service,+,3.9,67 Ratings,"Coplex Block City Centre, Gwalior",,07048137126,Transporters; Packers And Movers,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.574Z
Chandan Transport Company,+,4.0,321 Ratings,"Kamruddinpur, Begusarai",,07801848348,Industrial Machinery Relocation; Superior Quality; Budget Friendly,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.574Z
Omm Logistic Transport Service,+,4.2,80 Ratings,"Kanpur Road Transport Nagar, Lucknow",,09724729580,Trucks On Rent; Domestic Courier; All India,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.574Z
New Mahakal Transport,+,4.2,101 Ratings,"Yaqutganj Railway Yaqutganj, Farrukhabad",,08460557327,Superior Quality; Animal Transportation; Budget Friendly,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.574Z
Engineers Parcel,+,4.2,21 Ratings,"I2H Building IIT ISM Hirapur, Dhanbad",,08971740245,Courier Services; Packers And Movers,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.574Z
Ganga Transport Company,+,4.8,39 Ratings,"Manava Kakwan Panki, Kanpur",,08511421193,Animal Transportation,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.574Z
New Gaurav Transport Service,N,4.4,35 Ratings,"Nagar Gate No. 1 Pahari, Patna",,08460418079,Transporters; Packers And Movers,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.574Z
Jmd Tourism And Logistics Corporation,+,4.6,742 Ratings,"Market Rabindrapally Keshtopur, Kolkata",,08904967937,Pets Transportation; International Courier; All India,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.574Z
Bihta Transportation & Packer and Mover Services,B,4.0,4 Ratings,"Amhara Bihta Patna Bihta, Patna",,06364874878,Transporters; Packers And Movers,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.574Z
New Mahakal Transport,+,4.2,101 Ratings,"Valipur Yaqutganj, Farrukhabad",,08128042414,Animal Transportation; Pets Transportation; Within City,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.574Z
Shakti Transport Company,S,4.3,9 Ratings,"Gorakhpur Road Deoria Sadar, Deoria",,08460434045,All India; Within City,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.574Z
Om Shakti Associates,+,4.2,103 Ratings,"Plot No-60 Sitapur Rd, Lucknow",,08401521816,Residential Relocation Services,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.574Z
Shri Khatu Shyam Roadlines,+,4.2,64 Ratings,"Sanjay Gandhi Transport Nagar, Delhi",,09054682129,Transporters For Full Truck Load; Transporters,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
Gati Cargo Packer and Mover,+,4.8,4 Ratings,"Najafgarh, Delhi",,09008921591,Domestic Courier; Air Cargo; Air Courier,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
Shree Balaji Transport,+,4.2,125 Ratings,"New Delhi Sangam Vihar, Delhi",,08460439021,All India; Within City; Electronic,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
Sri Nanjundeshwara Transport,S,4.0,6 Ratings,"Shanthaveri Gopal Gowda Nagar, Mysore",,,Transporters; Packers And Movers,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
Chandan Packers And Movers,+,4.7,13 Ratings,"Chikkahalli Vajamangala, Mysore",,,Within City,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
A1 Southindian Packers And Movers,A,3.3,4 Ratings,"Ooty Main Road Kotagiri, Kotagiri",,,All India; Within City,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
Dhanyata Cargo Movers,+,3.6,4 Ratings,"Hosahundi Ring Road Hosahundi, Mysore",,,Domestic Courier; Within City,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
Chamundi Transports,+,4.4,41 Ratings,"Gurumadanalli Village Nazarbad, Mysore",,08511830466,Pets Transportation; All India; Within City,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
P J Transport,P,4.3,12 Ratings,"Jayaram Nagar Alanahalli, Mysore",,,All India,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
Pavan Packers & Movers,P,5.0,1 Ratings,"T.Narasipura Road Alanahalli, Mysore",,08147950972,House Structure Relocation Services; Packers And Movers,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
Shree Vishnu Packers & Movers,+,5.0,12 Ratings,"2nd Stage J P Nagar, Mysore",,,Packers And Movers; Packers And Movers (Within City),true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
Vkm Packers and Movers,+,4.7,21 Ratings,"Yaraganahalli Siddhartha Layout, Mysore",,,All India; Within City,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
Kalpana Relocation Services,K,5.0,104 Ratings,"Vinaya Marga Siddarthanagar, Mysore",,,Packers And Movers; Packers And Movers (Within City),true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
Accord Movers And Packers,A,5.0,1 Ratings,"Hosahundi Ring Road Hosahundi, Mysore",,,All India; Within City,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
Shahid Logistics,+,5.0,6 Ratings,"HD Kote Road Rayanakere, Mysore",,,Residential Relocation Services; Electronic,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
Sri Chamundeshwari Packers and Movers,+,4.6,15 Ratings,"No 14 J P Nagar, Mysore",,,Within City,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
Vijay Durga Transport,+,2.5,4 Ratings,"GRS Park Ring Road Banni Mantap, Mysore",,,Transporters; Packers And Movers,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.575Z
Sri Bhairaveshwara Packers and Movers,+,5.0,1 Ratings,"Hundi Sriramapura 2nd Stage, Mysore",,,Residential Relocation Services; Within City,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
Pannaga Packers And Movers,P,4.0,1 Ratings,"Kuvempunagar, Mysore",,,Packers And Movers; Domestic Relocation Services,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
GR PACKERS AND MOVERS,+,4.7,36 Ratings,"N Block Kuvempunagar, Mysore",,08401591250,All India; Within City,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
Agarwal Fastways Packers And Movers,A,5.0,4 Ratings,"MAIN ROAD Jayanagar Extention, Mysore",,,All India; Within City,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
2m Enterprises,2,4.1,16 Ratings,"2md Stage Vivekananda Circle, Mysore",,08105759667,Commercial Courier; Corporate Courier; Car Transportation,true,true,false,true,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
Perfect Packers and Movers,P,4.7,13 Ratings,"Kuvempunagar, Mysore",,,Packers And Movers; Packers And Movers (Within City),true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
Supreme Movers And Packers,S,4.5,3 Ratings,"No 3 3rd Cross Mysore Fort, Mysore",,,Packers And Movers; Packers And Movers (Within City),true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
Mysore Packers & Movers,M,4.8,2 Ratings,"Road Kuvempunagar, Mysore",,,All India; Within City,false,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
Mahalingesh Transport,+,4.0,193 Ratings,"Banumaiah Road Kr Mohalla, Mysore",,,Packers And Movers For Commercial; Transporters,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
M N Logistics,+,5.0,1 Ratings,"Cheluvamba Agrahara Kr Mohalla, Mysore",,,Cargo Service; Trucks On Rent; Domestic Courier,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
Agrwal Packers And Movers,+,3.5,473 Ratings,"1st Phase Kuvempunagar, Mysore",,,Cargo Service; Tempos On Hire; International Courier,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
Sree Guru Raghavendra Transport,+,4.5,11 Ratings,"Oil Mill Road Kr Mohalla, Mysore",,,Within City,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
AVG Packers and Movers,A,3.4,7 Ratings,"A & B Blk Kuvempunagar, Mysore",,,All India; Within City,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
Bharadwaj Packers And Movers,B,4.7,133 Ratings,"2nd Stage Ramakrishnanagar, Mysore",,,Transporters; Packers And Movers,true,true,false,false,true,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
Jaihind International Packers & Movers,J,4.0,1 Ratings,"Chamarajapuram, Mysore",,,Packers And Movers; Packers And Movers For Household Item (Outside India),false,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
Kvm Hydraulics & Earthmovers,K,5.0,3 Ratings,"No819 Gandhi Square, Mysore",,,Packers And Movers; Domestic Relocation Services,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
Happy Packers And Movers Pvt Ltd,+,4.8,11 Ratings,"3rd Cross Mysore Ho, Mysore",,,Pets Transportation; All India,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.576Z
Sri Ganesh Packers & Movers,S,5.0,1 Ratings,"Santhepet, Mysore",,,All India; International; Within City,true,true,false,false,false,Packers & Movers,,Chamarajanagar,2025-06-04T10:21:20.577Z
