name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Poorvith Photography,<,4.4,5 Ratings,"College Road Kollegal, Chamarajanagar",,08147956629,Videography; Studio Photography; Traditional Videography,true,true,false,true,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.852Z
Vinodh Digital Studio,<,4.7,7 Ratings,"Bus Stand Road Chamarajanagar Ho, Chamarajanagar",,,Videography,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.853Z
The Maarvel Studio,<,4.8,10 Ratings,"Market Basaveshwara Nagar, Bangalore",,08460204920,Videography,true,true,false,true,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.853Z
Vibhava Creations,<,4.5,345 Ratings,"Cross Rajajinagar Srirampuram, Bangalore",,09035152635,Videography,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.853Z
Nuclear Events,<,4.8,30 Ratings,"Subrub Vidyaranyapuram, Mysore",,08460255672,On Site Services; In Store Collect; Same Day Delivery,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.853Z
Sree Durga Parameshwari Catering Service,<,4.5,15 Ratings,"Main Road Hanumantha Nagar, Bangalore",,,Home Delivery,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.853Z
Independent Technologies,<,4.8,43 Ratings,"Kalyan Nagar Bandihalli, Chikmagalur",,,Irrigation System Dealers; Agricultural Equipment Dealers,true,true,false,true,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.853Z
Masters Event Management,<,4.5,85 Ratings,"Ward No 8 Town Hall Sqaure, Chickballapur",,,Event Organisers; Caterers,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.854Z
Rainbow Studio and Video,<,4.2,15 Ratings,"Main Road Kundapura, Udupi",,,Videography,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.854Z
Ork Studio And Video,<,5.0,153 Ratings,"Ramchandra Nagar Kamalanagar, Anantapur",,,Videography,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.854Z
Sr Events,+,4.4,18 Ratings,"Puduru Palakollu, West Godavari",,08460403938,Event Organisers; Caterers,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.854Z
Wedding Invitation Video Maker - Weditations (INDIA),+,4.3,52 Ratings,"Plot. No:01 Lingampally, Hyderabad",,08792492833,Invitation Video Makers; Photographers,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.854Z
Aerizone,+,4.5,237 Ratings,"Hingna Road Parsodi, Nagpur",,08401032409,,true,true,false,true,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.854Z
Visualvid Creation,+,5.0,3 Ratings,"Tapovan Link Road Dwarka, Nashik",,08904584587,Videography,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.854Z
Enzoey.com,+,4.5,133 Ratings,Mumbai,,08488949380,,true,true,false,true,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.854Z
Alpine Creation,+,3.9,261 Ratings,"Dadu Marg Barkat Nagar, Jaipur",,,Photographers; E Commerce Photographers,true,true,false,true,false,Photographers,,Chamarajanagar,2025-06-04T10:13:35.854Z
Sutter Count Photography,+,5.0,2 Ratings,"Rambag Road Chandausi Kaithal, Chandausi",,08460513665,Videography,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.854Z
Payal Studio Pvt Ltd,+,4.6,84 Ratings,"Circular Road Abohar, Abohar",,08050811895,Videography,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.854Z
Pavan Digital Prints,P,4.3,13 Ratings,"Road Double Road Chamarajanagar, Chamarajanagar",,,Flex; Digital,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.855Z
Crepic Photography,+,4.8,196 Ratings,"ROAD Double Road Chamarajanagar, Chamarajanagar",,,Videography,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.855Z
Studio Junction,+,4.8,121 Ratings,"Above Bangarpete Chat Kollegal, Chamarajanagar",,,Videography,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.855Z
Harsha Digital Color Lab,+,4.4,40 Ratings,"Agrahara Street Chamarajanagar, Chamarajanagar",,,Digital; Flex; Videography,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.855Z
Konica Digital Studio & Color Lab,K,4.4,21 Ratings,"G P Rajarathnam Road Gundlupet, Chamarajanagar",,,Videography; Delivery,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.855Z
Mv Photography,+,5.0,18 Ratings,"Main Road Paduguru, Chamarajanagar",,,Photo Studios; Photographers,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.855Z
Creative Minds,+,4.5,19 Ratings,"Vaniyar Street Chamarajanagar, Chamarajanagar",,,Videography,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.855Z
Maayavi Studios,+,4.7,15 Ratings,"Karnataka Housing Board Colony, Chamarajanagar",,,Photographers; Wedding Photographers,true,true,false,false,false,Photographers,,Chamarajanagar,2025-06-04T10:13:35.855Z
Mysore Star Creation,+,4.6,11 Ratings,"Bank Road ) Agrahara Street, Chamarajanagar",,,Videography,true,true,false,false,false,Photographers,,Chamarajanagar,2025-06-04T10:13:35.855Z
Balaji Digital Studio,B,3.8,13 Ratings,". Dr Ambrdkar Road Kollegal, Chamarajanagar",,,Photographers; Photo Studios,true,true,false,false,false,Photographers,,Chamarajanagar,2025-06-04T10:13:35.855Z
Chithranjali Digital Studio,C,4.2,11 Ratings,"Mysore Kollegal Road Kollegal, Chamarajanagar",,,Photographers; Photo Studios,true,true,false,false,false,Photographers,,Chamarajanagar,2025-06-04T10:13:35.855Z
Vedik Photography,+,5.0,8 Ratings,"Peace Park Road Kollegala, Chamarajanagar",,,Videography,true,true,false,false,false,Photographers,,Chamarajanagar,2025-06-04T10:13:35.855Z
Sana Photography,+,5.0,7 Ratings,"Main Road Kollegala, Chamarajanagar",,,Videography,true,true,false,false,true,Photographers,,Chamarajanagar,2025-06-04T10:13:35.856Z
Dhanush Digitel Studio,D,4.5,4 Ratings,"Subramanya Temple Road Kollegal, Chamarajanagar",,,Photographers,true,true,false,false,false,Photographers,,Chamarajanagar,2025-06-04T10:13:35.856Z
Spoorthy Studio Offset Printing Press,S,4.3,4 Ratings,"Terakanambi Tirukanambi, Chamarajanagar",,,Videography,true,true,false,false,false,Photographers,,Chamarajanagar,2025-06-04T10:13:35.856Z
Chandrukushi,+,4.7,3 Ratings,"Chandakavadi, Chamarajanagar",,,Photographers,false,true,false,false,false,Photographers,,Chamarajanagar,2025-06-04T10:13:35.856Z
Darpana Creation Digital Studio & H.D Video,+,4.3,3 Ratings,"05 Gundlupete Gundlupet, Chamarajanagar",,,Photo Studios; Photographers,true,true,false,false,false,Photographers,,Chamarajanagar,2025-06-04T10:13:35.856Z
C.g.s HD VIDEO Editing,+,3.6,3 Ratings,"1st Cross Chamarajanagar HO, Chamarajanagar",,,Videography,true,true,false,false,false,Photographers,,Chamarajanagar,2025-06-04T10:13:35.856Z
Prakruti Digital Studio,+,5.0,2 Ratings,"Main Road Santhemaranahalli, Chamarajanagar",,,Videography,false,true,false,false,false,Photographers,,Chamarajanagar,2025-06-04T10:13:35.856Z
DEEPA DIGITAL STUDIO,+,5.0,2 Ratings,"Krc Road Gundlupet, Chamarajanagar",,,Videography,true,true,false,false,false,Photographers,,Chamarajanagar,2025-06-04T10:13:35.856Z
