name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Harish Enterprises,<,3.4,6 Ratings,"Road Double Road Chamarajanagar, Chamarajanagar",,,Placement Services (Candidate); Placement Services For Part Time Job (Candidate),true,false,false,true,true,Placement Services Candidate,,Chamarajanagar,2025-06-04T10:17:15.494Z
Ideal Groups,<,3.8,5 Ratings,"Chamrajanagar Chamarajanagar Ho, Chamarajanagar",,,Placement Services (Candidate); Placement Services For Marketing Executive (Candidate),true,false,false,false,false,Placement Services Candidate,,Chamarajanagar,2025-06-04T10:17:15.495Z
Rd Management Solution Work Abroad,<,3.0,3 Ratings,"Kollegal, Chamarajanagar",,,Placement Services (Candidate); Placement Services (For Employers),false,false,false,false,false,Placement Services Candidate,,Chamarajanagar,2025-06-04T10:17:15.495Z
ProJobs ManPower Solutions,<,4.0,16 Ratings,"Main Road Nanjangud Nanjangud, Nanjangud",,,Manpower Suppliers; Placement Services (Candidate),true,false,false,false,true,Placement Services Candidate,,Chamarajanagar,2025-06-04T10:17:15.495Z
Mahadeshwara Enterprises,<,4.8,12 Ratings,"Bypass Road Thandavapura, Mysore",,,Placement Services (Candidate),true,false,false,false,true,Placement Services Candidate,,Chamarajanagar,2025-06-04T10:17:15.496Z
Shree Giri Solutions,<,3.0,2 Ratings,"T Narasipura Chiduravalli, Mysore",,,Placement Services (Candidate); Placement Services For Part Time Job (Candidate),true,false,false,false,false,Placement Services Candidate,,Chamarajanagar,2025-06-04T10:17:15.496Z
We Care Consultancy Services,<,3.5,12 Ratings,"T N Pura Road Alanahalli, Mysore",,,Resume Building; Interview Room,true,false,false,false,false,Placement Services Candidate,,Chamarajanagar,2025-06-04T10:17:15.496Z
Dzire Castle,<,5.0,9 Ratings,"Main Road Krishnadhama Nagar, Mysore",,,Placement Services (Candidate),true,false,false,false,true,Placement Services Candidate,,Chamarajanagar,2025-06-04T10:17:15.496Z
100 Placement Mysore,<,4.2,4 Ratings,"Bannur Road Devegowda Circle, Mysore",,,Placement Services (Candidate),true,false,false,false,true,Placement Services Candidate,,Chamarajanagar,2025-06-04T10:17:15.496Z
Sharath Dolly,<,4.0,2 Ratings,"Jp Nagar, Mysore",,,Placement Services (Candidate),false,false,false,false,false,Placement Services Candidate,,Chamarajanagar,2025-06-04T10:17:15.496Z
Infotech Computer Training Center,I,3.7,5 Ratings,"Bannur Road Yaraganahalli, Mysore",,,Overseas Placement,true,false,false,false,false,Placement Services Candidate,,Chamarajanagar,2025-06-04T10:17:15.496Z
Yesj It Expert Pvt Ltd,Y,4.0,2 Ratings,"Marga 2nd Stage Siddarthanagar, Mysore",,,Advisory; Advisory For International,true,false,false,false,false,Placement Services Candidate,,Chamarajanagar,2025-06-04T10:17:15.496Z
Spline Infotech,S,3.0,1 Ratings,"A Block J P Nagar, Mysore",,,Placement Services (Candidate); BPO,false,false,false,false,false,Placement Services Candidate,,Chamarajanagar,2025-06-04T10:17:15.496Z
