name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Jyothi Security and Allied Services,<,3.5,2 Ratings,Chamarajanagar,,08511967098,Bodyguard; Bouncer Services; Armed Security Services,true,false,false,false,true,Security System,Trusted Bodyguard Services,Chamarajanagar for Your Safety and Security,2025-06-04T10:26:59.511Z
Sharp Intelligence Bureau,<,4.5,46 Ratings,Bangalore,,09980224063,Bodyguard,true,false,false,true,true,Security System,Trusted Bodyguard Services,Chamarajanagar for Your Safety and Security,2025-06-04T10:26:59.511Z
Location One Facility Management Services Private Limited,<,4.2,30 Ratings,Ernakulam,,07383061424,Bodyguard; Bouncer Services,true,false,false,true,true,Security System,Trusted Bodyguard Services,Chamarajanagar for Your Safety and Security,2025-06-04T10:26:59.511Z
Kalmeshwar Industrial And Security Service,<,4.0,16 Ratings,Hubli,,08401237168,Bouncer Services; Armed Security Services; Bodyguard,true,false,false,true,false,Security System,Trusted Bodyguard Services,Chamarajanagar for Your Safety and Security,2025-06-04T10:26:59.511Z
Avengers Facility Services,<,4.8,207 Ratings,Kurnool,,08401332171,,true,false,false,true,true,Security System,Trusted Bodyguard Services,Chamarajanagar for Your Safety and Security,2025-06-04T10:26:59.512Z
GRPS SECURITY AND FACILITY MANAGEMENT SERVICE PVT.LTD,<,4.8,24 Ratings,Hubli,,08490086960,"Registration-ESIC, EPFO, GST, PSARA Licence.; Facility Management; Bodyguard",true,false,false,false,true,Security System,Trusted Bodyguard Services,Chamarajanagar for Your Safety and Security,2025-06-04T10:26:59.512Z
Lion Security Guard & Manpower Agency,<,4.0,3 Ratings,Gulbarga,,08904246083,Bodyguard; Armed Security Services; Bouncer Services,true,false,false,false,false,Security System,Trusted Bodyguard Services,Chamarajanagar for Your Safety and Security,2025-06-04T10:26:59.512Z
Royal Security Force and Allied Services,<,4.2,97 Ratings,Rajahmundry,,08128274453,Bodyguard; Bouncer Services,true,false,false,false,true,Security System,Trusted Bodyguard Services,Chamarajanagar for Your Safety and Security,2025-06-04T10:26:59.512Z
YLALA SECURITY & MANPOWER PRIVATE LIMITED,<,4.6,69 Ratings,Nagpur,,08511796849,Atm Security Guard; Home Security Guard; Background Verification,true,false,false,true,true,Security System,Trusted Bodyguard Services,Chamarajanagar for Your Safety and Security,2025-06-04T10:26:59.512Z
Sandhu Security Service,<,3.0,2 Ratings,Vadodara,,09035041846,Bodyguard; Bouncer Services; Armed Security Services,true,false,false,false,false,Security System,Trusted Bodyguard Services,Chamarajanagar for Your Safety and Security,2025-06-04T10:26:59.512Z
Hindustan Security Service,H,4.4,36 Ratings,Surendra Nagar-Gujarat,,07405935633,Bodyguard; Bouncer Services; Armed Security Services,true,false,false,false,true,Security System,Trusted Bodyguard Services,Chamarajanagar for Your Safety and Security,2025-06-04T10:26:59.512Z
United Security Service,+,4.6,108 Ratings,Rajkot,,08401607590,,true,false,false,true,true,Security System,Trusted Bodyguard Services,Chamarajanagar for Your Safety and Security,2025-06-04T10:26:59.512Z
National Protective Security Services,+,3.9,26 Ratings,Jamshedpur,,09980106281,Female Security; Security; Guard Dog Security,true,false,false,false,false,Security System,Trusted Bodyguard Services,Chamarajanagar for Your Safety and Security,2025-06-04T10:26:59.512Z
