name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Visual Softech Computer Training Centre,<,4.5,13 Ratings,"Hospital Road Chamarajanagar HO, Chamarajanagar",,,Tally Training Institutes; Computer Training Institutes For Basic,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Chamarajanagar,2025-06-04T10:33:26.302Z
Mantralaya It Huts,<,4.8,155 Ratings,"Southern Extension Kollegal, Chamarajanagar",,,Tally Training Institutes; Computer Training Institutes For Basic,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Chamarajanagar,2025-06-04T10:33:26.302Z
Anabel,<,4.7,106 Ratings,"Aralikatte Road Rangoli Halla, Hassan",,07022619216,Correspondence Education; B Ed Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Chamarajanagar,2025-06-04T10:33:26.302Z
Petaflake,<,5.0,5 Ratings,"Nagar Kamakshipalya, Bangalore",,09980788974,Computer Training Institutes; Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Chamarajanagar,2025-06-04T10:33:26.302Z
Cad Desk Mysuru ( IT DESK),<,5.0,"1,949 Ratings","5th Cross Saraswathipuram, Mysore",,08511840031,AUTOCAD Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Chamarajanagar,2025-06-04T10:33:26.302Z
Chennai Ace Era Jewellery Design Cad Cam Gold Smith Training Institute,<,4.7,48 Ratings,"Thirumudivakkam Kundrathur, Chennai",,08123076198,Jewellery Designing Institutes; Institutes For Distance Education,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Chamarajanagar,2025-06-04T10:33:26.302Z
Allpro Trainings,<,4.7,406 Ratings,"Aralvaimozhi Aralvaymoli, Kanyakumari",,09035282407,Computer Training Institutes; SAP Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Chamarajanagar,2025-06-04T10:33:26.302Z
NCFT Heights Institute,<,4.5,121 Ratings,"Trivandaram Road Palayamkottai, Tirunelveli",,,Computer Hardware Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Chamarajanagar,2025-06-04T10:33:26.303Z
Kuvio Innovations & Services,<,4.7,3 Ratings,"Magarpatta Road Hadapsar, Pune",,07383101642,Digital Marketing Services; Online Websites,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Chamarajanagar,2025-06-04T10:33:26.303Z
Tech Cluster,<,4.9,"1,334 Ratings","Bhawar Kuan Square Bhawar Kuan, Indore",,08511080624,Computer Training Institutes For 3D Studio Max; Digital Marketing Services,true,true,false,true,true,Vocational training,Popular Computer Training Institutes For Basic,Chamarajanagar,2025-06-04T10:33:26.303Z
