name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Kalaivani Book Centre,K,4.1,144 Ratings,Salem,,,Shop In Store; Same Day Delivery,true,false,false,false,true,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.528Z
Sri Selva Vinayagar Book House,+,4.1,149 Ratings,Trichy,,,Second Hand Book Shops; Book Shops,true,false,false,false,true,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.528Z
Pristine Book House,P,3.5,2 Ratings,Mangalore,,,Book Publishers; Law Book Wholesalers,true,false,false,false,false,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.528Z
Sri Markandeya Book Depot,S,4.1,338 Ratings,Kumbakonam,,,Book Shops; Law Books,true,false,false,false,true,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.529Z
Global Edu Mart,+,4.3,35 Ratings,Alappuzha,,,Book Shops; Stationery Wholesalers,true,false,false,false,true,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.529Z
Scitech Publications (India) Pvt Ltd (Registered Office),S,4.3,4 Ratings,Chennai,,,Book Publishers; Book Shops,false,false,false,false,true,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.529Z
Ars Publications,A,3.8,42 Ratings,Chennai,,,Book Publishers; Computer Software Developers,true,false,false,false,false,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.529Z
Agasthiar Publications,A,4.5,11 Ratings,Chennai,,,Shop In Store,true,false,false,false,false,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.530Z
Ms Shabadimath Book Depot,M,4.1,276 Ratings,Gadag,,07383688048,Book Shops; Stationery Shops,true,false,false,false,true,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.530Z
Krishna Books,K,5.0,1 Ratings,Mumbai,,,Shop In Store; Same Day Delivery,true,false,false,false,false,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.530Z
Sree Vidya Book Point,+,4.8,19 Ratings,Visakhapatnam,,,School Book Dealers; Stationery Wholesalers,true,false,false,false,true,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.530Z
B L Saini Rojgar Center,+,3.7,18 Ratings,Jaipur,,,Book Shops; Competitive Exam Books,true,false,false,false,false,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.531Z
Bani Bitan,+,4.0,2 Ratings,Kolkata,,,Book Shops; Ncert Books,true,false,false,false,false,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.531Z
Book Zone,B,5.0,1 Ratings,Delhi,,,Book Dealers; Book Distributors,true,false,false,false,false,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.531Z
Delhi Book Store,+,4.2,"2,174 Ratings",Delhi,,07411639288,Engineering Book Dealers; Book Shops,true,false,false,true,true,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.532Z
Edusoft It Solutions Pvt Ltd,+,4.5,61 Ratings,Delhi,,,Book Publishers; Book Wholesalers,true,false,false,false,true,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.532Z
Jiwan Books International Pvt Ltd,J,4.3,3 Ratings,Jalandhar,,,Computer Book Wholesalers; Book Wholesalers,true,false,false,false,false,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.533Z
Books Mandi Com,B,0,0 Ratings,Bangalore,,,Medical Book Wholesalers; Book Wholesalers,false,false,false,false,false,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.534Z
Annai Sivagami Pathipagam,A,1.0,1 Ratings,Chennai,,,Computer Programming Language Book Publishers; Book Publishers,true,false,false,false,false,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.534Z
New Prakash book depot,N,0,0 Ratings,Hubli,,,Book Shops; Stationery Wholesalers,true,false,false,false,false,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.534Z
AAI Pustakalay,A,0,0 Ratings,Nashik,,,Book Shops; Stationery Shops,true,false,false,false,false,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.535Z
Saif Books,+,0,0 Ratings,Delhi,,,Home Delivery,true,false,false,false,false,Vocational training,Popular Computer Programming Language Book Wholesalers,Chamarajanagar,2025-06-04T10:38:13.535Z
