name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Makeover By Kavya,<,4.9,20 Ratings,"Jyosthi Nagaara Chikmagalur Fort, Chikmagalur",,09036230920,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.784Z
Beauty Zone Beauty Parlourr,<,5.0,11 Ratings,"K M Road Hanumanthappa Circle, Chikmagalur",,07383080723,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.784Z
Ayur Body Massage and Spa,<,4.5,28 Ratings,"Adimastan Building Tarikere, Chikmagalur",,08197609964,Home Services Offered; Waxing; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.785Z
New Soundarya Herbal Ladies Beauty Parlour,<,4.3,16 Ratings,"M G Road MG Road Chikmagalur, Chikmagalur",,08460410534,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.785Z
Bhoomika Beauty Parlour,<,3.5,2 Ratings,"Basaveshwara Badavane Ajjampura, Chikmagalur",,08123038188,Home Services Offered; Facial; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.785Z
Lakume Salon,<,4.4,366 Ratings,"Harji Road Rathnagiri Road, Chikmagalur",,,Home Services Offered; Nail Art; Waxing,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.785Z
Look Book Unisex Saloon,<,4.7,"1,736 Ratings","RG Road Rg Road, Chikmagalur",,,Facial; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.785Z
Look Book Professional Unisex Salon,<,4.9,508 Ratings,"Cross Road Beekanahalli Rural, Chikmagalur",,,Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.786Z
Ok Saloon,<,4.8,"1,726 Ratings","Hunkle Circle Naidu Street, Chikmagalur",,,Salons; Beauty Parlours,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.786Z
Tarun Beauty Parlour,<,3.8,6 Ratings,"Mg Road Tarikere, Chikmagalur",,,Facial; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.787Z
Beauty Speaks,+,4.8,281 Ratings,"M G Road Vijayapura Main Road, Chikmagalur",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.788Z
Lk Family Salon,+,4.9,756 Ratings,"IG Raod joythinagar, Chikmagalur",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.788Z
B Brown Loreal Unisex Salon,+,4.5,291 Ratings,"R G Road Adarsha Nagara, Chikmagalur",,,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.788Z
LAKUME SALON,+,4.4,366 Ratings,"Cafe Agape First Floor Rg Road, Chikmagalur",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.788Z
Rootz Saloon,+,4.6,18 Ratings,"Basavanahalli Chikmagalur, Chikmagalur",,,Men Beauty Parlours; Salons,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.788Z
Neha'S Makeup Studio And Salon,+,4.9,36 Ratings,"Mg Road Joythinagar, Chikmagalur",,,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.789Z
Chiguru Beauty Parlour,C,4.6,6 Ratings,"Mg Road Lakshmishanagara, Chikmagalur",,,Beauty Parlours,false,true,false,false,false,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.789Z
Green Trends Unisex Hair & Style Salon,+,4.8,256 Ratings,"Km Road Jayanagara, Chikmagalur",,,Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.789Z
Jk11 Unisex Salon,+,4.8,52 Ratings,"Jm Road Mudigere, Chikmagalur",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.789Z
GLAM LOOKS PROFESSIONAL UNISEX SALON,+,4.7,136 Ratings,"Rg Road Vijayapura Main Road, Chikmagalur",,,Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Chikkamagaluru,2025-06-02T13:16:27.789Z
