name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
M PLAY HAIR AND BEAUTY STUDIO,<,4.9,21 Ratings,"Road Basavanahalli Chikmagalur, Chikmagalur",,,Salons; Beauty Parlours,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.465Z
Lakume Salon,<,4.4,366 Ratings,"Harji Road Rathnagiri Road, Chikmagalur",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.465Z
Sinfinity Unisex Salon,<,4.6,7 Ratings,"1st Floor Rathnagiri Road, Chikmagalur",,,Home Services Offered,false,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.465Z
Pragna Beauty Parlor,<,3.7,3 Ratings,"Circle Belur Road Chikmagalur, Chikmagalur",,,Home Services Offered,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.465Z
Brundavana Ladies Herbal Beauty Parlour,<,5.0,2 Ratings,"Kadur, Chikmagalur",,,Salons; Beauty Salons,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.465Z
Angel Beauty Parlour,<,3.0,2 Ratings,"Adarsha Nagara, Chikmagalur",,,Home Services Offered,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.466Z
Arshiya Herbal Beauty Parlour,<,5.0,1 Ratings,"Market Road Chikmagalur, Chikmagalur",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.466Z
Eve's Ladies Beauty Parlour,<,5.0,1 Ratings,"Naidu Street MG Road Chikmagalur, Chikmagalur",,,Women Beauty Parlours; Salons,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.466Z
Cleopatra beauty parlour,<,5.0,1 Ratings,"B M Shree Road Ig Road, Chikmagalur",,,Women Beauty Parlours; Salons,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.466Z
Sinchana Ladies Beauty Parlor,<,4.5,1 Ratings,"Market Road Chikmagalur City, Chikmagalur",,,Home Services Offered,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.466Z
Spin Unisex Salon,+,4.4,458 Ratings,"Road Chikkakondagola, Hassan",,,Beauty Products Sold,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.466Z
Like Spa Ladies Beauty Parlour.RC Road.Hassan,L,4.6,4 Ratings,"Cross Race Course Road Hassan, Hassan",,,Beauty Parlours For Acne Treatment; Beauty Spas,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.466Z
Naturals Salon,+,4.7,"1,652 Ratings","Mg Road Vidhya Nagar, Hassan",,,Advance Reservation Available; Beauty Products Sold,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.466Z
Sparsha Skin Hair and Cosmetology Clinic,+,4.8,596 Ratings,"Kalabhavana Road Salagame Road, Hassan",,,,true,false,false,true,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.466Z
Lotus Spa & Beauty Center,+,3.9,48 Ratings,"Race Course Road Pwd Colony, Hassan",,,Membership Offered; Advance Reservation Available; Home Services Offered,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.466Z
Aldur Clinic-Skin & Cosmetic,A,4.4,5 Ratings,"Park Road Hassan Ho, Hassan",,,,false,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.466Z
Scandal Unisex Salon & Spa,+,4.2,51 Ratings,"Main Road Vidyanagar Hassan, Hassan",,,Home Services Offered,true,false,false,true,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.466Z
Dr Roopesh Gowda - The Skin Clinic Hassan - Dr Sukruthi Raj,+,4.8,533 Ratings,"Harshamahal Rd. Harshamahal Road, Hassan",,08904958870,Aesthetic Dermatology Consultation,true,false,false,true,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.467Z
Dakshyaini Dental and Cosmetic Clinic,+,4.6,14 Ratings,"Koppalu Main Vidya Nagar Hassan, Hassan",,08904894686,,true,false,false,true,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.467Z
Blushing Bride,+,4.2,23 Ratings,"Basettikoppal Main Road, Hassan",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.467Z
Kanasu Makeup Studio,+,3.8,13 Ratings,"Race Course Road Hassan, Hassan",,,Home Services Offered,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.467Z
Beauty Redefined,+,4.3,43 Ratings,"11th Cross Kr Puram Hassan, Hassan",,08490028375,Aesthetic Dermatology Consultation; Vaginoplasty,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.467Z
Shamys Lounge,+,4.2,797 Ratings,"Shankarmutt Road Kr Puram Hassan, Hassan",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.467Z
Twacha Skin & Aesthetic Clinic Laboratory,+,4.0,37 Ratings,"Sampige Road Krishnaraja Pura, Hassan",,09054506052,,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.467Z
Cute & Curly,+,4.2,53 Ratings,"Hassan Mg Road Hassan, Hassan",,,Beauty Parlours; Salons,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.467Z
Fashion Beauty Saloon And Spa,F,3.8,7 Ratings,"Housing Board Hassan City, Hassan",,,Home Services Offered,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.467Z
Isiri Beauty Parlour And Makeup Studio,I,5.0,1 Ratings,"Pete Street Arsikere, Hassan",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.467Z
Nakshatra Beauty Parlor,N,4.0,2 Ratings,"Arsikere, Hassan",,,Home Services Offered,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.467Z
Binishas Hair & Beauty Care,+,4.7,64 Ratings,"College Road Ujire, Dakshina Kannada",,09054492809,Home Services Offered,true,false,false,true,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.467Z
Unicorn Studio,+,4.8,50 Ratings,"Vidyanagar Shimoga, Shimoga",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.467Z
Alpha Beauty And Spa,+,4.7,"3,543 Ratings","Circle Vinoba Nagar Shimoga, Shimoga",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.468Z
Alfa Beauty Care & Spa,+,4.8,"1,906 Ratings","Bh Road Shimoga, Shimoga",,,Beauty Spas; Beauty Parlours,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.468Z
Ashoka Sanjeevni Skin Clinic,+,5.0,23 Ratings,"Bh Road Shimoga, Shimoga",,08460387427,,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.468Z
Shrushti Skin Clinic,+,4.8,644 Ratings,"Near Vatsalya Hospital Durgigudi, Shimoga",,07487845511,,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.468Z
Esthesy Clinic,+,4.8,201 Ratings,"Arkis Arcade Tilaknagar Shimoga, Shimoga",,,,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.468Z
Lakme Salon,+,3.6,8 Ratings,"near jyothi garden Kuvempu Road, Shimoga",,,Home Services Offered,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Chikkamagaluru,2025-06-02T10:29:10.468Z
