name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Ayur Body Massage and Spa,<,4.5,28 Ratings,"Adimastan Building Tarikere, Chikmagalur",,08197609964,Home Services Offered; Thai Massage; Aroma Massage,true,true,false,true,true,Beauty Spa,Popular Beauty Spas,Chikkamagaluru,2025-06-02T13:21:54.681Z
New Soundarya Herbal Ladies Beauty Parlour,<,4.3,16 Ratings,"M G Road MG Road Chikmagalur, Chikmagalur",,08460410534,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Chikkamagaluru,2025-06-02T13:21:54.681Z
Glamor Tech,<,4.3,57 Ratings,"Gandhi Road Indira Gandhi Road, Chikmagalur",,,Men Beauty Parlours; Beauty Spas,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Chikkamagaluru,2025-06-02T13:21:54.681Z
Janees Beauty Salon & Spa,<,4.5,9 Ratings,"Railway Station Road Kadur, Chikmagalur",,,Hair Spa,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Chikkamagaluru,2025-06-02T13:21:54.681Z
Phinix Mens Ac Parlour,<,3.4,13 Ratings,"Road Birur Chikmagalur, Chikmagalur",,,Home Services Offered,true,true,false,false,false,Beauty Spa,Popular Beauty Spas,Chikkamagaluru,2025-06-02T13:21:54.681Z
Glitz N Glam,<,3.2,5 Ratings,"I G Road Ig Road, Chikmagalur",,,Home Services Offered,true,true,false,false,false,Beauty Spa,Popular Beauty Spas,Chikkamagaluru,2025-06-02T13:21:54.681Z
Agasthya Spa,<,3.7,30 Ratings,"Bypass Road Chokkanna Street, Chikmagalur",,,Herbal Body Massage Centres For Men; Body Massage Centres,false,true,false,false,false,Beauty Spa,Popular Beauty Spas,Chikkamagaluru,2025-06-02T13:21:54.681Z
Smart Look Beauty Parlor,<,5.0,1 Ratings,"Beside Road Thogariuncle Circle, Chikmagalur",,,Beauty Parlours; Beauty Spas,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Chikkamagaluru,2025-06-02T13:21:54.681Z
Out Look Good Salon & Spa,<,4.6,21 Ratings,"Margroad Km Road, Chikmagalur",,,Hair Spa,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Chikkamagaluru,2025-06-02T13:21:54.681Z
Sandra Beauty Parlour,<,3.5,4 Ratings,"N R PURA ROAD Balehonnur, Chikmagalur",,,,true,true,false,false,false,Beauty Spa,Popular Beauty Spas,Chikkamagaluru,2025-06-02T13:21:54.681Z
Sinfinity Unisex Salon,S,4.6,7 Ratings,"1st Floor Rathnagiri Road, Chikmagalur",,,Home Services Offered,false,true,false,false,true,Beauty Spa,Popular Beauty Spas,Chikkamagaluru,2025-06-02T13:21:54.681Z
Out Look Good,+,4.8,7 Ratings,"Basavanahalli Chikmagalur, Chikmagalur",,,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Chikkamagaluru,2025-06-02T13:21:54.681Z
Arshiya Herbal Beauty Parlour,A,5.0,1 Ratings,"Market Road Chikmagalur, Chikmagalur",,,Home Services Offered; Hair Spa; Skin Treatment,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Chikkamagaluru,2025-06-02T13:21:54.682Z
