name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Unity Tours and Travel,<,4.7,390 Ratings,"I G Road Ayyappa Nagar, Chikmagalur",,08128097417,Vintage Car; Airport Taxi; Corporate,true,true,false,false,true,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.603Z
Malnad Travels,<,4.7,429 Ratings,"IG Road Ig Road, Chikmagalur",,08128765186,Self Driven,true,true,false,false,true,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.603Z
Pooja Tours and Travels,<,4.8,308 Ratings,"Birur Birur Chikmagalur, Chikmagalur",,07411853140,Vintage Car; Corporate; Chauffeur Driven,true,true,false,true,true,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.603Z
Travel Com,<,4.7,152 Ratings,"M G Road MG Road Chikmagalur, Chikmagalur",,08460477147,Family discount; Discounts For Kids,true,true,false,true,true,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.603Z
True Choice Tours and Travels,<,4.9,273 Ratings,"K M Road Adarsha Nagara, Chikmagalur",,09724912182,Car Rental; Travel Agents,true,true,false,true,true,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.603Z
Pruthvi Tours and Travels,<,4.6,241 Ratings,"Private Bus Stand Road Ig Road, Chikmagalur",,09725629261,Bike On Rent; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.604Z
K G Tours And Travels,<,5.0,12 Ratings,"Railway Station Road Birur Rural, Chikmagalur",,08460541852,Car Rental; Tempo Travellers On Rent,true,true,false,true,true,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.604Z
Dreamzz Travels,<,4.7,80 Ratings,"KM Road Ig Road, Chikmagalur",,07411836089,Family discount; Discounts For Kids,true,true,false,false,true,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.604Z
M S Tours and Travels,<,5.0,151 Ratings,"Highway 206 Birur Chikmagalur, Chikmagalur",,08490819144,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.604Z
S M Tours And Travels Chikmagalur,<,4.9,98 Ratings,"Main Road Sadarahalli, Chikmagalur",,09980807486,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.604Z
Dreams Tours and Travels,+,4.8,137 Ratings,"Vijaypura Adarsha Nagara, Chikmagalur",,09054124824,Self Driven; Corporate,true,true,false,false,true,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.604Z
Sun Travels,S,4.9,6 Ratings,"Janatha Colony Chikmagalur Fort, Chikmagalur",,08105079989,Car Rental; Car Rental For Outstation,true,true,false,true,true,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.604Z
Pooja Tours and Travels,+,4.7,359 Ratings,"Rajajinagar Birur Chikmagalur, Chikmagalur",,08401915189,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.604Z
Prathiksha Travels,+,4.9,200 Ratings,"Maravanji Circle Kadur, Chikmagalur",,09724667352,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.605Z
Mr chikkamalurian tour's and travel,M,5.0,15 Ratings,"I G  Road Ig Road, Chikmagalur",,09845469115,Car Rental; Travel Agents,true,true,false,false,false,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.605Z
M R Travel,+,5.0,72 Ratings,"Chikkamagaluru Indavara, Chikmagalur",,07405225481,Car Rental; Travel Agents,true,true,false,false,true,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.605Z
Good Dreams Chikkamaglur Tours And Cabs,+,5.0,27 Ratings,"KM Road Chikmagalur Fort, Chikmagalur",,09725341682,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Chikkamagaluru,2025-06-02T13:23:15.605Z
