name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Downforce Autoworks,<,4.2,46 Ratings,"Nagara Jyothi Nagar Chikmagalur, Chikmagalur",,08460446208,Company Authorised Dealer,true,true,false,true,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.814Z
18 Car Care,<,5.0,37 Ratings,"Home Road Chikmagalur Fort, Chikmagalur",,07383040626,Car Repair & Services; Garages,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.815Z
Swarna Motors,<,4.8,21 Ratings,"N R Pura Road Balehonnur, Chikmagalur",,08460551227,Towing Services,true,true,false,true,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.815Z
Sri Deviramma Automotive,<,5.0,16 Ratings,"Road Belur Road Chikmagalur, Chikmagalur",,08511656325,Four Wheeler Repair & Services; Car Repair & Services,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.815Z
Fairoz Towing Service & Car Works,<,3.9,42 Ratings,"Bangalore Shimoga Road Kadur, Chikmagalur",,07383069030,Towing Services,true,true,false,true,false,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.816Z
Infinity Body Shop,<,5.0,12 Ratings,"Uppalli 3rd Cross Mallandur Road, Chikmagalur",,08460548225,DoorStep Service,true,true,false,true,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.816Z
Jagadish Auto Works,<,4.8,6 Ratings,"Oppo Abc Coffe Km Road, Chikmagalur",,,Car Repair & Services; Garages,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.816Z
Drive Green Engine Carbon Clean,<,5.0,11 Ratings,"Kollapurdamma Chikmagalur Fort, Chikmagalur",,09606404435,Delivery Available,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.816Z
Friends Autoworks,<,4.5,4 Ratings,"Mudigere Road Aldur Chikmagalur, Chikmagalur",,,Car Repair & Services; Car Painting Services,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.817Z
Rizwan Car Garage and Towing Service,<,5.0,1 Ratings,"BH Road Kadur, Chikmagalur",,,,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.817Z
Durga Automotive,+,4.3,56 Ratings,"Indavara Village Uppalli, Chikmagalur",,,Company Authorised Dealer,true,true,false,true,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.818Z
Aleem Pasha M G H Motors,+,4.8,20 Ratings,"Room 3rd Left Mallandur Road, Chikmagalur",,,Body Shop; Oil Change; 24 Hours Towing Services,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.818Z
INDIAN CAR REPAIRS AND SERVICES,+,4.8,11 Ratings,"60 Feet Road Mallandur Road, Chikmagalur",,,DoorStep Service; Breakdown Support Over Phone,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.818Z
Rr Car Care,+,5.0,1 Ratings,"K M Road Adarsha Nagara, Chikmagalur",,,Car Repair & Services; Car Painting Services,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.818Z
Calibar Motors,+,4.8,5 Ratings,"Km Road Adarsha Nagara, Chikmagalur",,,Towing Services; Breakdown Support Over Phone; On-site Repair,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.818Z
Maruti Service Centre,+,4.4,9 Ratings,"BH Road Tarikere, Chikmagalur",,,Company Authorised Dealer; On-site Repair,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.818Z
Motomasters,+,5.0,9 Ratings,"Uppalli, Chikmagalur",,,Car Repair & Services; Car Painting Services,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.819Z
Rahul Hyundai,+,4.7,877 Ratings,"Vijayapura, Chikmagalur",,,Car Repair & Services; Car Dealers,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.819Z
Rahul Hyundai Service,R,4.8,525 Ratings,"Mallandur Road Indavara, Chikmagalur",,,On Site Services; Oil Change,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.819Z
Karnataka Agencies,K,4.6,514 Ratings,"Clinic Belur Road Chikmagalur, Chikmagalur",,,Car Repair & Services; Car Dealers-Mahindra,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.819Z
Nadeem Car Repair And Service,+,4.6,212 Ratings,"Salam Masjid Road Mallandur Road, Chikmagalur",,,DoorStep Service; Fuel Delivery; 24x7 Customer Support,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.819Z
Karnataka Agencies,+,4.0,237 Ratings,"Km Road, Chikmagalur",,,Company Authorised Dealer,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.819Z
Shruti Motors,+,4.0,192 Ratings,"KM Road Adarsha Nagara, Chikmagalur",,,Company Authorised Dealer; Loan Facility; Test Ride Offered,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.820Z
Karnataka Agencies,+,4.3,108 Ratings,"1st Mile Stone Kadur, Chikmagalur",,,Company Authorised Dealer; Shop In Store,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.820Z
Aamanthrana Motors,+,4.2,89 Ratings,"Km Road, Chikmagalur",,,Car Repair & Services; Tyre Puncture Repair,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.820Z
Shreyas Automotive,+,4.3,71 Ratings,"Rampura, Chikmagalur",,,Car Dealers; Car Repair & Services,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.820Z
Formula Motors,+,4.6,62 Ratings,"I G Road Chikmagalur HO, Chikmagalur",,,Car Repair & Services; Garages,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.820Z
Shubashree Motors,+,4.4,60 Ratings,"Agumbe Road Sringeri, Sringeri",,,Car Repair & Services; Garages,true,true,false,true,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.821Z
City Auto Works,+,4.7,53 Ratings,"Malandur Road Chikmagalur HO, Chikmagalur",,,Automobile Electrical Works; Car Repair & Services,true,true,false,false,true,Car Repair & Services,,Chikkamagaluru,2025-06-02T10:39:16.821Z
