name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Inspira Foods,<,4.9,15 Ratings,"Kalyan Nagar Vokkaligara, Chikmagalur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Gujarati Caterers,Chikkamagaluru,2025-06-02T13:33:58.019Z
Sri annapoorneshwari catering services,<,5.0,2 Ratings,"B Katehalli Hassan City, Hassan",,,Home Delivery,true,false,false,false,true,Caterers,Popular Gujarati Caterers,Chikkamagaluru,2025-06-02T13:33:58.019Z
Spoorthi Catering Services And Event Organisers,<,5.0,3 Ratings,"Puttur Parladka Devasya Road, Puttur",,,Parking Available; 24 Hours; Home Delivery,true,false,false,false,true,Caterers,Popular Gujarati Caterers,Chikkamagaluru,2025-06-02T13:33:58.019Z
Nidhi Catering Mangalore,<,5.0,1 Ratings,"Post Village Mangaloru Adyar, Mangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Gujarati Caterers,Chikkamagaluru,2025-06-02T13:33:58.020Z
Indira Cateres,<,4.8,14 Ratings,"Kulshekara N H Road Kulshekar, Mangalore",,08296125663,Home Delivery,true,false,false,false,true,Caterers,Popular Gujarati Caterers,Chikkamagaluru,2025-06-02T13:33:58.020Z
Janani Foods and Caters,<,4.8,48 Ratings,"13th Cross Ktj Nagar, Davangere",,07405489136,Home Delivery,true,false,false,true,true,Caterers,Popular Gujarati Caterers,Chikkamagaluru,2025-06-02T13:33:58.021Z
Mother Caterers,<,4.4,4 Ratings,"Nagar Narasimharaja Mohalla, Mysore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Gujarati Caterers,Chikkamagaluru,2025-06-02T13:33:58.021Z
Charbhuja Caterers,<,4.8,5 Ratings,"15th Cross SS Puram, Tumkur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Gujarati Caterers,Chikkamagaluru,2025-06-02T13:33:58.021Z
Jeevan Catering,<,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Gujarati Caterers,Chikkamagaluru,2025-06-02T13:33:58.022Z
Shabari Caterers,<,4.3,7 Ratings,"1st Cross Kr Mohalla, Mysore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Gujarati Caterers,Chikkamagaluru,2025-06-02T13:33:58.022Z
Sri Ramdev Caterers Mysore,+,4.6,11 Ratings,"Gandhi Square Lashkar Mohalla, Mysore",,09980204685,Caterers; Veg Caterers,true,false,false,true,true,Caterers,Popular Gujarati Caterers,Chikkamagaluru,2025-06-02T13:33:58.022Z
Swaad Food Express,+,3.6,3 Ratings,"B M Road Gandhi Nagar Mandya, Mandya",,,,false,false,false,false,false,Caterers,Popular Gujarati Caterers,Chikkamagaluru,2025-06-02T13:33:58.022Z
Shani Caters,+,4.9,7 Ratings,"Kannur City Kannur City, Kannur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Gujarati Caterers,Chikkamagaluru,2025-06-02T13:33:58.023Z
Prabhu Caterers,P,4.0,1 Ratings,"Honavar Bazar, Karwar",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Gujarati Caterers,Chikkamagaluru,2025-06-02T13:33:58.023Z
Treat O Treat,T,5.0,2 Ratings,"Thagachaguppe Road Kumbalgodu, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Gujarati Caterers,Chikkamagaluru,2025-06-02T13:33:58.023Z
Sri Gururaja Catering,S,4.1,10 Ratings,"8th Cross Kengeri Satelite Town, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Gujarati Caterers,Chikkamagaluru,2025-06-02T13:33:58.023Z
