name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Inspira Foods,<,4.9,15 Ratings,"Kalyan Nagar Vokkaligara, Chikmagalur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Chikkamagaluru,2025-06-02T13:34:53.067Z
Sri Annapurna Mess Pure Veg,<,4.9,6 Ratings,"Sagara Main Road Apmc Marketyard, Shimoga",,,,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Chikkamagaluru,2025-06-02T13:34:53.068Z
Ethnic Bawarchis Bulk Kitchen,<,3.6,152 Ratings,"Bailoor Road Manipal, Manipal",,,,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Chikkamagaluru,2025-06-02T13:34:53.068Z
Jeevan Catering,<,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Chikkamagaluru,2025-06-02T13:34:53.068Z
Annapoorneshwari Catering,<,4.7,24 Ratings,"Layout Ramakrishnanagar, Mysore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Chikkamagaluru,2025-06-02T13:34:53.068Z
Shani Caters,<,4.9,7 Ratings,"Kannur City Kannur City, Kannur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Chikkamagaluru,2025-06-02T13:34:53.068Z
Prabhu Caterers,<,4.0,1 Ratings,"Honavar Bazar, Karwar",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Hyderabadi Caterers,Chikkamagaluru,2025-06-02T13:34:53.068Z
R K Catering,<,4.5,2 Ratings,"Hesaraghatta Road Sidedahalli, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Chikkamagaluru,2025-06-02T13:34:53.068Z
Chavish Events,<,4.2,12 Ratings,"No. 21 Laggere, Bangalore",,,Event Organisers; Caterers,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Chikkamagaluru,2025-06-02T13:34:53.068Z
Bhagavathy Caterers,<,5.0,1 Ratings,"Bda Lyt Nagarbhavi, Bangalore",,,Caterers; Caterers Upto 50 Persons,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Chikkamagaluru,2025-06-02T13:34:53.068Z
The Food Caterers,T,5.0,1 Ratings,"Mathikere Main Road Yeshwanthpur, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Chikkamagaluru,2025-06-02T13:34:53.068Z
Laxmi Caterers,L,4.5,2 Ratings,"11th Main Vijayanagar, Bangalore",,,Caterers; Veg Caterers,true,false,false,true,false,Caterers,Popular Hyderabadi Caterers,Chikkamagaluru,2025-06-02T13:34:53.068Z
Tasty Food Catering And Event Organizer,+,5.0,5 Ratings,"Melapuram Cross Hindupur HO, Hindupur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Chikkamagaluru,2025-06-02T13:34:53.068Z
Sri Maruthi Military Hotel,+,3.8,416 Ratings,"Rajajinagar 1st Block, Bangalore",,,,true,false,false,true,false,Caterers,Popular Hyderabadi Caterers,Chikkamagaluru,2025-06-02T13:34:53.068Z
T K Catering Service,+,4.3,6 Ratings,"7th Main Road Yeshwanthpur, Bangalore",,,Industrial Caterers; Caterers,true,false,false,false,false,Caterers,Popular Hyderabadi Caterers,Chikkamagaluru,2025-06-02T13:34:53.068Z
