name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Royal Cafe,<,4.5,47 Ratings,"Balehonnur Road Balehonnur, Chikmagalur",,,,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Chikkamagaluru,2025-06-02T13:35:54.454Z
Sri annapoorneshwari catering services,<,5.0,2 Ratings,"B Katehalli Hassan City, Hassan",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Chikkamagaluru,2025-06-02T13:35:54.454Z
Royal Cafe,<,4.0,29 Ratings,"Alameda Aralepet, Hassan",,,,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Chikkamagaluru,2025-06-02T13:35:54.454Z
Shree Vaidhyanatha Caterings,<,5.0,2 Ratings,"Konimar Site Neermarga, Mangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Chikkamagaluru,2025-06-02T13:35:54.454Z
Chamundeshwari Enterprises,<,5.0,1 Ratings,"Kullangal House Surathkal, Mangalore",,,Caterers; Veg Caterers,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Chikkamagaluru,2025-06-02T13:35:54.455Z
Royal Cafe,<,3.5,3 Ratings,"Fernandez Building Hampankatta, Mangalore",,,,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Chikkamagaluru,2025-06-02T13:35:54.455Z
Sri Sai Caterers,<,4.3,3 Ratings,"Street  Bunts Hostel Road, Mangalore",,,,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Chikkamagaluru,2025-06-02T13:35:54.455Z
Chilly Hut,<,3.9,67 Ratings,"Chemperi Chemperi, Kannur",,,,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Chikkamagaluru,2025-06-02T13:35:54.455Z
Jeevan Catering,<,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Chikkamagaluru,2025-06-02T13:35:54.456Z
Swaad Food Express,<,3.6,3 Ratings,"B M Road Gandhi Nagar Mandya, Mandya",,,,false,false,false,false,false,Caterers,Popular Multicuisine Caterers,Chikkamagaluru,2025-06-02T13:35:54.456Z
Taste Hut Caterers & Events,+,4.9,18 Ratings,"Thondiyil, Kannur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Chikkamagaluru,2025-06-02T13:35:54.456Z
Royal Cafe,+,3.8,17 Ratings,"Chungam Pappinisseri, Kannur",,,,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Chikkamagaluru,2025-06-02T13:35:54.456Z
Crew 24x7 Events Pvt Ltd,+,5.0,1 Ratings,"Caltex Junction Kannur Ho, Kannur",,,Event Decoration,true,false,false,true,true,Caterers,Popular Multicuisine Caterers,Chikkamagaluru,2025-06-02T13:35:54.457Z
Creweventor Events & Catering,+,5.0,2 Ratings,"Vyithri Kalpetta, Wayanad",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Chikkamagaluru,2025-06-02T13:35:54.457Z
