name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Inspira Foods,<,4.9,15 Ratings,"Kalyan Nagar Vokkaligara, Chikmagalur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Muslim Food Caterers,Chikkamagaluru,2025-06-02T13:36:56.664Z
Taj Caterers,<,4.2,23 Ratings,"1st Cross Shariff Street, Chikmagalur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Muslim Food Caterers,Chikkamagaluru,2025-06-02T13:36:56.664Z
A R Caterers,<,4.5,1 Ratings,"Ayyappa Temple Ig Road, Chikmagalur",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Muslim Food Caterers,Chikkamagaluru,2025-06-02T13:36:56.664Z
Bismillah Food And Catering,<,4.0,2 Ratings,"Azad Road Sakleshpur, Sakleshpur",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Muslim Food Caterers,Chikkamagaluru,2025-06-02T13:36:56.665Z
Ilyaz Caterers,<,4.5,1 Ratings,"Tippunagar Pension Mohalla, Hassan",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Muslim Food Caterers,Chikkamagaluru,2025-06-02T13:36:56.665Z
Sri annapoorneshwari catering services,<,5.0,2 Ratings,"B Katehalli Hassan City, Hassan",,,Home Delivery,true,false,false,false,true,Caterers,Popular Muslim Food Caterers,Chikkamagaluru,2025-06-02T13:36:56.665Z
Arogya Sambar Kendra,<,3.8,3 Ratings,"9 Th Cross Sampige Road Hassan, Hassan",,,Home Delivery,true,false,false,false,false,Caterers,Popular Muslim Food Caterers,Chikkamagaluru,2025-06-02T13:36:56.665Z
Shahi Caterers,<,4.8,3 Ratings,"HH Road Bhadravathi Old Town, Bhadravathi-Karnataka",,08460521037,Caterers For Non Veg Biryani; Caterers,true,false,false,false,true,Caterers,Popular Muslim Food Caterers,Chikkamagaluru,2025-06-02T13:36:56.665Z
Tasleem Catering Service,<,5.0,2 Ratings,"100ft Road Mandli, Shimoga",,,Caterers For Wedding; Caterers,true,false,false,false,true,Caterers,Popular Muslim Food Caterers,Chikkamagaluru,2025-06-02T13:36:56.665Z
Royal Events,<,4.0,3 Ratings,"VIDYANAGAR SHIMOGA, Shimoga",,,Caterers; Flower Decorators,true,false,false,false,false,Caterers,Popular Muslim Food Caterers,Chikkamagaluru,2025-06-02T13:36:56.665Z
Sadhu Catering,S,4.7,3 Ratings,"Seegehatti Shimoga City, Shimoga",,,Home Delivery,true,false,false,false,true,Caterers,Popular Muslim Food Caterers,Chikkamagaluru,2025-06-02T13:36:56.665Z
Ammath Caterers,+,3.9,9 Ratings,"100 Feet Road, Shimoga",,,,true,false,false,false,false,Caterers,Popular Muslim Food Caterers,Chikkamagaluru,2025-06-02T13:36:56.666Z
Hamza Catering Services,H,4.5,1 Ratings,"Restaurant Achutha Rao Layout, Shimoga",,,Caterers; Veg Caterers,false,false,false,false,true,Caterers,Popular Muslim Food Caterers,Chikkamagaluru,2025-06-02T13:36:56.666Z
Nandhini Food Services,N,5.0,1 Ratings,"Machena Halli Shimoga Ho, Shimoga",,,Home Delivery,false,false,false,false,true,Caterers,Popular Muslim Food Caterers,Chikkamagaluru,2025-06-02T13:36:56.666Z
