name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Udupi Hotel,<,4.0,397 Ratings,"Gavanahalli Gavanahalli, Chikmagalur",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Caterers For Office,Chikkamagaluru,2025-06-02T13:39:43.027Z
Royal Caterers,<,4.3,6 Ratings,"Shariff Street Shariff Street, Chikmagalur",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Caterers For Office,Chikkamagaluru,2025-06-02T13:39:43.028Z
Majisa Rnm Sweets and Caterers,<,5.0,2 Ratings,"2nd Cross Road Robertsonpet, Kolar",,09972933072,Caterers For Office; Caterers,true,false,false,false,true,Caterers,Popular Caterers For Office,Chikkamagaluru,2025-06-02T13:39:43.028Z
Sree Durga Parameshwari Catering Service,<,4.5,15 Ratings,"Main Road Hanumantha Nagar, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For Office,Chikkamagaluru,2025-06-02T13:39:43.028Z
Sri Gulab Caterers & Events,<,4.8,43 Ratings,"Androon Quilla, Raichur",,,,true,false,false,false,true,Caterers,Popular Caterers For Office,Chikkamagaluru,2025-06-02T13:39:43.028Z
Sri Maa Asapura Caterers,<,4.8,18 Ratings,"Gunj Road M G Road Raichur, Raichur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For Office,Chikkamagaluru,2025-06-02T13:39:43.029Z
Train Zaika,<,4.1,"1,296 Ratings","Station Road Budhwari Bazar, Bilaspur-Chhattisgarh",,07411587292,,false,false,false,true,true,Caterers,Popular Caterers For Office,Chikkamagaluru,2025-06-02T13:39:43.029Z
Sab Hospitality Services,<,4.9,144 Ratings,"5 Viram Khand Gomti Nagar, Lucknow",,08460247319,Caterers For Hospital; Caterers For Wedding,true,false,false,true,true,Caterers,Popular Caterers For Office,Chikkamagaluru,2025-06-02T13:39:43.029Z
Inspira Foods,<,4.9,15 Ratings,"Kalyan Nagar Vokkaligara, Chikmagalur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Caterers For Office,Chikkamagaluru,2025-06-02T13:39:43.029Z
BKS Veg Hotel,<,4.1,39 Ratings,"BH Road Belenahalli Tarikere, Chikmagalur",,,,true,false,false,false,true,Caterers,Popular Caterers For Office,Chikkamagaluru,2025-06-02T13:39:43.029Z
Sns Event Organiser,+,3.2,5 Ratings,"Nagar Market Road Chikmagalur, Chikmagalur",,,Banquet Hall Decoration; Car Decoration; 24 Hours,true,false,false,false,false,Caterers,Popular Caterers For Office,Chikkamagaluru,2025-06-02T13:39:43.029Z
