name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
S S Caters And Events,<,4.8,3 Ratings,"THIRTHAHALLI TQ Chikmagalur Zp, Chikmagalur",,07383210455,Veg Caterers; Caterers,true,true,false,true,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.644Z
Sns Event Organiser,<,3.2,5 Ratings,"Nagar Market Road Chikmagalur, Chikmagalur",,,Banquet Hall Decoration; Car Decoration; 24 Hours,true,true,false,false,false,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.644Z
Hotel Sri Ganesh Prasad,<,3.6,225 Ratings,"Km Road Mudigere, Chikmagalur",,,,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.644Z
Inspira Foods,<,4.9,15 Ratings,"Kalyan Nagar Vokkaligara, Chikmagalur",,,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.644Z
New Vaibhav Hotel,<,4.0,97 Ratings,"Mulayanagiri Road Ramanahalli, Chikmagalur",,,,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.644Z
Taj Caterers,<,4.2,23 Ratings,"1st Cross Shariff Street, Chikmagalur",,,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.644Z
Royal Caterers,<,4.3,6 Ratings,"Shariff Street Shariff Street, Chikmagalur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.644Z
B.g Ragavendra Caterers,<,3.0,2 Ratings,"pump house 3rd cross Hassan, Chikmagalur",,,Home Delivery,true,true,false,false,false,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.644Z
Thrupthi Catering Services,<,4.3,3 Ratings,"Heerekolale Road Uppalli, Chikmagalur",,,Caterers; Decorators,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
RK Galaxy Catering Service,<,5.0,1 Ratings,"Aza Maszid Chikmagalur City, Chikmagalur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Indian Coffee House,+,3.7,21 Ratings,"Belur Temple Road, Belur",,,,false,true,false,false,false,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Bismillah Food And Catering,B,4.0,2 Ratings,"Azad Road Sakleshpur, Sakleshpur",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
SBL Caterers,+,5.0,25 Ratings,"Hosakoppalu, Hassan",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Sanvi Veg Catering,+,5.0,26 Ratings,"Vijayanagara Bm Road, Hassan",,08511689664,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Chef & Dish Caterers,+,5.0,2 Ratings,"Santhepete Bm Road, Hassan",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
KGN Catring Contractor,K,4.8,2 Ratings,"Road Hemavathy Nagar Hassan, Hassan",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Vishnu Udupi Thindi,+,4.0,"2,318 Ratings","Ring Road Hassan City, Hassan",,,,true,false,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Sri annapoorneshwari catering services,S,5.0,2 Ratings,"B Katehalli Hassan City, Hassan",,,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Manjunath and Yogesh Cooking and Catering,+,4.8,2 Ratings,"Ravindra Nagara Hassan City, Hassan",,07041211467,Caterers; Veg Caterers,true,true,false,true,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Arogya Sambar Kendra,A,3.8,3 Ratings,"9 Th Cross Sampige Road Hassan, Hassan",,,Home Delivery,true,true,false,false,false,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
New Famous Catering Services,+,4.1,"1,008 Ratings","7th Cross Kr Puram Hassan, Hassan",,,Caterers; Veg Caterers,false,false,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Manjunath Catering,M,4.5,2 Ratings,"Udayagiri Road Kuvempu Nagar, Hassan",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Pulimunchi caterers,+,4.9,8 Ratings,"Channapattana, Hassan",,,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Janatha Events And Management,+,4.0,1 Ratings,"H H road Bhadravathi Paper Town, Shimoga",,08296304716,Flower Decorators; Caterers,true,true,false,false,false,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Rama Somayaji Caterers,R,4.1,20 Ratings,"belthangadi Taluk Dharmasthala, Dharmasthala",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Manjunatha Caterers,+,4.9,33 Ratings,"Aradhana Dharmasthala, Dharmasthala",,,On Site Services,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Ss Cateers,S,5.0,1 Ratings,"Thirthahalli, Shimoga",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Sadhu Catering,S,4.7,3 Ratings,"Seegehatti Shimoga City, Shimoga",,,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Sln Caterers,+,4.4,14 Ratings,"B B Street Durgigudi, Shimoga",,,Caterers; Veg Caterers,true,true,false,true,true,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Ayub Canteen,A,3.7,3 Ratings,"Feet Outer Ring Road Doddapet, Shimoga",,,,true,true,false,false,false,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.645Z
Ammath Caterers,+,3.9,9 Ratings,"100 Feet Road, Shimoga",,,,true,true,false,false,false,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.646Z
Kaveri Fish Land,+,3.9,658 Ratings,"Hole Bus Stop Bh Road Shimoga, Shimoga",,,,true,false,false,false,false,Caterers,Popular South Indian Caterers,Chikkamagaluru,2025-06-02T13:41:43.646Z
