name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
S S Caters And Events,<,4.8,3 Ratings,"THIRTHAHALLI TQ Chikmagalur Zp, Chikmagalur",,07383210455,Veg Caterers; Caterers,true,true,false,true,true,Caterers,Popular Caterers For Wedding,Chikkamagaluru,2025-06-02T13:43:49.938Z
Chandu Events & Photography,<,5.0,6 Ratings,"Chowlahiriyur, Chikmagalur",,08460549091,,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Chikkamagaluru,2025-06-02T13:43:49.939Z
H Group & Arbin Caterers,<,5.0,2 Ratings,"2nd Stage Banashankari Road, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Chikkamagaluru,2025-06-02T13:43:49.939Z
Majisa Rnm Sweets and Caterers,<,5.0,2 Ratings,"2nd Cross Road Robertsonpet, Kolar",,09972933072,Caterers For Office; Caterers,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Chikkamagaluru,2025-06-02T13:43:49.939Z
Sree Durga Parameshwari Catering Service,<,4.5,15 Ratings,"Main Road Hanumantha Nagar, Bangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Chikkamagaluru,2025-06-02T13:43:49.939Z
Sri Gulab Caterers & Events,<,4.8,43 Ratings,"Androon Quilla, Raichur",,,,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Chikkamagaluru,2025-06-02T13:43:49.940Z
Sri Maa Asapura Caterers,<,4.8,18 Ratings,"Gunj Road M G Road Raichur, Raichur",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Chikkamagaluru,2025-06-02T13:43:49.940Z
Sr Events,<,4.4,18 Ratings,"Puduru Palakollu, West Godavari",,08460403938,Event Organisers; Caterers,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Chikkamagaluru,2025-06-02T13:43:49.941Z
Enzoey.com,<,4.5,133 Ratings,Mumbai,,08488949380,,true,true,false,true,true,Caterers,Popular Caterers For Wedding,Chikkamagaluru,2025-06-02T13:43:49.941Z
Sab Hospitality Services,<,4.9,144 Ratings,"5 Viram Khand Gomti Nagar, Lucknow",,08460247319,Caterers For Hospital; Caterers For Wedding,true,true,false,true,true,Caterers,Popular Caterers For Wedding,Chikkamagaluru,2025-06-02T13:43:49.942Z
Ebk Event Management Pvt Ltd,+,4.6,53 Ratings,"Extension 2 Nangloi Extension, Delhi",,08511787702,,true,true,false,true,true,Caterers,Popular Caterers For Wedding,Chikkamagaluru,2025-06-02T13:43:49.942Z
Sri Krishna Grand,+,3.8,203 Ratings,"Galihalli Cross Tarikere, Chikmagalur",,,,true,true,false,false,false,Caterers,Popular Caterers For Wedding,Chikkamagaluru,2025-06-02T13:43:49.942Z
