name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Dtdc Courier Service,<,4.3,104 Ratings,"K M ROAD Km Road, Chikmagalur",,,Door to Door,true,true,false,true,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.715Z
Gati Transportation Service,<,5.0,2 Ratings,"60 Feet Road Mallandur Road, Chikmagalur",,,Courier Services; Transporters,true,true,false,false,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.715Z
Shree Renukha Devi Transport,<,3.8,17 Ratings,"Extension Ring Road, Hassan",,08792261100,Commercial Courier; Corporate Courier; Ecommerce Courier,true,true,false,false,false,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.715Z
Sri Ganapathy Transport and Traveling Agency,<,4.5,19 Ratings,"Palayam Kalappa Naicken Palayam, Coimbatore",,08123376960,Courier Services; Transporters,true,true,false,true,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.715Z
Fastmove Courier,<,4.7,3 Ratings,"Kurudusonnenahalli, Bangalore",,08105091177,Corporate Courier; Ecommerce Courier; Cargo Service,true,true,false,false,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.715Z
Apeksha Logistics Pvt Ltd,<,4.5,1 Ratings,"Main Road Singahalli, Bangalore",,07041967715,Cargo Service; Domestic Courier; Urgent Shipment Delivery,true,true,false,false,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.715Z
Sky Land Xpress Cargo,<,4.0,44 Ratings,"KPN Colony Union Mill Road, Tirupur",,,,true,true,false,true,false,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.715Z
Alleppey Parcel Service L L P,<,4.0,74 Ratings,"Vazhichery Ward Court Road, Alappuzha",,,Commercial Courier; Corporate Courier; Ecommerce Courier,true,true,false,true,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Urbx Worldwide,<,4.7,74 Ratings,"Cochin Special Economic Zone, Ernakulam",,08401097476,International Courier; Cargo Service; Domestic Courier,true,true,false,false,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Xpress INDIA,<,4.2,400 Ratings,"Street Industrial Colony Trichy, Trichy",,07383608407,Cargo Service; Trucks On Rent; Bulk Courier,true,true,false,false,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Fastmove Courier & Cargo Services,F,5.0,2 Ratings,"MD Farm Road Kanajiguda, Hyderabad",,08733880985,Corporate Courier; Bulk Courier; Speed Post,true,true,false,false,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Aastik Maharaj Trader,+,5.0,1 Ratings,"Kukatpally Kukatpally, Hyderabad",,07411644350,,true,true,false,false,false,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Speedman Express,+,3.9,81 Ratings,"Chira Bazar-Kalbadevi, Mumbai",,08128897011,Ecommerce Courier; Domestic Courier; Bulk Courier,true,true,false,true,false,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
South Indian Transport Company,+,3.7,13 Ratings,"Mankoli Road Bhiwandi City, Bhiwandi",,07041943753,Door to Door,true,true,false,false,false,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Vrltransport Services,+,3.6,10 Ratings,"Masjid Bunder, Mumbai",,09980763661,Electronic,true,true,false,false,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Shubhaam Logistics Services,S,5.0,1 Ratings,"Swadeshi Mill Road Sion, Mumbai",,09606413539,Cargo Service,true,true,false,true,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Fastmove Courier & Cargo Services,+,4.2,9 Ratings,"Sainaka Andheri East, Mumbai",,08123380727,Commercial Courier; Cargo Service; Corporate Courier,true,true,false,false,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Fastmove Courier & Cargo Services,F,3.5,2 Ratings,"Transport Nagar-Nigdi, Pune",,07041651674,Ecommerce Courier; Bulk Courier; Cargo Service,true,true,false,false,false,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Jpg Logistics,J,4.5,8 Ratings,"SOUTH BAGHSEWANIYA Amrai Parisar, Bhopal",,08460300399,Cargo Service; Domestic Courier,true,true,false,false,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Associated Logistics Corporation Of INDIA,+,4.1,185 Ratings,"Sector - C Sonagiri Indrapuri, Bhopal",,08460280113,Bulk Courier; Domestic Courier; Corporate Courier,true,true,false,true,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Mirai Logistics India Private Limited,+,3.5,279 Ratings,"Kesarwani College Garha Phatak, Jabalpur",,08511256279,International Courier; All India; Cargo Service,true,true,false,false,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Bajrang Roadlines,+,4.5,12 Ratings,"Etaura Rewa Super Bazar, Rewa",,08401896025,Door to Door,true,true,false,false,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Engineers Parcel,+,4.2,21 Ratings,"I2H Building IIT ISM Hirapur, Dhanbad",,08971740245,Courier Services; Packers And Movers,true,true,false,false,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
India Door to Door Cargo Services,I,3.1,10 Ratings,"SSB Camp Rangamati, Ranchi",,08460507650,Cargo Service; Domestic Courier; Air Courier,true,true,false,false,false,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Fastmove Courier & Cargo Services,+,4.2,51 Ratings,"Road No. 5K Kishoreganj Chowk, Ranchi",,08197493875,Door to Door,true,true,false,false,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Door to Door All India Service,+,5.0,4 Ratings,"Bhumi Link Road Link Road, Mathura",,08460406701,Domestic Courier; Air Courier,true,true,false,false,false,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.716Z
Om Sai Angdiya,O,4.3,20 Ratings,"Hana Ansari Road Darya Ganj, Delhi",,07383240726,,true,true,false,true,true,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.717Z
Digital Cargo,D,4.1,16 Ratings,"5 Kaushik Enclave Burari, Delhi",,08792663371,Bulk Courier; Commercial Courier; Corporate Courier,true,true,false,false,false,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.717Z
Transxpress World Wide,T,3.6,14 Ratings,"Janakpuri B Block, Delhi",,08511712179,Cargo Service,true,true,false,false,false,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.717Z
Pooja Logistic,+,4.0,8 Ratings,"Kiran Garden-uttam Nagar, Delhi",,07411590145,Commercial Courier; Domestic Courier; Corporate Courier,true,true,false,false,false,Courier Services,,Chikkamagaluru,2025-06-02T13:47:32.717Z
