name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Shivu Events And Home Needs,<,3.8,2 Ratings,"Aralepet, Hassan",,,Car Decoration; 24 Hours Open,true,false,false,false,true,Event Organizer,Popular Stage Show Organisers,Chikkamagaluru,2025-06-02T13:58:34.505Z
S R K Events,<,4.0,4 Ratings,"Mosralli Barandur, Shimoga",,08488053575,Balloon Arch; On Site Services; Balloon Backdrop,true,false,false,false,false,Event Organizer,Popular Stage Show Organisers,Chikkamagaluru,2025-06-02T13:58:34.506Z
Katti Crew Event Management,<,4.6,79 Ratings,"Old Post Office Road-Shimoga HO, Shimoga",,,Caterers; Event Organisers,true,false,false,false,true,Event Organizer,Popular Stage Show Organisers,Chikkamagaluru,2025-06-02T13:58:34.506Z
N K Event Management,<,3.5,3 Ratings,"KSRTC Bus Stand Shimoga Ho, Shimoga",,,Event Organisers For Dance Parties; Event Organisers,true,false,false,false,false,Event Organizer,Popular Stage Show Organisers,Chikkamagaluru,2025-06-02T13:58:34.506Z
Star Crew Event Organizers,<,4.0,8 Ratings,"BH Road, Shimoga",,,Balloon Decorators; Caterers,true,false,false,false,false,Event Organizer,Popular Stage Show Organisers,Chikkamagaluru,2025-06-02T13:58:34.506Z
Kalaathmika Event Planners,<,4.1,13 Ratings,"7th Cross Ravindra Nagar, Shimoga",,,Textured Wall Painting,true,false,false,false,true,Event Organizer,Popular Stage Show Organisers,Chikkamagaluru,2025-06-02T13:58:34.507Z
Angel Creations,<,4.7,36 Ratings,"Street Sharavathi Nagar, Shimoga",,,Banquet Hall Decoration; Videography,true,false,false,false,true,Event Organizer,Popular Stage Show Organisers,Chikkamagaluru,2025-06-02T13:58:34.507Z
Dreamz Event Management,<,2.5,7 Ratings,"Savalanga Road, Shimoga",,09035246271,Event Organisers; Event Organisers For Birthday Party,true,false,false,false,false,Event Organizer,Popular Stage Show Organisers,Chikkamagaluru,2025-06-02T13:58:34.508Z
Arunodaya Events,<,4.8,158 Ratings,"2nd Cross Jayanagar Shimoga, Shimoga",,08792490925,Car Decoration,true,false,false,true,true,Event Organizer,Popular Stage Show Organisers,Chikkamagaluru,2025-06-02T13:58:34.508Z
SMART EVENT Management & Marketing Services,<,3.9,7 Ratings,"J.P. Hospital Savalanga Road, Shimoga",,,Event Management Companies For Celebrity; Event Organisers,false,false,false,false,false,Event Organizer,Popular Stage Show Organisers,Chikkamagaluru,2025-06-02T13:58:34.509Z
Samhitha Events,S,4.1,7 Ratings,"Main Road Savalanga Road, Shimoga",,,Dance Troupe; Event Organisers,true,false,false,false,true,Event Organizer,Popular Stage Show Organisers,Chikkamagaluru,2025-06-02T13:58:34.509Z
Mantra Event Management,+,4.8,2 Ratings,"Feet Road Vinoba Nagar Shimoga, Shimoga",,,Event Management Companies; Event Organisers,false,false,false,false,true,Event Organizer,Popular Stage Show Organisers,Chikkamagaluru,2025-06-02T13:58:34.509Z
White Collar Events,W,2.8,2 Ratings,"2nd Stage Vinoba Nagar Shimoga, Shimoga",,,Event Organisers; Event Organisers For Birthday Party,true,false,false,false,false,Event Organizer,Popular Stage Show Organisers,Chikkamagaluru,2025-06-02T13:58:34.509Z
