name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Ymc Aluminium Fabrication,<,4.8,2 Ratings,"KEB Road Chikmagalur HO, Chikmagalur",,08792058998,Aluminium Fabricators; ACP Fabricators,true,false,false,false,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.277Z
HN Groups . HN Homes Interiors Artfull,<,4.9,9 Ratings,"Azeez Lane Chikmagalur HO, Chikmagalur",,08401430731,Building,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.277Z
Sknb Total Ventures,<,4.2,5 Ratings,"Circle Jyothinagar Chikmagalur, Chikmagalur",,08147368390,Industrial; Quick Visit; Aluminium False Ceiling,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.277Z
A Ajmeer Engineering Works,<,4.5,6 Ratings,"Nagar Nehru Road Chikmagalur, Chikmagalur",,,Door Fabricators; Fabricators,true,false,false,false,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.277Z
Yv Traders,<,4.8,2 Ratings,"Hassan City, Hassan",,08401652546,Brick Dealers; Construction Contractors,true,false,false,false,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.277Z
Asian Fabrication Works,<,5.0,1 Ratings,"Main Road Nittuvalli Davangere, Davangere",,09980827175,Building; Industrial,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.277Z
Blue Sky Aluminium Fabrication,<,5.0,2 Ratings,"Bolpugudde Kavoor, Mangalore",,08511745109,Fabricators; Aluminium Fabricators,true,false,false,false,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.277Z
A R Aluminum Fabricators,<,4.6,20 Ratings,"Pb Road Davangere, Davangere",,08971220979,Upvc Door,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.277Z
Laxmi Commercial Arts,<,4.2,22 Ratings,"Besant Complex Kodialbail, Mangalore",,,Computerised Rubber Stamp Manufacturers; Fabricators,true,false,false,false,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.277Z
Tanmay Glass and Plywood,<,5.0,1 Ratings,"Road RMC Link Road Davangere, Davangere",,08401083667,Upvc Door; Plywood Door Dealers,true,false,false,false,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.277Z
Asian Upvc Windows And Doors,+,4.9,44 Ratings,"2nd Cross Karur Industrial Area, Davangere",,08123165029,Upvc Door,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.277Z
Sri Venkateshwara Industries,+,3.5,7 Ratings,"Tilaknagar, Mysore",,,Industrial,true,false,false,false,false,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.277Z
N B Enterprises,+,4.0,9 Ratings,"Vinobhanagara Extn Davangere, Davangere",,,Industrial,true,false,false,true,false,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.277Z
Shanthi Engineering Works,+,4.9,26 Ratings,"Ring Road Bm Road, Hassan",,09054646774,Industrial,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.277Z
Trade Mart,T,4.2,28 Ratings,"Lower Carstreet Road Car Street, Mangalore",,08511771034,PVC Door Dealers; Aluminium Sliding Door Dealers; Company Authorised Dealer,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.277Z
Maganahalli Wooden & Steel Furniture Works,+,4.2,10 Ratings,"Near Gandhi Circle Davangere Ho, Davangere",,,Computer Furniture Dealers; Furniture Dealers,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.277Z
Padmashali Aluminium Fabricators,+,4.7,10 Ratings,"Sagri Kunjibettu, Udupi",,,Door Fabricators; Interior Designers,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Angel & Ana's Aluminium,+,4.6,12 Ratings,"Industrial Area Baikampady, Mangalore",,,Interior Designers For Apartment; Interior Designers,true,false,false,false,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Slv Enterprises,S,4.0,3 Ratings,"Main Road Doddakallasandra, Bangalore",,07041944282,Fabricators; MS Fabricators,true,false,false,false,false,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Varaha Industries,+,4.3,3 Ratings,"Venkateswara Nagar Sunkadakatte, Bangalore",,08904589791,Powder Coating Services; Fabricators,true,false,false,false,false,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Trancivilia Constructions Private Limited,+,4.6,14 Ratings,"Feet Ring Banashankari 3rd Stage, Bangalore",,09980942009,Industrial,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
H L Power Tech Laser Cutting,+,5.0,1 Ratings,"Village Hosur Industrial Complex, Hosur",,07383244439,Fabricators; Engineering Companies,true,false,false,false,false,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Esskay Engineering Works,+,4.5,6 Ratings,"Road Bilekahalli, Bangalore",,08460226048,Industrial; On Site Services,true,false,false,false,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Mv Aluminium Trading Company,+,4.6,72 Ratings,"Timber Yard Layout Mysore Road, Bangalore",,09980778466,Aluminium Sliding Door Dealers,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
SREE FOOD MACHINERY,+,4.5,64 Ratings,"Silver Jubilee Park Road, Bangalore",,09035031038,Shop In Store,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Jk Fab Tech,+,3.8,6 Ratings,"Basaveshwar Nagar Shankar Nagar, Bangalore",,07041343063,MS Fabricators; Fabricators,true,false,false,false,false,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Jcmarvel Engineering and Trading LLP,+,4.6,34 Ratings,"Mukkidipeta, Hindupur",,07022232696,Industrial; Delivery Available; On Site Services,true,false,false,false,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
MONSOOR All India Manpower Supplier,M,3.9,14 Ratings,"Nagar Bus Stop 18/2 Sundarapuram, Coimbatore",,08460487908,Fabricators; Building Contractors,true,false,false,false,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Diamond Steel Industries,+,2.3,3 Ratings,"Nurani Masjid Flat Gokul Road, Hubli",,08490868641,Labour Contractors For Factory; Labour Contractors,true,false,false,false,false,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Srimaan Engineering Works,+,4.1,7 Ratings,"Outer Ring Road Mookandapalli, Hosur",,08511494947,Industrial Trolley Manufacturers; Fabricators,true,false,false,false,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Kavitha Steel Railing and Fabrication,+,4.8,19 Ratings,"Nagar 80 Feet Road Kamalanagar, Anantapur",,09740181091,Steel Fabricators; Glass Dealers,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Acetech,+,4.7,25 Ratings,"Kannamapalayam Sulur, Coimbatore",,08460396011,Industrial,true,false,false,false,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
A A Maimoon Enterprises,+,4.2,183 Ratings,"Bamboo Bazaar City Market, Bangalore",,07411578753,Fabricators; Aluminium Fabricators,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Taurus Conveyor Company,+,4.2,17 Ratings,"Sidco Phase 6 Sipcot, Hosur",,,Industrial; Company Authorised Dealer,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Q-Max Anticorrosion Systems,+,4.1,23 Ratings,"Sipcot - 1 Sipcot, Hosur",,,Fabricators; PVC Pipe Dealers,true,false,false,true,false,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Chinitic Industries,+,5.0,2 Ratings,"Idikarai Main Road Idigarai, Coimbatore",,08460308699,Building; Industrial,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Madani Engineering Works,+,4.6,4 Ratings,"Petrol Pump Navanagar Hubli, Hubli",,08460549952,Industrial,true,false,false,false,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Advance Tec,A,4.2,35 Ratings,"Avinashi Road Avinashi Road, Coimbatore",,,Industrial,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
U And R Engineering Pvt Ltd,U,4.0,64 Ratings,"Tamarai Nagar Sihs Colony, Coimbatore",,,Industrial,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.278Z
Neelavati Enterprises,+,4.4,27 Ratings,"Urdu School Bhairidevarkoppa, Hubli",,09054896966,Furniture Dealers; Fabricators,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.279Z
Ssi Furniture,+,3.5,20 Ratings,"Doddanna Industrial Estate-Hegganahalli, Bangalore",,,Furniture Manufacturers; Interior Designers,true,false,false,true,false,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.279Z
Sarva Systems and Services,+,4.5,31 Ratings,"Floor Pantarpalya Mysore Road, Bangalore",,09845233316,Building,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.279Z
Royal Steels,+,4.4,10 Ratings,"First Bus Stop Anand Nagar, Hubli",,,Door Fabricators; Furniture Dealers,true,false,false,true,true,Fabricators,,Chikkamagaluru,2025-06-02T10:48:15.279Z
