name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Vu Care Services,<,5.0,3 Ratings,"Mallandur Road Mallandur Road, Chikmagalur",,08460241526,24 Hours,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.730Z
Tank Squad,<,4.9,21 Ratings,"Rathnagiri Bore Road Ramanahalli, Chikmagalur",,08123530097,Water Tank Cleaning Services; Deep Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.730Z
Smart Urban,<,4.7,84 Ratings,"1st FloorRKSS Complax Km Road, Chikmagalur",,,Kitchen Drainage Cleaning Services; Housekeeping Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.730Z
Mr Shine,<,4.7,3 Ratings,"Mallandur Road Vijayapura, Chikmagalur",,,Kitchen Cleaning Services; Water Tank Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.730Z
Ckm Water Tank and Garden Maintenance,<,3.3,3 Ratings,"Bovi Colony Adarsha Nagara, Chikmagalur",,,Water Tank Cleaning Services; Cleaning Services,true,true,false,false,false,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.730Z
Santhosh Cleaning Services,<,4.5,1 Ratings,"Mudiigere Main Road Mudigere, Chikmagalur",,,Cleaning Services; Tile Cleaning Services,false,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.731Z
All in one service,<,4.8,2 Ratings,"Sakaleshpur Road-Arehalli Hassan, Hassan",,,Cleaning Services; Housekeeping Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.731Z
Pitgundi Cleaning Sanitizer Muttanna,<,4.0,7 Ratings,"No #0 Belluru, Hassan",,08460406452,Toilet Cleaning Services; Cleaning Services,true,true,false,true,false,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.731Z
Rapid Cleaning Solutions,<,5.0,2 Ratings,"Belur Road Thanniruhalla, Hassan",,08460231657,Septic Tank Cleaning Services; Cleaning Services,true,true,false,false,false,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.731Z
Sri Maruthi Water Tank Cleaning,<,4.8,114 Ratings,"Satya Mangala Aralepet, Hassan",,,Water Tank Cleaning Services; Cleaning Services,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.731Z
Sri Veera Bhadreshwara Water Tank Service,+,4.4,37 Ratings,"Bypass Channapatna Extension, Hassan",,,Residential Cleaning Services; Water Tank Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.731Z
Bsd Water Tank Cleaning Service,B,4.6,10 Ratings,"Mg Road Vidya Nagar Hassan, Hassan",,09724897875,Water Tank Cleaning Services; Cleaning Services,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.732Z
Anu Pest Control,+,4.9,23 Ratings,"Bus Bus Stand Road Hassan, Hassan",,07041546598,,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.732Z
Hasanamba Water Tank Cleaning Services,+,4.4,31 Ratings,"Koppalu Main Vidya Nagar Hassan, Hassan",,,Cleaning Services For Underground Water Tank; Water Tank Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.732Z
Brunda Sofa Designer,+,4.5,1 Ratings,"Sharavathi Road Mg Road Hassan, Hassan",,,Cleaning Services; Sofa Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.732Z
Smart Hassan Water Tank Cleaning Services,+,4.8,10 Ratings,"MG Road Hassan, Hassan",,,Residential Cleaning Services; Water Tank Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.732Z
Suraksha Security Services,S,3.8,43 Ratings,"R C Road Aralepet, Hassan",,,Commercial Security Services; Security Services,true,true,false,false,false,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.732Z
Home Deep Cleaning Solution Services,H,4.5,2 Ratings,"Salagame Road, Hassan",,06366789675,Foam Cleaning,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.732Z
Sri Ganapa Water Tank Cleaning Service,+,5.0,3 Ratings,"Udayagiri, Hassan",,09606401179,Water Tank Cleaning Services; Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.732Z
Shree Dry Cleaners,S,4.0,2 Ratings,"Vidhya Nagar Vidhya Nagar, Hassan",,,Cleaning Services,true,true,false,false,false,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.732Z
Hitech Pit Cleaning Service,+,4.7,3 Ratings,Hassan,,,Cleaning Services; Septic Tank Cleaning Services,false,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.733Z
Pitgundi Cleaning Sanitizer Muttanna,P,4.3,8 Ratings,"Hassan Hassan City, Hassan",,,Residential Cleaning Services; Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.733Z
Sri Vinayaka Water Tank Cleaning Services,+,5.0,5 Ratings,"MG Road Hassan, Hassan",,08050092040,Water Tank Cleaning Services; Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.733Z
Rathna Enterprises,+,4.6,13 Ratings,"11th Cross Kuvempu Nagar, Hassan",,,Water Tank Cleaning Services; Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.733Z
Hasanamba Water Tank Cleaning Services,+,4.6,72 Ratings,"Main Road Vidyanagar Hassan, Hassan",,07411588207,Water Tank Cleaning Services; Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.733Z
J J Wonder Wash,+,3.9,6 Ratings,"Road Doddabasavanahalli Bm Road, Hassan",,08460538849,Home Delivery; Dry Clean Up; Anti-Bacterial Laundry Service,true,true,false,false,false,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.733Z
Hasanamba Water Tank Cleaning Services,H,4.5,12 Ratings,"B Kattihalli, Hassan",,,Cleaning Services,true,true,false,false,false,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.733Z
Maruthi Tank Cleaning Service,M,4.8,30 Ratings,"Vidyanagar Hassan, Hassan",,,Water Tank Cleaning Services; Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.733Z
U K Deep Cleaning Services,+,4.7,16 Ratings,"Lakshmi Sagara Doddagoppenahalli, Shimoga",,08147002796,Residential Cleaning Services; Housekeeping Services,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.733Z
Hasanamba Water Tank Cleaning Services,H,4.7,32 Ratings,"Arsikere Road Arsikere, Hassan",,,Water Tank Cleaning Services; Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.733Z
Karnataka Pit Cleaner,K,4.9,4 Ratings,"Arsikere, Hassan",,,Cleaning Services For Underground Water Tank; Water Tank Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.733Z
Power Pit Cleaner,+,5.0,7 Ratings,"Gorur Road Kattaya, Hassan",,,Kitchen Drainage Cleaning Services; Residential Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.733Z
Annapoorneshwari Nursery and Farm,A,4.0,20 Ratings,"BH Road Nh.206 Nidige, Shimoga",,,Fruit Plant; Sandalwood Plant,true,true,false,false,false,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.733Z
G M R Biotech,+,4.1,24 Ratings,"B H Road Harige, Shimoga",,08488921065,Fruit Plant; Sandalwood Plant,true,true,false,true,false,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.734Z
NA Water Service Station,N,5.0,1 Ratings,"river right side Urgadur, Shimoga",,,Residential Cleaning Services; Housekeeping Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.734Z
Mitra Tank Cleaning And Borewell Service,+,4.3,15 Ratings,"Padma Talkiesh Gopala Extension, Shimoga",,08460261751,Cleaning Services; Water Tank Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.734Z
sri ram Security & Security Management Services,s,5.0,1 Ratings,"Bypass Road Shimoga HO, Shimoga",,,Bodyguard; Bouncer Services,false,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.734Z
Kodachadri Sump And Syntax Cleaning,K,4.5,4 Ratings,"Milagatta, Shimoga",,,Cleaning Services,false,true,false,false,false,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.734Z
UDA House Keeping Service,+,4.4,7 Ratings,"Durgigudi, Shimoga",,,Housekeeping Services For Commercial; Housekeeping Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.734Z
Star Man Power Service,S,4.5,15 Ratings,"NT Road Shimoga Market, Shimoga",,,Water Tank Cleaning Services; Residential Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.734Z
Lion Bird Security & Allied Services,+,3.9,16 Ratings,"No.177 Gopala Extension, Shimoga",,08487821294,Eco Friendly Housekeeping,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.734Z
Rar Water Tank Cleaning,+,4.1,45 Ratings,"Gopala Gowda Extension, Shimoga",,,Water Tank Cleaning Services; Cleaning Services For Underground Water Tank,true,true,false,false,false,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.734Z
Sri Annapoorneshwari Garden Work,+,3.9,5 Ratings,"Sominkoppa Road Shimoga HO, Shimoga",,,Water Tank Cleaning Services; Cleaning Services,true,true,false,false,false,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.734Z
Raj Chemicals,+,4.8,31 Ratings,"Durgigudi, Shimoga",,,Cotton Wipe Dealers; Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.734Z
Swacch Water Tank Cleaning Services,+,4.0,10 Ratings,"Vinoba Nagara Shimoga Ho, Shimoga",,,Water Tank Cleaning Services; Cleaning Services For Underground Water Tank,false,true,false,false,false,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.734Z
Sri Kalleshwara Enterprises,S,4.5,6 Ratings,"E Block Gopala Extension, Shimoga",,09980258572,Cleaning,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.734Z
Chiguru (Temporary Closed Down),C,3.3,3 Ratings,"Kuvempu Road, Shimoga",,,Residential Cleaning Services; Housekeeping Services,true,true,false,false,false,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.735Z
Sm Laundryd,+,4.8,110 Ratings,"100 Feet Road Rajendra Nagar, Shimoga",,,Cleaning Services; Dry Cleaners,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.735Z
M S Bangalore Dyers And Cleaners,+,4.7,48 Ratings,"Savlanga Road Savalanga Road, Shimoga",,08460199766,Dyeing Services; Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Chikkamagaluru,2025-06-02T14:10:02.735Z
