name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Jeevan Electricals,<,4.8,13 Ratings,"B.Kanbur Balehonnur, Chikmagalur",,,Placement Services For Maids (For Employers),true,false,false,false,true,House keeping Services,Popular Placement Services For Maids For Employers,Chikkamagaluru,2025-06-02T10:52:53.540Z
Anyone Chikmagalur Service,<,4.6,6 Ratings,"Kote Chikkamagaluru, Chikmagalur",,,Placement Services For Maids (For Employers),false,false,false,false,true,House keeping Services,Popular Placement Services For Maids For Employers,Chikkamagaluru,2025-06-02T10:52:53.541Z
Venus Placements,<,3.7,200 Ratings,"Court  Road Adi Udupi, Udupi",,,Interview Room; Offline Aptitude Tests; Online Aptitude Tests,true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Chikkamagaluru,2025-06-02T10:52:53.541Z
Standard Group,<,4.0,218 Ratings,"Nellikai Road Nellikai Road, Mangalore",,,Overseas Placement,true,false,false,false,true,House keeping Services,Popular Placement Services For Maids For Employers,Chikkamagaluru,2025-06-02T10:52:53.541Z
Yes House Maid Service,<,3.7,203 Ratings,"Kharadi, Pune",,07411586640,Placement Services For Maids (For Employers); Placement Services (For Employers),true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Chikkamagaluru,2025-06-02T10:52:53.541Z
Balaji Manpower Consultancy Services,<,3.6,193 Ratings,"Wagle Industrial Estate-thane West, Thane",,08123860225,Placement Services For Babysitter (Candidate); Placement Services For Driver (Candidate),true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Chikkamagaluru,2025-06-02T10:52:53.542Z
Domestic Help India,<,3.4,27 Ratings,"Front Of Railway Station Mumbra, Thane",,07204989457,Placement Services For Maids (For Employers); Placement Services For Cook (For Employers),true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Chikkamagaluru,2025-06-02T10:52:53.542Z
Great Corporate Solutions,<,3.8,12 Ratings,"Khar Danda Khar West, Mumbai",,08401151953,Overseas Placement,true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Chikkamagaluru,2025-06-02T10:52:53.542Z
Directionguru,<,3.9,"3,695 Ratings","Defence Lab Road Ratanada, Jodhpur",,,Overseas Placement,true,false,false,false,true,House keeping Services,Popular Placement Services For Maids For Employers,Chikkamagaluru,2025-06-02T10:52:53.542Z
Vinayak Placement,<,3.4,52 Ratings,"Service Road No 5 Bagbera, Jamshedpur",,08511498177,Placement Services For Hospital Staff (Candidate); Placement Services For Security Staff (Candidate),true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Chikkamagaluru,2025-06-02T10:52:53.543Z
