name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Vu Care Services,<,5.0,3 Ratings,"Mallandur Road Mallandur Road, Chikmagalur",,08460241526,24 Hours,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.852Z
Pqgs Solutions Opc Pvt Ltd,<,4.0,14 Ratings,"Kacharakana Halli Hbr Layout, Bangalore",,09035175226,24 Hours,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.852Z
Transparent Pest Control,<,4.6,55 Ratings,"Sanmarg Nagar Airport Road Hubli, Hubli",,08401209692,24 Hours,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.852Z
Southland Group Of Companies,<,4.2,115 Ratings,"PAPPANAICKENPALAYAM Gandhipuram, Coimbatore",,07022607720,Waterproofing; Wall Tiles,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.853Z
Misckin Pest Management Co,<,4.8,177 Ratings,"Gunj Road Gunj Road Raichur, Raichur",,08460536134,Commercial Pest Control Services; Waterproofing Contractors,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.853Z
Fumigation Services Pvt Ltd,<,4.3,122 Ratings,"Buddu Street Parrys, Chennai",,08460425863,Residential Pest Control Services; Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.853Z
Total Solution & Pest Control Service,<,4.8,"1,089 Ratings","M G Road Bhawar Kuan, Indore",,08511358979,24 Hours,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.853Z
Ingle Pest Control,<,4.1,45 Ratings,"Jain Colony Ekta Nagar Karond, Bhopal",,08401133470,,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.853Z
Active Pest Control,<,4.5,8 Ratings,"Prakash Nagar Krishna Nagar, Mathura",,08401673962,Fumigant Wholesalers; Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.853Z
City Clap,<,4.0,652 Ratings,"Main Road Namkum, Ranchi",,,,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.853Z
Blue Line Pest Control Hassan,+,4.9,101 Ratings,"Channapatna Extension, Hassan",,09980255775,Pest Control Services For Snakes; Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.853Z
S S Marketing,+,4.4,22 Ratings,"80feet Pension Mohalla, Hassan",,09972233663,Aluminium Sliding Door Dealers,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.853Z
Anu Pest Control,+,4.9,23 Ratings,"Bus Bus Stand Road Hassan, Hassan",,07041546598,,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.853Z
Activ - I Pest Solution,+,4.9,12 Ratings,"Hotel Road Kr Puram Hassan, Hassan",,08511369503,Pest Control Services; Pest Control Services For Honey Bees,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.854Z
Pescon Pest Control Services,+,4.6,54 Ratings,"Jail Road Jail Road Shimoga, Shimoga",,09054067532,Commercial Pest Control Services; Residential Pest Control Services,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.854Z
Expert Pest Control Service,+,5.0,14 Ratings,"Shivamogga Basavana Ganguru, Shimoga",,08147930534,Pest Control Services For Snakes; Residential Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.854Z
Assured Herbal Pest Control Services,A,4.9,8 Ratings,"No 344 Lyice Villa Kushalnagar, Coorg",,,Commercial Pest Control Services; Cleaning Services,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.854Z
Nisarga Enterprises,N,5.0,1 Ratings,"Coorg Madikeri, Coorg",,08460421273,Pest Control Services; Residential Pest Control Services,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.854Z
Star Globe Services,+,4.7,23 Ratings,"Dasharth Nagar 9th Cross Manipal, Manipal",,08147535915,Cleaning Services; Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.854Z
Whatyouwant Service,+,3.4,149 Ratings,"Main Road Ananth Nagar, Manipal",,08401986217,Electricians; Carpenters,true,true,false,true,false,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.854Z
Central Pest Control,+,3.9,31 Ratings,"Syndicate Circle Manipal, Manipal",,,Pest Control Services; Residential Pest Control Services,true,true,false,true,false,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.854Z
Prateeksha Pest Management,P,4.3,9 Ratings,"Balkunje Post Mulky, Mangalore",,08511704459,Commercial Pest Control Services; Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.854Z
Rapidcare Pest Solution Pvt Ltd,R,5.0,3 Ratings,"Abc Line Kadri, Mangalore",,,Pest Control Services; Residential Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.854Z
Total Pest Control Mangalore,+,4.8,207 Ratings,"Alfa Center Kankanady, Mangalore",,07411564798,24 Hours,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.854Z
Universal Pest Control and Water Tank Cleaning,+,4.8,37 Ratings,"Kankanady, Mangalore",,08511926123,Residential Cleaning Services; Pest Control Services,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.854Z
Vanajakshi Facility Management,+,4.4,32 Ratings,"Convent Road Ajjarkad, Udupi",,07383437910,Crane Service Providers; Plant Nurseries,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.854Z
M S House Keeping,+,4.6,73 Ratings,"Falnir Road Falnir, Mangalore",,08511323208,Housekeeping Services For Commercial; Security Services,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.854Z
Ashvith Pest Control Services,+,4.9,370 Ratings,"Kalsanka Road Ambagilu, Udupi",,08401758984,Commercial Pest Control Services; Pest Control Services,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.854Z
Biligiri Pest Control Services,B,4.3,6 Ratings,"Adi Udupi, Udupi",,08401941279,24 Hours,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.854Z
Ash Pest Control,+,4.7,64 Ratings,"N.G Road Attavara Attavar, Mangalore",,08511629260,Commercial Pest Control Services; Pest Control Services,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.855Z
Imperial Pest Control Services,+,4.9,353 Ratings,"NH - 66 Santhekatte, Udupi",,08460412289,24 Hours,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.855Z
Vishal Pest Control,+,4.3,8 Ratings,"PVS Circle M G Road, Mangalore",,,Commercial Pest Control Services; Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.855Z
Chinmayee Enterprises,+,4.9,139 Ratings,"Maidan Road Hampankatta, Mangalore",,,Commercial Pest Control Services; Pest Control Services,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.855Z
Pml Pestman Pvt Ltd,+,4.6,12 Ratings,"Nellikai Road Nellikai Road, Mangalore",,08511917948,24 Hours,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.855Z
Kudla Pest Control,+,3.4,5 Ratings,"Balmatta Road Hampankatta, Mangalore",,08511769217,Pest Control Services; Residential Pest Control Services,true,true,false,false,false,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.855Z
Rapidcare Pest Solution Pvt Ltd,R,4.9,8 Ratings,"Kumbla Bus Stand Kumbla, Kasaragod",,09724947063,Pest Control Services For Rodents; Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.855Z
Ash Pest Control,A,4.5,1 Ratings,"Main Road Vidyanagar, Kasaragod",,08460434225,24 Hours,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Chikkamagaluru,2025-06-02T14:11:05.855Z
