name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sknb Total Ventures,<,4.2,5 Ratings,"Circle Jyothinagar Chikmagalur, Chikmagalur",,08147368390,Industrial; Quick Visit; Aluminium False Ceiling,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Chikkamagaluru,2025-06-02T14:18:37.462Z
Civil Solutions,<,5.0,3 Ratings,"Km Road, Chikmagalur",,08401494905,Construction Contractors; Civil Contractors,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Chikkamagaluru,2025-06-02T14:18:37.462Z
Pentagram Design Studio,<,4.9,30 Ratings,"Warje, Pune",,09972242495,Industrial; Building,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Chikkamagaluru,2025-06-02T14:18:37.462Z
Shree Decors,<,4.3,62 Ratings,"Gymkhana Road Dombivli East, Thane",,08511493514,Upvc Door; Bathroom Door Dealers; Apartment,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Chikkamagaluru,2025-06-02T14:18:37.462Z
Yesb Infratech Pvt Ltd,<,4.2,12 Ratings,"- NH 48 Atak Pardi, Valsad",,09972267166,Building; Industrial,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Chikkamagaluru,2025-06-02T14:18:37.462Z
Hindustan Projects,<,4.1,14 Ratings,"VIVEKANAD NAGAR Baba Dham, Bhilwara",,,Farm; Industrial Land Surveyors,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Chikkamagaluru,2025-06-02T14:18:37.462Z
Be cool events and tents,<,4.0,2 Ratings,"Tejur, Hassan",,,24 Hours Open,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Chikkamagaluru,2025-06-02T14:18:37.462Z
Om Electrics And Plumbing Works,<,4.0,1 Ratings,"Dramastala Kokkada, Mangalore",,,Plumbers; Electrical Contractors,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Chikkamagaluru,2025-06-02T14:18:37.462Z
Prj Enterprises and Solution,<,4.7,38 Ratings,"Vv Road Somwarpet, Coorg",,07411790325,,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Chikkamagaluru,2025-06-02T14:18:37.462Z
New Star Interior,<,4.3,19 Ratings,"Bypass Road Durgigudi, Shimoga",,08460450401,PVC; Decorative,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Chikkamagaluru,2025-06-02T14:18:37.462Z
Pragyaan Construction,+,3.5,2 Ratings,"Bh Road Bh Road Shimoga, Shimoga",,09980246068,Civil Contractors; Construction Companies,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Chikkamagaluru,2025-06-02T14:18:37.463Z
Mahalakshmi Aluminium and Interior work,+,4.6,5 Ratings,"Llr Road Garden Area, Shimoga",,,Aluminium Fabricators; Door Dealers,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Chikkamagaluru,2025-06-02T14:18:37.463Z
Aryan Fabrications,+,5.0,1 Ratings,"Gopala Main Road, Shimoga",,,Aluminium Sliding Door Dealers; Fibre Door Dealers,false,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Chikkamagaluru,2025-06-02T14:18:37.463Z
AAI Maa Interior,+,4.7,27 Ratings,"Road Gopala Gopala Extension, Shimoga",,,On Site Services,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Chikkamagaluru,2025-06-02T14:18:37.463Z
Sri Mani Paints And Hardware,+,3.2,25 Ratings,"Main Road Vinoba Nagar Shimoga, Shimoga",,,Exterior Paint; Interior paint; Same Day Delivery,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Chikkamagaluru,2025-06-02T14:18:37.463Z
