name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
C R Civil Construction,<,4.9,100 Ratings,"Mallandur Road Adarsha Nagara, Chikmagalur",,08050455075,Residential; Building,true,true,false,true,true,Interior Designers,Residence Interior Designers,Chikkamagaluru - Elevate Your Living Space,2025-06-02T14:15:11.806Z
Livspace Experience Center,<,5.0,10 Ratings,"Road Basavanahalli Chikmagalur, Chikmagalur",,08867856759,,true,true,false,true,true,Interior Designers,Residence Interior Designers,Chikkamagaluru - Elevate Your Living Space,2025-06-02T14:15:11.807Z
Udugiri Construction,<,5.0,1 Ratings,"Dharmalingham Road Tarikere, Chikmagalur",,08511495273,Building,true,true,false,false,true,Interior Designers,Residence Interior Designers,Chikkamagaluru - Elevate Your Living Space,2025-06-02T14:15:11.807Z
Eden Interiors,<,4.9,59 Ratings,"Narasimharajapura Chikmagalur, Chikmagalur",,08792516437,Interior Designers; Interior Designers For Modular Kitchen,true,true,false,false,true,Interior Designers,Residence Interior Designers,Chikkamagaluru - Elevate Your Living Space,2025-06-02T14:15:11.807Z
HN Groups . HN Homes Interiors Artfull,<,4.9,9 Ratings,"Azeez Lane Chikmagalur HO, Chikmagalur",,08401430731,Building,true,true,false,true,true,Interior Designers,Residence Interior Designers,Chikkamagaluru - Elevate Your Living Space,2025-06-02T14:15:11.808Z
S R Construction,<,5.0,1 Ratings,"Chikmagalur District Office, Chikmagalur",,08401978815,Industrial; Building,true,true,false,false,true,Interior Designers,Residence Interior Designers,Chikkamagaluru - Elevate Your Living Space,2025-06-02T14:15:11.808Z
Sujgal Ventures,<,4.8,9 Ratings,"Rathnagiri Road Rathnagiri Road, Chikmagalur",,,Building,true,true,false,false,true,Interior Designers,Residence Interior Designers,Chikkamagaluru - Elevate Your Living Space,2025-06-02T14:15:11.809Z
NakshaBhoomi Builders and Developers,<,4.8,18 Ratings,"Board Jyothi Nagar Chikmagalur, Chikmagalur",,,Builders; Civil Contractors,true,true,false,false,true,Interior Designers,Residence Interior Designers,Chikkamagaluru - Elevate Your Living Space,2025-06-02T14:15:11.809Z
Perfection Builders and Developers,<,4.8,16 Ratings,"MG Road Cross Chikmagalur HO, Chikmagalur",,,Residential; Industrial,true,true,false,true,true,Interior Designers,Residence Interior Designers,Chikkamagaluru - Elevate Your Living Space,2025-06-02T14:15:11.810Z
Kesari Interior,<,4.2,26 Ratings,"M G Road Syed Street, Chikmagalur",,,Imported; PVC,true,true,false,true,true,Interior Designers,Residence Interior Designers,Chikkamagaluru - Elevate Your Living Space,2025-06-02T14:15:11.810Z
