name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Adv. Devaraj. K. B.,<,,,"to Hdfc Bank Adarsha Nagara, Chikmagalur",,09980241468,Lawyers For Accident Claims; Lawyers,true,false,false,false,false,Registration Consultants,,Chikkamagaluru,2025-06-02T11:15:36.537Z
Mahadeva Swamy T N,<,,,"Srirama Extension Tarikere, Chikmagalur",,,Lawyers; Civil Lawyers,true,false,false,false,false,Registration Consultants,,Chikkamagaluru,2025-06-02T11:15:36.538Z
Hr Minds3,<,5.0,94 Ratings,"3rd Stage Rajarajeshwari Nagar, Bangalore",,07041827844,,true,false,false,true,true,Registration Consultants,,Chikkamagaluru,2025-06-02T11:15:36.539Z
Varticles Labour Law Compliance and Management Consultancy,<,,,"St. Xavier Colony Old Goa, Goa",,08401186468,Licence,true,false,false,false,false,Registration Consultants,,Chikkamagaluru,2025-06-02T11:15:36.540Z
Nithya Gokul Company Secretary,<,4.4,11 Ratings,"Poondurai Road Moolapalayam, Erode",,09724691632,Proprietory Firm Registration; ITR Filing,true,false,false,true,true,Registration Consultants,,Chikkamagaluru,2025-06-02T11:15:36.542Z
CBS STRACON PRIVATE LTD.,<,4.8,84 Ratings,"T B Junction Angamaly, Ernakulam",,,GST Return; TDS Return; Integrated Financial Accounting,true,false,false,false,true,Registration Consultants,,Chikkamagaluru,2025-06-02T11:15:36.543Z
M K Jain Consultant,<,,,"Vinayaga Maisty Street Sowcarpet, Chennai",,,Licence; Accounting; GST Return,true,false,false,false,false,Registration Consultants,,Chikkamagaluru,2025-06-02T11:15:36.543Z
Shree Balaji Associates,<,,,"Parivar Cross Road Waghodia Road, Vadodara",,07383804663,Licence; GST Return; TDS Return,true,false,false,false,false,Registration Consultants,,Chikkamagaluru,2025-06-02T11:15:36.544Z
Estabizz Fintech Private Limited,<,,,"PDPU ROAD Gift City, Gandhinagar-Gujarat",,09035151499,Company Registration Consultants; Food Safety License Consultants,true,false,false,false,false,Registration Consultants,,Chikkamagaluru,2025-06-02T11:15:36.545Z
Infinity Certification Services Bhopal,<,4.2,42 Ratings,"Shahpura Shahapura, Bhopal",,08401425740,GST Return; TDS Return; Income Tax Return,true,false,false,true,true,Registration Consultants,,Chikkamagaluru,2025-06-02T11:15:36.545Z
