name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Hms Traders,<,4.8,14 Ratings,"Cross Market Road Chikmagalur, Chikmagalur",,08460271457,Battery Scrap,true,false,false,true,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.724Z
Bilal Enterprises,<,5.0,2 Ratings,"Pampa Naagar, Chikmagalur",,,Battery Scrap,true,false,false,false,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.724Z
S A Enterprises,<,4.1,14 Ratings,"Bypass Road Hassan City, Hassan",,09054506825,Battery Scrap,true,false,false,false,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.724Z
The BEST Polymers,<,3.9,6 Ratings,"Industrial Area Santhepet, Mysore",,08511514021,Industrial Scrap Buyers; Scrap Dealers,true,false,false,true,false,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.725Z
Hindustan Traders,<,4.3,34 Ratings,"Taluk Pj Extension Davangere, Davangere",,,Battery Scrap,true,false,false,false,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.725Z
Ar Car Scrap,<,3.9,18 Ratings,"Gangondanahalli Nayandahalli, Bangalore",,07041232513,Battery Scrap,true,false,false,true,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.725Z
K P P Alloys,<,4.1,31 Ratings,"Laggere Road Peenya, Bangalore",,07048501049,Battery Scrap,true,false,false,true,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.726Z
Aisha Enterprises,<,3.7,3 Ratings,"Mangalya Choutry Doddaballapur, Bangalore",,08734946962,Battery Scrap,true,false,false,false,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.726Z
Shakti Sales Corporation,<,4.1,349 Ratings,"Bethora Bypass Road Ponda, Goa",,,Plastic Scrap Dealers; Scrap Dealers,true,false,false,true,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.726Z
S K Enterprises,<,4.3,14 Ratings,"B Road Hubli Gavi Oni, Hubli",,09725463865,Battery Scrap,true,false,false,false,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.726Z
Indian Steels,+,4.0,21 Ratings,"Kiadb Industrial Area Hirehali, Tumkur",,07383802862,Steel Scrap Buyers; Scrap Dealers,true,false,false,false,false,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.727Z
Sri Murugan Traders,+,4.3,18 Ratings,"Aandan Koil Road Karur West, Karur",,08401748423,Battery Scrap,true,false,false,true,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.727Z
South Indian Scrap Traders,S,4.1,99 Ratings,"Palarivattom, Ernakulam",,,Aluminium Scrap Buyers; Scrap Buyers,true,false,false,true,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.727Z
Kh Enterprises,K,4.2,43 Ratings,"Mkn Road Guindy, Chennai",,08123681753,Battery Scrap,true,false,false,false,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.727Z
Genuine Enterprises,+,2.0,4 Ratings,"Kamarajar Street Sriperumbudur, Kanchipuram",,09972361269,Battery Scrap,true,false,false,false,false,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.728Z
Shivdatta Traders,S,4.0,5 Ratings,"Bandra East, Mumbai",,09980664981,Scrap Buyers; Scrap Dealers,true,false,false,false,false,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.728Z
A G Enterprises,A,4.0,189 Ratings,"Kudalwadi Chikhali, Pune",,,Waste Management Services; Scrap Dealers,true,false,false,true,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.728Z
POONAM SCRAP BHANDAR,P,4.3,16 Ratings,"SANWER ROAD INDORE Sanwer Road, Indore",,08296835720,Furniture Scrap Buyers; Scrap Dealers,true,false,false,false,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.728Z
Bilal Scrap,+,5.0,2 Ratings,"Kadarsha Ni Nal Nanpura, Surat",,09054398117,Battery Scrap,true,false,false,false,false,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.728Z
Gulshan Steels Pvt.Ltd.,+,4.5,21 Ratings,"Bilaspur Road Birgaon, Raipur-Chhattisgarh",,08511109837,Scrap Dealers; Tmt Bar Dealers,true,false,false,true,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.729Z
SNA India Corporation,+,4.1,375 Ratings,"Talkies Road Shastri Nagar, Bhilwara",,,Scrap Dealers; Plastic Scrap Dealers,true,false,false,true,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.729Z
Salvagekaro,+,5.0,21 Ratings,"Near Jagatpura Fatak Model Town, Jaipur",,08971253074,Scrap Buyers; Iron Scrap Buyers,true,false,false,false,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.729Z
Mishthi Steels,+,4.1,161 Ratings,"D No 332 Koyla Nagar, Kanpur",,08128849361,Battery Scrap,true,false,false,true,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.729Z
Tst Enterprises,+,4.1,110 Ratings,"Ram Vihar Road Rawatpur, Kanpur",,08128172422,Brass Scrap Buyers; Scrap Dealers,true,false,false,true,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.729Z
Attero Recycling Pvt Ltd,A,4.2,262 Ratings,"Sector 64 Noida Sector 64, Noida",,08904980455,Battery Scrap,true,false,false,false,true,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.729Z
Jumbo Waste Solutions Pvt Ltd,J,3.9,32 Ratings,"Nanak Pura-Hari Nagar, Delhi",,08147011681,Battery Scrap,true,false,false,false,false,Scrap Buyers,,Chikkamagaluru,2025-06-02T14:41:59.730Z
