name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Borderman Detectives Investigation Detective Agency In Chikkamagaluru,<,3.0,2 Ratings,"Near Ishwarya Hospital Kadur, Chikmagalur",,,Detective Agencies For Cyber Crime; Detective Agencies,false,true,false,false,true,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.845Z
Walkers Detectives,<,5.0,1 Ratings,"Kr Mohalla, Mysore",,07411667093,Fingerprinting; Fingerprint For Police Verification,true,true,false,false,true,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.845Z
Eagle Eye Private Detective Agency,<,4.9,73 Ratings,"Highway Service Road APMC Yard, Chitradurga",,08128978253,,true,true,false,false,true,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.845Z
Ic Intelligence Detective Services,<,5.0,4 Ratings,"Feet Road Gandhipuram Coimbatore, Coimbatore",,,Detective Agencies; Detective Agencies For Pre Matrimonial Verification,true,true,false,false,true,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.845Z
24x7 Detectivez,<,4.2,80 Ratings,"Road Rajajinagar 2nd Stage, Bangalore",,09980152590,Detective Agencies; Detective Agencies For Background Verification,true,true,false,true,true,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.845Z
Rajdhani Detective Agencies,<,4.9,498 Ratings,"4th A Main Road Vijayanagar, Bangalore",,,Security Services For Guard; Security Services,true,true,false,false,true,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.845Z
Lifeline Detective Agency Pvt Ltd,<,4.9,435 Ratings,"6th Avenue Anna Nagar East, Chennai",,07411598621,Detective Agencies; Detective Agencies For Background Verification,true,true,false,false,true,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.845Z
Bombay Forensic,<,4.1,401 Ratings,"Modi Street Fort, Mumbai",,,,true,true,false,true,true,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.845Z
True Detective,<,4.0,76 Ratings,"JAIPUR ROAD Ksg Ajmer Road, Kishangarh",,07411593086,Detective Agencies; Detective Agencies For Extra Marital Affairs,true,true,false,true,true,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.846Z
S Prime Investigation,<,5.0,12 Ratings,"Jhotwara, Jaipur",,08147128416,Detective Agencies; Detective Agencies For Cyber Crime,true,true,false,true,true,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.846Z
Live Detective Network India,+,4.8,296 Ratings,"Central Spine Vidhyadhar Nagar, Jaipur",,,Registration-Detective agency,true,true,false,true,true,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.846Z
Mystery Solvers,M,3.2,31 Ratings,"Chowraha Lane Gomti Nagar, Lucknow",,09724918840,Detective Agencies; Detective Agencies For Insurance Claim Verification,true,true,false,false,false,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.846Z
Blue Detective Agency,B,3.5,2 Ratings,"Vasant Kunj II Vasant Kunj, Delhi",,08460205615,Detective Agencies; Detective Agencies For Cyber Crime,true,true,false,false,false,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.846Z
Shiv Detective Agency,S,4.2,5 Ratings,"Gali No 1 Paschim Vihar, Delhi",,09035280504,Detective Agencies; Detective Agencies For Background Verification,true,true,false,false,false,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.846Z
Sunrise Private Detective Agency,+,4.6,262 Ratings,"Road Chandigarh Sector 45c, Chandigarh",,,Detective Agencies; Detective Agencies For Background Verification,true,true,false,false,true,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.846Z
Super Detective Agency,S,4.3,13 Ratings,"Kr Puram Hassan, Hassan",,,Detective Agencies For Background Verification; Detective Agencies For Cyber Crime,true,true,false,false,true,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.846Z
Super Detective Agency,S,4.8,14 Ratings,"JPN Road JPN Road Shimoga, Shimoga",,,Detective Agencies For Background Verification; Detective Agencies,true,true,false,false,true,Security System,Find Professional Detective Agencies,Chikkamagaluru,2025-06-02T14:46:54.846Z
