name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Livin Style,<,4.0,14 Ratings,"Street Vijayapuram Chikmagalur, Chikmagalur",,,Bedroom Furniture Dealers; Furniture Dealers,true,false,false,true,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.464Z
Godrej Interio Store,<,4.1,74 Ratings,"Shankarmutt Road Bm Road, Hassan",,,Same Day Delivery; In Store Collect,true,false,false,true,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.465Z
AS Ameena Hardware,<,5.0,1 Ratings,"1st Cross Mandli, Shimoga",,,Locker Dealers-Godrej; Door Lock Dealers,true,false,false,false,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.465Z
Vijay Sales Corporation,<,4.1,27 Ratings,"Shree Arcade Savarline Road, Shimoga",,,Mini; Portable,true,false,false,false,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.465Z
Godrej Interio Store,<,4.6,94 Ratings,"Kuvempu Road Kuvempu Road, Shimoga",,,Delivery Available,true,false,false,true,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.465Z
Maharaja Gruhavaibhava,<,4.7,198 Ratings,"Kuvempu Road  Near Kuvempu Road, Shimoga",,09725017942,Wooden Door,true,false,false,true,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.466Z
Hubli Traders,<,4.0,7 Ratings,"Savalanga Road, Shimoga",,,Furniture Dealers; Steel Furniture Dealers,true,false,false,false,false,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.466Z
Decor Home Interior & Hardware,<,4.7,3 Ratings,"Banglore Highway Bc Road, Mangalore",,,Commercial; Laminated,true,false,false,false,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.466Z
Godrej Interio Store,<,4.0,96 Ratings,"Bejai Church Cross Road Bejai, Mangalore",,,Same Day Delivery; In Store Collect,true,false,false,true,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.467Z
Sarfaraz,<,4.5,10 Ratings,"Kunjibettu, Udupi",,,Furniture Dealers; Bed Dealers,true,false,false,true,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.467Z
Devar Enterprises,+,3.3,2 Ratings,"Temple Road Car Street, Mangalore",,,Security System Dealers; Door Lock Dealers,true,false,false,false,false,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.467Z
Top Locker,T,3.0,1 Ratings,"Stella Maris School Road Kotekar, Mangalore",,,Locker Dealers,true,false,false,false,false,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.467Z
Sri Guruvaibhav Enterprises,+,4.7,423 Ratings,"Towers Veera Savarkar Road, Chitradurga",,,Same Day Delivery,true,false,false,false,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.468Z
Malabar Godrej Authorized Wholesale Distributors,+,5.0,90 Ratings,"Opposit Enfield Showroom Chamnad, Kasaragod",,08460279440,Safe Dealers; Furniture Dealers,true,false,false,false,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.468Z
Anuradha Enterprises,+,3.7,44 Ratings,"Bank Road Kasaragod Ho, Kasaragod",,,Shop In Store; Same Day Delivery; Company Authorised Dealer,true,false,false,false,false,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.468Z
Shree Enterprises,+,4.4,10 Ratings,"MCC B Block Mcc, Davangere",,,Same Day Delivery,true,false,false,true,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.469Z
Godrej Interio Store,+,4.0,2 Ratings,"Main Road Modi Circle Davangere, Davangere",,,Furniture Dealers; Bed Dealers,true,false,false,true,false,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.469Z
NANDI INTERIORS & DESIGNERS,+,4.1,102 Ratings,"Jagalur Road Bethur Davangere, Davangere",,,Wooden Door,true,false,false,true,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.469Z
Nyamathi Shekharappa & Sons,+,5.0,1 Ratings,"C RMC Link Road Davangere, Davangere",,,Wooden Door; Wpc Door Dealers,true,false,false,false,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.470Z
Bangalore Doors and Ply,+,4.9,4 Ratings,"Road Corner Kr Road Davangere, Davangere",,,PVC Door Dealers; Fibre Door Dealers,true,false,false,false,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.470Z
Drm Associates,+,3.0,2 Ratings,"Bengachery Complex Kanhangad, Kasaragod",,,Locker Dealers; Locker Dealers-Godrej,true,false,false,false,false,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.470Z
Royal Hardware & Plywood,+,4.3,11 Ratings,"SBI 1st Main Hebbal, Mysore",,,Plywood Door Dealers,true,false,false,false,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.470Z
Epit Gents Locker,E,5.0,3 Ratings,"Sreekandapuram, Kannur",,,Locker Dealers,true,false,false,true,false,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.470Z
Splash Gents Locker,S,4.8,4 Ratings,"Sreekandapuram, Kannur",,,Locker Dealers,true,false,false,false,false,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.471Z
Royal Furnitures,+,3.7,22 Ratings,"P B Road Gouri Shankar Nagar, Ranebennur",,,Same Day Delivery,true,false,false,true,false,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.471Z
Slv Duroguard (Steel Doors and Safe Locks),+,5.0,2 Ratings,"Circle Dattagalli 3rd Stage, Mysore",,08460203196,Steel Door Dealers,true,false,false,false,false,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.471Z
S M Enterprises,+,4.2,11 Ratings,"Sait Block Lashkar Mohalla, Mysore",,,Ball Valve Dealers; Pipe Dealers,true,false,false,true,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.471Z
Sha Narasinghji Sukhraj & Co.(ni ),+,4.7,158 Ratings,"Indira Cafe Sayyaji Rao Road, Mysore",,,Same Day Delivery,true,false,false,false,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.472Z
Zoco Interiors and Hardwares,+,4.3,45 Ratings,"Railway Station Road Payyanur, Kannur",,09054697674,Plywood Door Dealers; Imported; Decorator,true,false,false,true,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.472Z
Shree Renukamba Security Services,S,4.4,5 Ratings,"Road Chamundeshwari Nagar Mandya, Mandya",,,CCTV Dealers-Panasonic; CCTV Dealers,true,false,false,false,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.472Z
H K G N Karnataka Steel Furniture (Temporary Closed Down),+,2.6,4 Ratings,"Tenginagundi Road Chitrapur, Karwar",,,Furniture Dealers-Godrej Interio; Furniture Dealers,true,false,false,false,false,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.472Z
Drm Associates,+,5.0,2 Ratings,"Soubhagya Complex Pallikunnu, Kannur",,,Video Door Phone Dealers; CCTV Dealers,false,false,false,false,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.472Z
Sangi,+,3.6,79 Ratings,"Kannur Kannur HO, Kannur",,,Delivery Available; Same Day Delivery,true,false,false,true,false,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.472Z
Smart Tech Solution'S,+,4.5,4 Ratings,"Adarsha Convent Road Malavalli, Mandya",,,Water Purifier Installation Services; CCTV Installation Services,true,false,false,false,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.473Z
Global Glass Designers & Hardware,+,4.0,38 Ratings,"KARAKKAMALA Mananthavady, Wayanad",,,Timber; Veneered; On Site Services,true,false,false,false,false,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.473Z
Maharana Hardware,+,4.7,38 Ratings,"Main Road Kengeri Satelite Town, Bangalore",,07041088783,Flush Door Dealers; Plywood Door Dealers; Same Day Delivery,true,false,false,true,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.473Z
ABC HARDWARE,+,3.7,46 Ratings,"Chulliyode  Road Sulthan Bathery, Wayanad",,,Safety Door Dealers; Plywood Door Dealers; Same Day Delivery,true,false,false,true,false,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.473Z
Godrej Interio Store,+,4.4,190 Ratings,"Mariappanapalya-Gnanabharathi, Bangalore",,,Furniture Dealers-Godrej Interio; Furniture Dealers,true,false,false,true,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.473Z
Mahaveer Home Decor,+,4.4,104 Ratings,"Outer Ring Road Mallathahalli, Bangalore",,08401934037,Wpc Door Dealers; Commercial,true,false,false,true,true,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.474Z
Max Safe Locker,+,3.0,4 Ratings,"Nagarbhavi Mallathahalli, Bangalore",,,Safe Dealers; Locker Dealers,false,false,false,false,false,Security System,Popular Locker Dealers,Chikkamagaluru,2025-06-02T14:51:11.474Z
