name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Veerabhadra Security Services,<,4.9,64 Ratings,"Arasu Building Km Road, Chikmagalur",,08460536565,Armed Security Services,true,true,false,true,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.509Z
HANEESHA A1 SECURITY AND CONSALTANCY SERVICE PVT. LTD,<,5.0,6 Ratings,"Kadur, Chikmagalur",,09725775172,Security Services; Security Guard Services,true,true,false,false,false,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.510Z
Sree Security Services,<,4.3,20 Ratings,"Pj Extension Davangere, Davangere",,08487823149,Bodyguard; Armed Security Services; Bouncer Services,true,true,false,true,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.510Z
Unity Guarding Services and Allide Services,<,4.1,7 Ratings,"4th Phase Yelahanka New Town, Bangalore",,08401799259,Bouncer Services; Armed Security Services,true,true,false,true,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.510Z
Disha Security and Allied Services,<,4.9,10 Ratings,"BSNL Office Road Anandapura, Bangalore",,07048811686,Armed Security Services; Bouncer Services,true,true,false,false,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.511Z
Kavipriya HR Solutions Pvt. Ltd.,<,4.0,46 Ratings,"5th A Cross Banaswadi, Bangalore",,08105161465,Bouncer Services; Armed Security Services,true,true,false,true,false,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.511Z
Sharp Intelligence Bureau,<,4.5,46 Ratings,"BG Road Bilekahalli, Bangalore",,09980224063,Bodyguard,true,true,false,true,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.511Z
Kalmeshwar Industrial And Security Service,<,4.0,16 Ratings,"Court Circle Neeligin Road Hubli, Hubli",,08401237168,Bouncer Services; Armed Security Services; Bodyguard,true,true,false,true,false,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.511Z
United India Facilities Management Services,<,5.0,6 Ratings,"Kempapura Hebbal, Bangalore",,09980227164,Security Services; Housekeeping Services,true,true,false,false,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.512Z
GRPS SECURITY AND FACILITY MANAGEMENT SERVICE PVT.LTD,<,4.8,24 Ratings,"Gandhi  Nagar Gokul Road, Hubli",,08490086960,"Registration-ESIC, EPFO, GST, PSARA Licence.; Facility Management; Bodyguard",true,true,false,false,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.512Z
Sharada Enterprises,+,5.0,7 Ratings,"Railway Station Doddaballapur, Bangalore",,09054827980,Lost Device Tracking; Bouncer Services; Armed Security Services,true,true,false,false,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.512Z
Jyothi Security and Allied Services,J,3.5,2 Ratings,"Chamarajanagara PWD Colony, Chamarajanagar",,08511967098,Bodyguard; Bouncer Services; Armed Security Services,true,true,false,false,false,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.512Z
Rajdhani Detective Agencies,+,4.9,498 Ratings,"4th A Main Road Vijayanagar, Bangalore",,,Security Services For Guard; Security Services,true,true,false,false,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.513Z
Location One Facility Management Services Private Limited,L,4.2,30 Ratings,"Market Road Ernakulam Bazar, Ernakulam",,07383061424,Bodyguard; Bouncer Services,true,true,false,true,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.513Z
Lion Heart Force,+,4.4,52 Ratings,"Stand Ashram Road Bijapur City, Bijapur-Karnataka",,08734976472,Bodyguard; Armed Bodyguard; Bouncer Services,true,true,false,true,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.513Z
Avengers Facility Services,+,4.8,207 Ratings,"Abdulla Khan Estate Gandhi Nagar, Kurnool",,08401332171,,true,true,false,true,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.513Z
Lion Security Guard & Manpower Agency,L,4.0,3 Ratings,"Opp Basva Pu College Sedam Road, Gulbarga",,08904246083,Bodyguard; Armed Security Services; Bouncer Services,true,true,false,false,false,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.513Z
Manish Man Power Agency,+,3.9,99 Ratings,"PWD Quarters Old Jewargi Road, Gulbarga",,,Offers Training Program; Armed Security Services,true,true,false,true,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.513Z
Cyber Crime Helpline LLP,+,4.2,"4,082 Ratings","Kondhwa Khurd, Pune",,,Cyber Security Services; Security Services,true,true,false,true,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.513Z
Helik Advisory Ltd,+,4.4,70 Ratings,"Mumbai Central, Mumbai",,09845242125,Security Services; Handwriting Experts,true,true,false,true,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.513Z
Bombay Forensic,+,4.1,401 Ratings,"Modi Street Fort, Mumbai",,,,true,true,false,true,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.514Z
Royal Security Force and Allied Services,+,4.2,99 Ratings,"PUDI MAIN ROAD V.l.puram, Rajahmundry",,08128274453,Bodyguard; Bouncer Services,true,true,false,false,true,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.514Z
Sandhu Security Service,S,3.0,2 Ratings,"Stand Vadodara Mahanagar Palika, Vadodara",,09035041846,Bodyguard; Bouncer Services; Armed Security Services,true,true,false,false,false,Security System,Find Top Security Services,Chikkamagaluru for Trusted Protection,2025-06-02T14:49:01.514Z
