name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Arshiya Transport,<,4.2,13 Ratings,"ROAD Basavanahalli Chikmagalur, Chikmagalur",,09035044917,Tempos On Hire; Within City,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.030Z
Vmtc Logistics,<,4.4,37 Ratings,"Ansari Bunder, Mangalore",,08511915326,Domestic Courier,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.030Z
Hindustan Transport Shimoga,<,4.2,94 Ratings,"Bypass Urgadur, Shimoga",,07383249296,24 Hours Transporters; Transporters,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.030Z
Sri Kiran Transport,<,4.7,33 Ratings,"New Mandipet Mandipet, Tumkur",,07490016249,Transporters; Transporters For Bangalore,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.031Z
Ma Kalka Roadlines,<,3.7,3 Ratings,"Road Betora Industrial Estate, Goa",,08460386456,Transport Agents; Trailer Transporters,true,false,false,false,false,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.031Z
Karnatak West Bengal All India Transport Company,<,4.6,10 Ratings,"Shantinagar TTMC Shanthinagar, Bangalore",,08147536632,Transporters For Full Truck Load To Tamil Nadu; Transport Agents,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.031Z
Radhakrishna Transport,<,4.1,130 Ratings,"3rd Phase Peenya 3rd Stage, Bangalore",,09980546498,Electronic,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.031Z
Jaipur Golden Transport,<,3.8,24 Ratings,"C  LANE J.M ROAD Cubbonpet, Bangalore",,09845217514,Pay Ahead,true,false,false,false,false,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.031Z
Sri Kumaran Transports & Packers and Movers,<,4.6,14 Ratings,"DPF STREET Papanaickenpalayam, Coimbatore",,08511275817,Logistics; Local Logistic; Transportation,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.031Z
Kaveri Cargo Movers,<,4.4,96 Ratings,"Bank Colony Chinnavedampatti, Coimbatore",,08401638429,,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.031Z
Shree Essar Logistic,S,5.0,2 Ratings,"5th Street Bhavani Main Road, Bhavani",,07041479863,Trucks On Rent; Electronic,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.031Z
Jayasri Road Lines,+,4.5,29 Ratings,"PN Road Kumarnanthapuram, Tirupur",,09606403497,24 Hours Tempos; Tempos On Rent For Intracity; Transporters For Sports Equipments,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.031Z
Sri Vigneshwara Logistics,+,4.2,52 Ratings,"DDUTTL Yeshwanthpur, Bangalore",,09035041615,Trucks On Rent; Domestic Courier; Electronic,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.032Z
Geetham Transport Service,+,4.6,90 Ratings,"Naal Road Tirupur East, Tirupur",,08147951873,Trucks On Rent; Packers And Movers; Electronic,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.032Z
Sri Ganapathy Transport and Traveling Agency,+,4.5,19 Ratings,"Palayam Kalappa Naicken Palayam, Coimbatore",,08123376960,Courier Services; Transporters,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.032Z
Arja Energys Private Limited,+,4.5,10 Ratings,"Road Binny Compound Main Road, Tirupur",,08460445740,Transporters; Transport Agents,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.032Z
Promax Logistics,+,4.0,30 Ratings,"Coimbatore Aerodrome, Coimbatore",,08460645239,Domestic Courier,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.032Z
Sky Land Xpress Cargo,+,4.0,44 Ratings,"KPN Colony Union Mill Road, Tirupur",,,,true,false,false,true,false,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.032Z
Royal Cargo Packers & Movers,+,4.8,172 Ratings,"Near BRTS Bus Stand Vidyagiri, Dharwad",,08401217512,,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.032Z
Sree Ganesh Roadlines,+,3.5,61 Ratings,"Bellary Ho, Bellary",,07383497565,Domestic Courier; Electronic,true,false,false,true,false,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.032Z
Lata Packers and Movers,L,4.4,20 Ratings,"Mj Nagar, Hospet",,07487906639,All India; Within City,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.032Z
Express Roadlines,E,5.0,3 Ratings,"NH 544 Potta, Thrissur",,09980400189,Transporters For Full Truck Load,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.032Z
Vijaya Transport,+,4.1,51 Ratings,"AATTUR Attur Salem, Salem",,07383222475,Transporters; Transporters For Chennai,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.032Z
Vgo Truck Booking,V,2.5,2 Ratings,"Victoriya Main Road Woriyur, Trichy",,08904585500,Cargo Service; Transporters For Cargo,true,false,false,false,false,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.032Z
Sri Periyasamy Lorry Transport And Booking Office,+,4.1,29 Ratings,"Salem Road Andagalur, Namakkal",,08401269964,Transporters For Andhra Pradesh; Transporters,true,false,false,true,false,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.032Z
Anr Transport,+,5.0,9 Ratings,"Main Road Udamalpet Bazaar, Udumalpet",,08460205843,GPS Tracking Available; Trucks On Rent; Logistics,true,false,false,false,false,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.032Z
Xpress INDIA,+,4.2,400 Ratings,"Street Industrial Colony Trichy, Trichy",,07383608407,Cargo Service; Trucks On Rent; Bulk Courier,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.032Z
Hyderabad Odisha Transport Company,+,3.5,2 Ratings,"Amberpet Pedda Amberpet, Rangareddy",,08904579169,Transporters For Andhra Pradesh; Transporters For Bangalore,true,false,false,false,false,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.033Z
Fr8,+,4.1,257 Ratings,"6th Main Road Mogappair West, Chennai",,08904606530,Transporters; Lorry Transport Services,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.033Z
Shri Gajanan Transport,+,4.2,25 Ratings,"Old Midc Satara Midc, Satara",,09845264483,Transporters For Ahmedabad; Transporters,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.033Z
Pranjal Transport Services,P,5.0,3 Ratings,"Ajanta Chowk Vilaspur, Satara",,09035047486,Transporters; Transporters For Pune,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.033Z
Aastik Maharaj Trader,+,5.0,1 Ratings,"Kukatpally Kukatpally, Hyderabad",,07411644350,Cargo Service; Tempos On Hire; Domestic Courier,true,false,false,false,false,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.033Z
Yestee Agency,+,4.1,322 Ratings,"Wall Tax Road Park Town, Chennai",,08197305459,Industrial Machinery Relocation; Cargo Service; Domestic Courier,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.033Z
KGN Transport & Logistics,+,4.2,32 Ratings,"Gandiguda Village Shadnagar, Mahabubnagar",,09054784995,International Courier; Trucks On Rent; Domestic Courier,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Chikkamagaluru,2025-06-02T14:25:58.033Z
