name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Poornima Beauty Parlour,<,5.0,3 Ratings,"Dk Halli Main Road Beml Nagar, Kolar",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Kolar,2025-06-03T16:25:49.862Z
Dhanvanthri skin care center,<,4.1,30 Ratings,"Hospital Circle Kolar, Kolar",,,,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Kolar,2025-06-03T16:25:49.862Z
Dr. Rajesh Skin Hair And Cosmetic Clinic,<,3.7,15 Ratings,"Hospital Circle Kolar, Kolar",,,,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Kolar,2025-06-03T16:25:49.862Z
Nikalpa Beauty Parlour,<,5.0,9 Ratings,"Taluk Office Road Bangarapet, Kolar",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Kolar,2025-06-03T16:25:49.862Z
Classic Men's Beauty Salon,<,4.5,2 Ratings,"Vemgal Kolar HO, Kolar",,,Salons; Makeup Artists,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Kolar,2025-06-03T16:25:49.862Z
H K G N Engineering Works,<,3.0,2 Ratings,"Road Tharabahalli, Bangalore",,,,false,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Kolar,2025-06-03T16:25:49.862Z
Dr. Ramesh's Clinic,<,4.4,5 Ratings,"M G Road Chintamani Town, Chintamani",,,,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Kolar,2025-06-03T16:25:49.862Z
Manju Herbal Beauty Parlour,<,4.0,2 Ratings,"Hoskote, Bangalore",,,,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Kolar,2025-06-03T16:25:49.862Z
Manju Beauty Spa,<,4.8,12 Ratings,"Gangamma Gudi Road Hoskote, Bangalore",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Kolar,2025-06-03T16:25:49.863Z
Beauty Plus Salon And Academy,<,4.6,55 Ratings,"K R Market Road Hoskote, Bangalore",,,Advance Reservation Available; Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Kolar,2025-06-03T16:25:49.863Z
Dhanvantri Skin Care Center,+,3.7,279 Ratings,"No. 130/131 Hoskote, Bangalore",,,,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Kolar,2025-06-03T16:25:49.863Z
Mane'a The Salon,+,4.0,307 Ratings,"Seegahalli Whitefield Main Road, Bangalore",,,Salons; Beauty Parlours,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Kolar,2025-06-03T16:25:49.863Z
