name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
K L Saloon & Spa,<,4.3,59 Ratings,"75 Service Road Narasapura Kolar, Kolar",,07487871293,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Kolar,2025-06-03T16:26:59.761Z
Ramya Royal Makeup Hair & Nail Art Studio & Academy,<,4.7,17 Ratings,"Rathna Hospital Malur, Kolar",,08460222104,Home Services Offered; Nail Art; Waxing,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Kolar,2025-06-03T16:26:59.761Z
Blowdry Unisex Family Salon,<,4.4,14 Ratings,"Nanagali Main Road Mulbagal, Kolar",,08460405379,Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Kolar,2025-06-03T16:26:59.761Z
Sai Shree Makeup Studio & Beauty Salon & Tattoo Studio,<,3.5,2 Ratings,"Garebhavi Road Bangarapet, Kolar",,08792485244,Home Services Offered; Waxing; Facial,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Kolar,2025-06-03T16:26:59.761Z
Ashika Balaji Makeovers,<,5.0,52 Ratings,"Palasandram Layout, Kolar",,08460213639,Home Services Offered,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Kolar,2025-06-03T16:26:59.762Z
AKIRA BEAUTY SALON AND MAKEUP STUDIO ACADEMY,<,4.9,69 Ratings,"Kolar Fort, Kolar",,08460301988,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Kolar,2025-06-03T16:26:59.762Z
Vasthralankara Bridal Studio,<,5.0,11 Ratings,"Kalamma Gudi Street Kolar Fort, Kolar",,08511407797,Home Services Offered; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Kolar,2025-06-03T16:26:59.762Z
Isha Events,<,4.9,50 Ratings,"Road Maruthi Extension Malur, Kolar",,08792861893,Home Services Offered,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Kolar,2025-06-03T16:26:59.762Z
maniya beauty parlour,<,5.0,1 Ratings,"Malur to Hosur Main Road Malur, Kolar",,,Home Services Offered; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Kolar,2025-06-03T16:26:59.762Z
Smart Look,<,2.5,2 Ratings,"By Varadaraja Talkies Mulbagal, Kolar",,,Waxing; Facial; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Kolar,2025-06-03T16:26:59.762Z
Shree Lac Beauty Care,S,5.0,2 Ratings,"Yallamma Temple Kolar Fort, Kolar",,,Home Services Offered; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Kolar,2025-06-03T16:26:59.762Z
Looks Art Unisex Salon,+,4.5,475 Ratings,"College Road Jayanagar Horohalli, Kolar",,,,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Kolar,2025-06-03T16:26:59.762Z
