name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
K L Saloon & Spa,<,4.3,59 Ratings,"75 Service Road Narasapura Kolar, Kolar",,07487871293,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Kolar,2025-06-03T16:28:50.413Z
Ramya Royal Makeup Hair & Nail Art Studio & Academy,<,4.7,17 Ratings,"Rathna Hospital Malur, Kolar",,08460222104,Home Services Offered; Nail Art; Waxing,true,true,false,true,true,Beauty Spa,Popular Salons,Kolar,2025-06-03T16:28:50.413Z
Blowdry Unisex Family Salon,<,4.4,14 Ratings,"Nanagali Main Road Mulbagal, Kolar",,08460405379,Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Kolar,2025-06-03T16:28:50.413Z
Mr & Miss Unisex Saloon,<,5.0,114 Ratings,"Gaddekannur Main Road Kolar Fort, Kolar",,,Salons; Hair Stylists,true,true,false,false,true,Beauty Spa,Popular Salons,Kolar,2025-06-03T16:28:50.413Z
Shreya Beauty Parlour,<,4.0,108 Ratings,"Kolar Gold Fields Kolar, Kolar",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Kolar,2025-06-03T16:28:50.414Z
Blossoms Unisex & Salon,<,4.7,423 Ratings,"Robertsonpet, Kolar",,,Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Kolar,2025-06-03T16:28:50.414Z
Looks Art Unisex Salon,<,4.5,475 Ratings,"1st Cross Arahalli, Kolar",,,Waxing; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Salons,Kolar,2025-06-03T16:28:50.414Z
Looks Art Unisex Salon,<,4.5,475 Ratings,"College Road Jayanagar Horohalli, Kolar",,,,true,true,false,false,true,Beauty Spa,Popular Salons,Kolar,2025-06-03T16:28:50.414Z
Creative Kraft Mens Salon,<,4.3,31 Ratings,"Dvg Road Malur, Kolar",,,,true,true,false,false,true,Beauty Spa,Popular Salons,Kolar,2025-06-03T16:28:50.414Z
Saranya Beauty Lounge And Training Academy,<,4.8,77 Ratings,"Anjaneyar Temple DASARAHOSAHALLI, Kolar",,,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Kolar,2025-06-03T16:28:50.414Z
Latest Hair Dressers,+,4.3,3 Ratings,"Coronation Road Bangarapet, Kolar",,,Salons; Hair Stylists,true,true,false,false,false,Beauty Spa,Popular Salons,Kolar,2025-06-03T16:28:50.414Z
