name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Hotel Sri Sampoorna,<,3.9,541 Ratings,"No.2 Doddapet Kolar, Kolar",,,,true,false,false,false,true,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.864Z
Dratha Creations Pvt Ltd,<,4.7,"2,052 Ratings","Revitters Block Marikuppam, Kolar",,,Videography,true,false,false,false,true,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.864Z
B.K EVENTS,<,5.0,15 Ratings,"B.K EVENTS Hoskote, Bangalore",,08904936245,Videography,true,false,false,false,true,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.865Z
Sbs Caterers,<,4.8,47 Ratings,"Nh4 Old Madras Road Hoskote, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.865Z
Vidhagdha Catering Services And Bouquet Hall,<,4.2,355 Ratings,"Main Road Thirumalashettyhalli, Bangalore",,08511343150,Parking Available; Home Delivery,false,false,false,false,true,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.865Z
Wins Restaurant,<,4.7,9 Ratings,"Farm Road Whitefield Main Road, Bangalore",,,,true,false,false,false,true,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.865Z
The Hub,<,3.4,55 Ratings,"ECC Road Whitefield, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.865Z
RR CATERING,<,5.0,23 Ratings,"EPIP Whitefield, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.865Z
Jyothi Catering (Andhra Style),<,5.0,123 Ratings,"Sai Serinity Layout Medahalli, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.865Z
Krutajnya Caters,<,2.5,1 Ratings,"ASHWINI LAYOUT Virgonagar, Bangalore",,,Non Veg Caterers Upto 500 Persons; Caterers,true,false,false,false,false,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.865Z
The Andhra Bhojanam,+,3.7,126 Ratings,"Arun Complex Whitefield, Bangalore",,,,false,false,false,false,false,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.865Z
The Andhra Bhojanam Caterers,T,3.9,60 Ratings,"Whitefield Road Whitefield, Bangalore",,09845235679,Home Delivery,true,false,false,false,false,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.866Z
Marigold Hibiscus Outdoor Catering,+,4.0,3 Ratings,"Nallurhalli Circle Whitefield, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.866Z
Hotel Manu Residency,+,3.9,"2,566 Ratings","Kadugodi Whitefield, Bangalore",,,,false,false,false,false,false,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.866Z
Huckleberry,H,4.7,6 Ratings,"Ramagondanahalli Whitefield, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.866Z
Tag Kitchen & Bar,+,4.4,79 Ratings,"Nh 44 Devanahalli, Bangalore",,08401075698,,false,false,false,false,true,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.866Z
Bhanjara Family Restaurant,+,4.1,424 Ratings,"Hyderabad Road Devanahalli, Bangalore",,,,true,false,false,false,true,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.866Z
I Food & Beverages Catering,+,3.0,3 Ratings,"Main Road Krishnarajapuram, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.866Z
Wecare Foods And Beverages Pvt Ltd,+,4.5,112 Ratings,"Phase 2 Industrial Area Hoodi, Bangalore",,09980032295,Beverage Outlets; Home Delivery,true,false,false,true,true,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.866Z
Sai Aruna Caterer,+,4.5,746 Ratings,"Brookfield Kundalahalli, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Andhra Caterers,Kolar,2025-06-03T16:38:32.866Z
