name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Isha Events,<,4.9,50 Ratings,"Road Maruthi Extension Malur, Kolar",,08792861893,Videography; Home Services Offered,true,true,false,true,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.414Z
Events to Be Memorable,<,5.0,14 Ratings,"Karalahalli Shanthi Nagar, Kolar",,08460204681,Banquet Hall Decoration; Car Decoration; Balloon Arch,true,true,false,true,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.414Z
Hotel Harianand,<,5.0,3 Ratings,"Hotel Harianand Ajjapanahalli, Kolar",,08123898436,,true,true,false,true,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.414Z
Gns Cooking Contractor,<,3.5,2 Ratings,"N Subramani Main Road Mulbagal, Kolar",,09054598472,Caterers For Events; Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.414Z
Majisa Rnm Sweets and Caterers,<,5.0,2 Ratings,"2nd Cross Road Robertsonpet, Kolar",,09972933072,Caterers For Office; Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.415Z
Al Khaf Catering,<,4.9,8 Ratings,"Kg Mohalla Kuvempunagar Kolar, Kolar",,07405636705,Caterers; Flower Decorators,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.415Z
Dratha Creations Pvt Ltd,<,4.7,"2,052 Ratings","Revitters Block Marikuppam, Kolar",,,Videography,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.415Z
Hotel Sri Sampoorna,<,3.9,541 Ratings,"No.2 Doddapet Kolar, Kolar",,,,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.415Z
Al Naaz Caterers,<,4.9,83 Ratings,"Mini Ibrahim Road Robertsonpet, Kolar",,,Caterers; Caterers For Parties,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.415Z
Sandeep Events,<,4.0,14 Ratings,"Maruthi Extension Malur, Kolar",,,Videography,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.415Z
Kgn Caterers,+,4.6,33 Ratings,"Kolar Road Bangarapet, Kolar",,,Caterers; Caterers For Parties,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
Spice Caterers,S,4.0,1 Ratings,"K Halli Road Dasarahosahalli, Kolar",,,Home Delivery,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
K.M.S CATERING,+,4.9,8 Ratings,"K.M.S. CATERING Kolar Fort, Kolar",,,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
Hotel Bangalore Taj,H,2.5,2 Ratings,"D.K Halli Road Beml Nagar, Kolar",,,Caterers; Caterers Upto 3000 Persons,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
Varshan Catering Services,V,4.1,6 Ratings,"Oorgaum, Kolar",,,Caterers; Caterers For Parties,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
R K R Catering Services,R,4.8,7 Ratings,"Road Malur, Kolar",,,Caterers; Caterers Upto 50 Persons,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
K N Kondrahalli Catering,+,4.0,36 Ratings,"KONDRAHALLI Malur, Kolar",,,Home Delivery,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
Chittoor Hotel,C,3.8,13 Ratings,"Dvg Road Nangli, Kolar",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
Sri Vinayaka Sounds Shamiyana And Flower Decorators,+,5.0,3 Ratings,"Kolar Fort, Kolar",,,Caterers; Flower Decorators,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
Sri Lakshmi Tiffin Centre Rajendra M,S,4.0,2 Ratings,"Beml Main Road Dasarahosahalli, Kolar",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
Raghavendra Sharma,R,5.0,1 Ratings,"Maruti Layout Lakkur, Kolar",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
RYD Pani Puri And Chats Bangarpet,R,4.8,3 Ratings,"Mp Road Bangarapet, Kolar",,,,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
Gayathri Annapoorneshwari Caterers,G,5.0,1 Ratings,"Railway Station Katari Palya, Kolar",,,Caterers; Brahmin Food Caterers,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
Aainain Caterers,A,5.0,1 Ratings,"Bangarpet Bangarapet, Kolar",,,Caterers; Caterers For Parties,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
B.K EVENTS,+,5.0,15 Ratings,"B.K EVENTS Hoskote, Bangalore",,08904936245,Videography,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
M.M CATERING,+,5.0,1 Ratings,"Chintamani, Chintamani",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
Kvs Events,+,4.9,28 Ratings,"Near Ksrtc Depo Chintamani, Chintamani",,,Videography,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.416Z
Cnv Caterers,+,4.8,53 Ratings,"Tank Band Road Ashraya Colony, Chintamani",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.417Z
Noor Catreen,+,3.8,60 Ratings,"Chintamani Market, Chintamani",,09845418960,Home Delivery,true,true,false,true,false,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.417Z
The Terminal Multicuisine Restaurant,+,4.0,"6,776 Ratings","Thirupathi Highway Hoskote, Bangalore",,,,false,false,false,true,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.417Z
Sri Guru Krupa Catering Service,+,3.5,8 Ratings,"Hoskote Kammavari Pete, Bangalore",,,Caterers; Caterers For Wedding,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.417Z
Sbs Caterers,+,4.8,47 Ratings,"Nh4 Old Madras Road Hoskote, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Kolar,2025-06-03T16:39:38.417Z
