name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
B.K EVENTS,<,5.0,15 Ratings,"B.K EVENTS Hoskote, Bangalore",,08904936245,Videography,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.561Z
Sbs Caterers,<,4.8,47 Ratings,"Nh4 Old Madras Road Hoskote, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.562Z
The Hub,<,3.4,55 Ratings,"ECC Road Whitefield, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.562Z
Imperio Restaurant,<,3.9,"13,266 Ratings","Hagadur Main Road Whitefield, Bangalore",,,,false,false,false,true,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.562Z
Krutajnya Caters,<,2.5,1 Ratings,"ASHWINI LAYOUT Virgonagar, Bangalore",,,Non Veg Caterers Upto 500 Persons; Caterers,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.562Z
Marigold Hibiscus Outdoor Catering,<,4.0,3 Ratings,"Nallurhalli Circle Whitefield, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.563Z
Huckleberry,<,4.7,6 Ratings,"Ramagondanahalli Whitefield, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.563Z
Akanksha Kitchen Catering & Event Services,<,4.9,394 Ratings,"VS Reddy Colony-Whitefield, Bangalore",,,,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.564Z
S M K Tents,<,4.9,186 Ratings,"Main Road Ramamurthy Nagar, Bangalore",,,Cooks; Caterers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.564Z
Grace Catering Services,<,4.8,16 Ratings,"Anagalpura Main Road Doddagubbi, Bangalore",,07411576695,,true,false,false,true,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.564Z
Manna Catering,+,4.4,16 Ratings,"Dooravaninagar Udayanagar, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.565Z
Pooja Catering Services,P,5.0,12 Ratings,"Marathalli Bridge Marathahalli, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.565Z
Anu Andhra Mess And Catering Services,+,3.2,28 Ratings,"Ramanjuneya Layout Marathahalli, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.565Z
Megabite Food Services,+,3.9,29 Ratings,"Doddanekkundi Marathahalli, Bangalore",,,Caterers For Office; Caterers,true,false,false,true,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.565Z
Kitchen Star Caterers,+,4.0,15 Ratings,"Main Road Ramamurthy Nagar, Bangalore",,,Home Delivery,true,false,false,true,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.565Z
Megha Mallya Event Planner,M,5.0,2 Ratings,"Hobli Ramamurthy Nagar, Bangalore",,,Party Decorators; Caterers,false,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.565Z
Fresh and Delicious,+,2.5,2 Ratings,"Main Road Kadubeesanahalli, Bangalore",,,Caterers For Chaat; Caterers,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.565Z
S J S Caterings,+,4.2,486 Ratings,"Uco Bank Road Ramamurthy Nagar, Bangalore",,09980030089,Home Delivery,true,false,false,true,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.565Z
Shree Sai Annapurna Mess & Caterers,S,4.6,4 Ratings,"Hoisala Nagar Ramamurthy Nagar, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.565Z
Tharavad,+,3.7,151 Ratings,"3rd Main Road Marathahalli, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.566Z
Kerala's Kitchen,+,4.8,7 Ratings,"Samrudhi Layout Horamavu, Bangalore",,,Caterers; Veg Caterers,false,false,false,true,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.566Z
Biryani House,+,4.4,15 Ratings,"Agra Lake Road Horamavu, Bangalore",,,,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.566Z
Agraharam Meal,+,3.8,"1,331 Ratings","Malleshapalya-Kaggadasapura, Bangalore",,,,false,false,false,true,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.566Z
Olive Garden Restaurant,+,3.7,75 Ratings,"Avalhalli Main Road Byrathi, Bangalore",,,,true,false,false,true,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.566Z
Bosco Catering & Events,+,4.1,"1,049 Ratings","Hennur Baglur Road Kothanur, Bangalore",,,Home Delivery,true,false,false,true,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.566Z
Aroma Caterers And Event Managers,+,4.2,137 Ratings,"Thirumala Layout Horamavu Agara, Bangalore",,,Car Decoration; Home Delivery,true,false,false,true,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.566Z
Breadfruit Kerala Cuisine Catering,+,3.8,91 Ratings,"Main Road Malleshpalya, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.566Z
Hotel Karavali,+,3.2,49 Ratings,"New Airport Road Kothanur, Bangalore",,,,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.566Z
Joy Catering Service,J,3.7,28 Ratings,"Rajanna Layout Horamavu, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.567Z
Real Fresh,+,3.8,12 Ratings,"Yemlur Main Road Marathahalli, Bangalore",,,,false,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.567Z
Hicurry Foods INDIA Pvt. Ltd.,+,3.9,11 Ratings,"4th Cross Banaswadi, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.567Z
Hotel Seafood Point,+,4.9,44 Ratings,"7th Cross Babusapalya, Bangalore",,,,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.567Z
Crescent Food Court,+,3.9,863 Ratings,"Bagalur Road Bagalur Circle, Hosur",,,Home Delivery,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.567Z
Nava Ruchi Caterers,N,3.8,9 Ratings,"B Channasandra Banaswadi, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.567Z
Gethsemane Wedding Lounge,+,4.4,39 Ratings,"Cross HRBR Layout Kalyan Nagar, Bangalore",,09980230289,Corporate; Car Decoration,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.567Z
Appaji Biryani,A,2.3,42 Ratings,"Hosur Road Bommasandra, Bangalore",,08460526354,Caterers; Caterers Upto 50 Persons,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.568Z
Big eats,B,4.6,12 Ratings,Hosur,,,Home Delivery,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.568Z
Grace Catering Services,+,4.7,6 Ratings,"1st Block Kalyan Nagar, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.568Z
Theeram Restaurant,+,4.1,185 Ratings,"2nd Main Road New Thippasandra, Bangalore",,,,false,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.568Z
Delicacy Caterers,D,4.7,16 Ratings,"Oil Mill Road St Thomas Town, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.568Z
Kaayal Restaurant,+,3.9,"2,889 Ratings","Jeevan Bima Nagar, Bangalore",,,,false,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.569Z
Oottupura Al-Madeena Restaurant,O,4.5,20 Ratings,"Thanisandra Main Road Saraipalya, Bangalore",,,,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.569Z
Malayali Kitchen,M,3.7,"1,011 Ratings","Nehru Road Kammanahalli, Bangalore",,09054582459,,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.569Z
Aroma Caterers,A,3.5,14 Ratings,"Rahima Complex Lingarajapuram, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.569Z
Golden Eagle Film Studio Events International,+,4.5,2 Ratings,"Josef Layout Lingarajapuram, Bangalore",,,Bodyguard; Home Delivery; Videography,false,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.569Z
Vanitha Catering And Monthly Account Food Services,V,2.9,4 Ratings,"Mookandapalli Om Shanti Nagar, Hosur",,,,false,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.570Z
New Life Kerala Mess,+,3.9,546 Ratings,"2nd Stage 7th Main Indiranagar, Bangalore",,,Caterers; Caterers Upto 50 Persons,false,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.570Z
TSM Events and Caterers,+,4.9,37 Ratings,"Oil Mill Road Kammanahalli, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.570Z
Sirio Hotel,+,3.7,25 Ratings,"2nd Cross Sadananda Nagar, Bangalore",,,,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.570Z
R K Tent House & Caterer,+,3.5,2 Ratings,"1st Cross Ulsoor, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.570Z
JN Catering,J,5.0,1 Ratings,"Rama Street Jeevanahalli, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.570Z
Sri Lakshmi Caterers,+,4.3,"1,700 Ratings","Old Madras Road Ulsoor, Bangalore",,09972938394,Home Delivery,true,false,false,true,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.570Z
Sri Ganesh Caterers,S,2.8,4 Ratings,"Yelahanka Main Road Hebbal, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.570Z
Biryani Paradise,+,3.6,"1,001 Ratings","Denkanikottai Ring Road Dinnur, Hosur",,,Home Delivery,false,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.571Z
Diamond Cooks And Caterers,+,3.8,3 Ratings,"Rashad Nagar-Govindapura, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.571Z
Panache Platform,+,4.4,5 Ratings,"Gover Road Cox Town, Bangalore",,,Home Delivery,true,false,false,true,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.571Z
Kavitha Hotel,+,4.4,35 Ratings,"4th Cross Sultan Palya, Bangalore",,,,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.571Z
Yadav Chef,Y,2.8,4 Ratings,"24th Hsr Layout Sector 2, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.571Z
Johnny Caterers,+,4.6,416 Ratings,"Jeevanahalli Cox Town, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.572Z
Big Feast Catering & Events Llp,+,4.9,8 Ratings,"2nd Cross Road Hebbal, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.572Z
Ansuvi Food Club Pvt Ltd,+,4.9,67 Ratings,"Haralur-HSR Layout, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.572Z
Veg- Leaf,V,4.6,13 Ratings,"Moore Road Frazer Town, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.572Z
Ans Kitchen,+,4.8,87 Ratings,"Vinayaka Layout Hebbal Kempapura, Bangalore",,,Caterers; Wedding Planners,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.572Z
Sonakshi Hospitality Services,S,4.0,1 Ratings,"Jakkasandra Road Koramangala, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.572Z
J J Tent House,+,3.7,17 Ratings,"Hennur Main Road Kammanahalli, Bangalore",,,Tent House; Corporate Companies,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.572Z
Coorg Coffee Cafe,C,3.6,3 Ratings,"No. 13 Frazer Town, Bangalore",,,Caterers; Event Organisers,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.572Z
S 2 V Catering Service,+,4.2,33 Ratings,"Main Road Rt Nagar, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.572Z
Sunil Cook,+,5.0,2 Ratings,"HSR Layout, Bangalore",,,Caterers Upto 1000 Persons; Cooks,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.572Z
Paris Restaurant,P,4.4,5 Ratings,"Huskur Gate Electronic City, Bangalore",,,,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.572Z
22 Catering Co,+,4.5,51 Ratings,"Layout Chiranjeevi Layout, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.573Z
Peter Caterers,P,4.4,42 Ratings,"Vivek Nagar Post Ejipura, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.573Z
Shayan Cafecito,S,3.5,2 Ratings,"Koramangala, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.573Z
Flavours Inn Caterers,F,5.0,6 Ratings,"Cp Complex Sahakara Nagar, Bangalore",,,Caterers; Kerala Caterers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.573Z
Cheftalk Food And Hospitality Services Pvt. Ltd.,+,4.8,519 Ratings,"Mangamana Palya Bommanahalli, Bangalore",,,,true,false,false,true,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.573Z
Kwality Traders,K,5.0,1 Ratings,"Kodathi Sarjapur Road, Bangalore",,,Mineral Water Dealers-Bisleri; Water Suppliers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.573Z
Nand Gopal Caterers,+,4.3,17 Ratings,"Block A Electronic City Phase 2, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.573Z
Vaishnavi Caterers,V,3.0,1 Ratings,"Naganathapura Electronic City, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.573Z
Prem CATRERES,P,5.0,1 Ratings,"Fortune Valley Hebbal, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.573Z
TH Evenz,+,5.0,2 Ratings,"Guddadhahalli Rt Nagar, Bangalore",,,Car Decoration; Event Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.573Z
Shahi Restaurant,S,3.5,510 Ratings,"Chandni Chowk Road Shivaji Nagar, Bangalore",,,,false,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.573Z
Adukkala Budget Food Delivery,A,4.7,3 Ratings,"Scheme BTM Layout 1st Stage, Bangalore",,,Caterers; Kerala Caterers,true,false,false,false,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.573Z
Vishwas Condiments And Traditional Snacks,+,4.3,205 Ratings,"Sahakara Nagar, Bangalore",,,,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.573Z
Foodiction,+,3.8,4 Ratings,"Kudlu Gate Bommanahalli, Bangalore",,,,false,false,false,true,false,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.573Z
Mukambika Veg Caterers,+,4.8,3 Ratings,"Guddadhahalli Main Road Hebbal, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.574Z
Sri Sai Enterprises,+,5.0,1 Ratings,"No. 86 Bommanahalli, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.574Z
Paradise Caterers,P,4.3,11 Ratings,"Noah St Shivaji Nagar, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.574Z
Aditi Catering,A,5.0,2 Ratings,"Old Electronic City Phase 1, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.574Z
Caterish Company,C,4.8,4 Ratings,"Near Axis Bank Benson Town, Bangalore",,,Home Delivery,true,false,false,true,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.574Z
Refectory Food & Beverage Pvt Ltd,R,4.3,32 Ratings,"Bommasandra, Bangalore",,,Caterers; Caterers Upto 50 Persons,true,false,false,false,true,Caterers,Popular Kerala Caterers,Kolar,2025-06-03T16:43:45.574Z
