name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Masala Mantraa,<,4.1,141 Ratings,"Siddapura Road Nallurhalli, Bangalore",,08734963515,Home Delivery,true,false,false,true,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.131Z
Mandarin Ming,<,5.0,3 Ratings,"Nallurhalli Whitefield Varthur, Bangalore",,08511899025,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.131Z
The Chef's Palette,<,4.6,48 Ratings,"Nallurahalli Road Whitefield, Bangalore",,,Parking Available; Valet Parking Service; Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.131Z
Kitchen Star Caterers,<,4.0,15 Ratings,"Main Road Ramamurthy Nagar, Bangalore",,,Home Delivery,true,false,false,true,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.131Z
Hicurry Foods INDIA Pvt. Ltd.,<,3.9,11 Ratings,"4th Cross Banaswadi, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.132Z
Crescent Food Court,<,3.9,863 Ratings,"Bagalur Road Bagalur Circle, Hosur",,,Home Delivery,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.132Z
Sharma Caterers,<,4.4,57 Ratings,"Chelekere Kalyan Nagar, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.132Z
Grace Catering Services,<,4.7,6 Ratings,"1st Block Kalyan Nagar, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.132Z
Jai Mataji Farsan And Sweets,<,4.2,"1,770 Ratings","4th Main Banaswadi, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.132Z
Sharma Caterers,<,4.2,6 Ratings,"Old Madras Road Indiranagar, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.132Z
TSM Events and Caterers,+,4.9,37 Ratings,"Oil Mill Road Kammanahalli, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.132Z
R K Tent House & Caterer,+,3.5,2 Ratings,"1st Cross Ulsoor, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.132Z
Sri Ganesh Caterers,S,2.8,4 Ratings,"Yelahanka Main Road Hebbal, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.132Z
Ramakanta Caterers,R,4.5,2 Ratings,"#1 Mariyannapalya, Bangalore",,,Caterers; Caterers Upto 50 Persons,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.133Z
Sukhdev Caterers,+,4.7,162 Ratings,"Kempapura Hebbal, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.133Z
Diamond Cooks And Caterers,+,3.8,3 Ratings,"Rashad Nagar-Govindapura, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.133Z
Rajwadi Caterers,+,4.7,109 Ratings,"27Th Main Road HSR Layout, Bangalore",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.133Z
Ansuvi Food Club Pvt Ltd,+,4.9,67 Ratings,"Haralur-HSR Layout, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.133Z
Hungrazzy,H,3.8,5 Ratings,"1st C Main Road Koramangala, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.133Z
Subodh Caterers,+,5.0,3 Ratings,"Hebbal Hebbal Agri Farm, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.133Z
S 2 V Catering Service,+,4.2,33 Ratings,"Main Road Rt Nagar, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.133Z
Peter Caterers,P,4.4,42 Ratings,"Vivek Nagar Post Ejipura, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.133Z
Brij Mohan Shambhu Dayal,B,5.0,1 Ratings,"Training Centre Vivek Nagar, Bangalore",,,Home Delivery,true,false,false,true,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.133Z
Cheftalk Food And Hospitality Services Pvt. Ltd.,+,4.8,519 Ratings,"Mangamana Palya Bommanahalli, Bangalore",,,,true,false,false,true,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.133Z
Nand Gopal Caterers,+,4.3,17 Ratings,"Block A Electronic City Phase 2, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.134Z
Flavours Of INDIA,+,4.0,10 Ratings,"Craig Park Layout Ashoknagar, Bangalore",,,,true,false,false,true,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.134Z
Prem CATRERES,P,5.0,1 Ratings,"Fortune Valley Hebbal, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.134Z
Shahi Restaurant,S,3.5,510 Ratings,"Chandni Chowk Road Shivaji Nagar, Bangalore",,,,false,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.134Z
Foodiction,+,3.8,4 Ratings,"Kudlu Gate Bommanahalli, Bangalore",,,,false,false,false,true,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.135Z
Ajaz Royal Caterers,A,4.0,1 Ratings,"Dinnur Mn Rd Rt Nagar, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.135Z
Caterish Company,C,4.8,4 Ratings,"Near Axis Bank Benson Town, Bangalore",,,Home Delivery,true,false,false,true,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.135Z
Mealswala Food Services,M,4.8,2 Ratings,"1st Main HSR Layout, Bangalore",,,Caterers; Event Organisers,false,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.135Z
Rajwada Kulfi,R,5.0,1 Ratings,"Bomanhalli Bommanahalli, Bangalore",,,,false,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.135Z
Sri Lakshmi Mess,+,4.0,1 Ratings,"20 Main Madiwala, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.135Z
Gayland Caterers & Furnitures,G,4.2,26 Ratings,"No.23/2 Richmond Road, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.135Z
Indian Kitchen,+,4.5,20 Ratings,"Vidyaranyapura, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.136Z
Rakesh Ladduwala,+,4.0,187 Ratings,"Manipal Country Road Singasandra, Bangalore",,09035019972,Caterers; Veg Caterers,true,false,false,true,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.136Z
Sankalp Food Zone,S,5.0,1 Ratings,"2nd Main Vasanth Nagar, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.136Z
Sagar Caterers,+,4.3,"3,124 Ratings","Palace Ground Mekhri Circle, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.136Z
Nizam Catering,+,4.7,19 Ratings,"Madanapalli Basinikonda, Madanapalle",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.136Z
Silverline Chocolate & Cakes,S,4.0,6 Ratings,"8th Crs Sadashivanagar, Bangalore",,,,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.136Z
Sri Sai Bhavitha Food Caterers,+,4.6,13 Ratings,"Reddy's Colony CTM Road, Madanapalle",,09724293025,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.136Z
Annapurna Restaurant,+,3.2,160 Ratings,"Road Electronic City Phase 1, Bangalore",,,,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.137Z
R K Caterers,R,4.7,20 Ratings,"Nagappa Street Seshadripuram, Bangalore",,,Caterers; Event Organisers,true,false,false,true,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.137Z
HORA SERVICES,+,4.5,132 Ratings,"Road Bannerghatta Road, Bangalore",,,Caterers; Flower Decorators,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.137Z
Joth Khalsa Caterers,+,4.9,15 Ratings,"3rd Crs Jc Road, Bangalore",,,Caterers; Veg Caterers,true,false,false,true,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.137Z
Sri Nandi Utsava,+,4.4,26 Ratings,"Yelahanka Road Doddaballapur, Bangalore",,07048268839,Home Delivery,true,false,false,true,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.137Z
Swadd Kitchen,+,5.0,85 Ratings,"Dvg Road Basavanagudi, BANGALORE",,,,false,false,false,true,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.137Z
Sri Vishnu Caterers,S,5.0,3 Ratings,"Banashankari 1st Stage, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.137Z
Srinidhi Catering,+,4.0,1 Ratings,"5th Cross Banashankari 3rd Stage, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.137Z
Sar Catering,+,4.6,35 Ratings,"JP Nagar Post Jhbcs Layout, Bangalore",,09980917838,Home Delivery,true,false,false,true,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.138Z
Hotel House Full,H,3.3,33 Ratings,"Hotel House Full Doddaballapur, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.138Z
Bangarpete Chaats and Catering Service,B,3.9,25 Ratings,"Temil Nadu Bank Doddaballapur, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.138Z
Shree Annapoorneshwari Caterers,+,4.5,30 Ratings,"KHB Calony Basaveshwara Nagar, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.138Z
Maltose Marriage Village,+,5.0,10 Ratings,"Madeshwara Village Doddaballapur, Bangalore",,,Valet Parking Service; Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.138Z
Jagadish Caterers,+,4.5,6 Ratings,"RPC Layout Vijayanagar, Bangalore",,,,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.138Z
Golden Moments,G,5.0,7 Ratings,"Chandra Layout Chandra Layout, Bangalore",,,Caterers; Caterers Upto 50 Persons,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.138Z
Stall Desk Pvt Ltd,+,4.5,4 Ratings,"Mysore Road Kengeri, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.138Z
Acronz Event Management And Catering Service,+,4.3,4 Ratings,"Door No1, Chittoor",,,Home Delivery,false,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.138Z
Charbhuja Caterers,+,4.8,5 Ratings,"15th Cross SS Puram, Tumkur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.138Z
Joe S Dj,+,4.9,19 Ratings,"3rd Street Sathuvacheri, Vellore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.138Z
Marvadi Bhojanalaya,M,3.5,14 Ratings,"G. S Mada Street Tirupati HO, Tirupati",,,,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.138Z
Swaad Food Express,+,3.6,3 Ratings,"B M Road Gandhi Nagar Mandya, Mandya",,,,false,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.139Z
Smiley Events,+,4.7,207 Ratings,"Bhagyanagar Colony Kadapa City, Kadapa",,,,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.139Z
Crescendo Multicuisine Restaurant,C,3.9,55 Ratings,"Byepass Seelanaickenpatti, Salem",,,,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.139Z
Mother Caterers,M,4.4,4 Ratings,"Nagar Narasimharaja Mohalla, Mysore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.140Z
Sri Sabari Caterings A to Z Services,+,5.0,4 Ratings,"Kaveri Street Anaikkum Karangal, Rasipuram",,,Banquet Hall Decoration; Car Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.140Z
Jeevan Catering,J,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.140Z
Bright Kitchen,+,4.9,200 Ratings,"1st Right Mandhakarai, Villupuram",,09035038319,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.140Z
Hotel Kongu Veg And Non Veg,+,4.3,11 Ratings,"Chettikaradu Kavindapadi, Erode",,,,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.140Z
Leo Karthick Groups Catering Service,+,5.0,3 Ratings,"Athani Main Road Pallapalayam, Erode",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.140Z
Vijay Agency,+,3.6,17 Ratings,"Municipal Colony Main Road, Erode",,,,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.140Z
Sri Nalas Catering Service,S,5.0,2 Ratings,"KUMARAKUPPAM Valavanur, Villupuram",,,Caterers; Biryani Caterers,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.140Z
Sikara Catering,S,3.1,3 Ratings,"Johnson Street Tambaram West, Chennai",,,,false,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.140Z
K V S Event Planners,+,4.8,6 Ratings,"No 149 Arcot Road Valasaravakkam, Chennai",,,Videography,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.141Z
Grand Home Foods,+,4.7,224 Ratings,"Industrial Estate Thattanchavadi, Pondicherry",,08734965736,,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.141Z
Deurali Caterers,+,4.9,6 Ratings,"Rani Anna Nagar- Arumbakkam, Chennai",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.141Z
Nanda Catering Service,+,4.5,6 Ratings,"Nagar Lawspet Pondicherry, Pondicherry",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.141Z
Jai Sri Krishna Sweets,+,4.6,17 Ratings,"Muthumam Koil Street Ayanavaram, Chennai",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.141Z
Thirumala Catering Service,T,4.0,10 Ratings,"Vasan Street Perambur, Chennai",,,Home Delivery,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.141Z
Wow National Flavours,+,4.8,152 Ratings,"Mahalakshmi Street T Nagar, Chennai",,,,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.141Z
Hungers Club,+,3.7,804 Ratings,"Ayodhya Colony Velacheri, Chennai",,,,false,false,false,true,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.141Z
Aroma Town,A,3.5,2 Ratings,"Koil Street Sholinganallur, Chennai",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.141Z
Vijay Catering,V,4.3,6 Ratings,"Rama Street Nungambakkam, Chennai",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.141Z
Garuda Catering Services,+,5.0,2 Ratings,"Chintadripet Chindatripet, Chennai",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.141Z
Shiva Sai Caterers,+,5.0,1 Ratings,"Kutchery Road Mylapore, Chennai",,,Caterers For Chaat; Caterers,true,false,false,true,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.141Z
Thamburaj N,T,3.0,1 Ratings,"Iduvampalayam, Tirupur",,,,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.141Z
Mani Cateers,M,5.0,2 Ratings,"Door No. Charing Cross, Ooty",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.141Z
Aica Events Pvt Ltd,+,3.7,5 Ratings,"Door no 1(A) Nellore HO, Nellore",,,Banquet Hall Decoration; Car Decoration; Home Delivery,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.141Z
Srras Caterers,S,4.3,2 Ratings,"Avinashi Road Chinniampalayam, Coimbatore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.141Z
R R Catering Service,+,3.0,1 Ratings,"Jothi Nagar Papanaickenpalayam, Coimbatore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.142Z
Garden Of Taste,+,4.1,94 Ratings,"Katoor Road Papanaickenpalayam, Coimbatore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.142Z
Pandit Caterers,+,4.4,6 Ratings,"Thondamuthur Road Poosaripalayam, Coimbatore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.142Z
Karuppaiyah Marriage Catering Service,+,4.8,10 Ratings,"1st Street Gundur, Trichy",,08904943896,,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.142Z
Rasi Catering Service & Event Management,+,4.8,156 Ratings,"College Road Natrajapuram, Thanjavur",,,Home Delivery,true,false,false,true,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.142Z
Pizza Home,+,3.9,212 Ratings,"ARULANDANAGAR Arulananada Nagar, Thanjavur",,08460433649,,false,false,false,true,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.142Z
Ayub Canteen,A,3.7,3 Ratings,"Feet Outer Ring Road Doddapet, Shimoga",,,,true,false,false,false,false,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.142Z
Hotel Kongu Dharbar,+,5.0,2 Ratings,"Nengamam Via Pollachi Bazaar, Pollachi",,,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.142Z
Anwar Caterings (veg&non Veg),+,4.6,11 Ratings,"Nagar Santosh Nagar, Kurnool",,09054480495,Home Delivery,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.142Z
Mr Hot Caterers,M,5.0,6 Ratings,"Kalaingar Nagar Nagal Nagar, Dindigul",,,Caterers; Biryani Caterers,true,false,false,false,true,Caterers,Popular Marwari Caterers,Kolar,2025-06-03T16:44:45.142Z
