name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Isha Events,<,4.9,50 Ratings,"Road Maruthi Extension Malur, Kolar",,08792861893,Videography; Home Services Offered,true,true,false,true,true,Caterers,Popular Caterers For Parties,Kolar,2025-06-03T16:49:35.413Z
C M S Events,<,5.0,9 Ratings,"NH75 Chadamanahalli Kolar HO, Kolar",,08460400427,Videography,true,true,false,false,true,Caterers,Popular Caterers For Parties,Kolar,2025-06-03T16:49:35.414Z
BG EVENT MANGEMENT,<,4.8,100 Ratings,"Pallavi Nailya Kolar Fort, Kolar",,09725855337,Corporate; On Site Services; DJ,true,true,false,false,true,Caterers,Popular Caterers For Parties,Kolar,2025-06-03T16:49:35.414Z
Gns Cooking Contractor,<,3.5,2 Ratings,"N Subramani Main Road Mulbagal, Kolar",,09054598472,Caterers For Events; Caterers,true,true,false,false,true,Caterers,Popular Caterers For Parties,Kolar,2025-06-03T16:49:35.414Z
Hotel Harianand,<,5.0,3 Ratings,"Hotel Harianand Ajjapanahalli, Kolar",,08123898436,,true,true,false,true,true,Caterers,Popular Caterers For Parties,Kolar,2025-06-03T16:49:35.415Z
Events to Be Memorable,<,5.0,14 Ratings,"Karalahalli Shanthi Nagar, Kolar",,08460204681,Banquet Hall Decoration; Car Decoration; Balloon Arch,true,true,false,true,true,Caterers,Popular Caterers For Parties,Kolar,2025-06-03T16:49:35.415Z
Al Khaf Catering,<,4.9,8 Ratings,"Kg Mohalla Kuvempunagar Kolar, Kolar",,07405636705,Caterers; Flower Decorators,true,true,false,false,true,Caterers,Popular Caterers For Parties,Kolar,2025-06-03T16:49:35.415Z
Dratha Creations Pvt Ltd,<,4.7,"2,052 Ratings","Revitters Block Marikuppam, Kolar",,,Videography,true,true,false,false,true,Caterers,Popular Caterers For Parties,Kolar,2025-06-03T16:49:35.416Z
Sri Sai Bhavan Pure Veg,<,3.7,775 Ratings,"Kolar Ho, Kolar",,,,false,false,false,true,false,Caterers,Popular Caterers For Parties,Kolar,2025-06-03T16:49:35.416Z
Hotel Sri Sampoorna,<,3.9,541 Ratings,"No.2 Doddapet Kolar, Kolar",,,,true,true,false,false,false,Caterers,Popular Caterers For Parties,Kolar,2025-06-03T16:49:35.416Z
