name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Majisa Rnm Sweets and Caterers,<,5.0,2 Ratings,"2nd Cross Road Robertsonpet, Kolar",,09972933072,Caterers For Office; Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.152Z
Hotel Sri Sampoorna,<,3.9,541 Ratings,"No.2 Doddapet Kolar, Kolar",,,,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.152Z
K N Kondrahalli Catering,<,4.0,36 Ratings,"KONDRAHALLI Malur, Kolar",,,Home Delivery,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.152Z
Dratha Creations Pvt Ltd,<,4.7,"2,052 Ratings","Revitters Block Marikuppam, Kolar",,,Videography,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.152Z
friends catering & events,<,5.0,6 Ratings,"Oil Mil Road Robertsonpet, Kolar",,,24 Hours,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.152Z
Gayathri Annapoorneshwari Caterers,<,5.0,1 Ratings,"Railway Station Katari Palya, Kolar",,,Caterers; Brahmin Food Caterers,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.152Z
Sandeep Events,<,4.0,14 Ratings,"Maruthi Extension Malur, Kolar",,,Videography,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.153Z
Anjum Cooking Catering,<,4.0,2 Ratings,"Midiu Kolar Gold Fields Kolar, Kolar",,,Caterers; Non Veg Caterers Upto 100 Persons,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.153Z
B.K EVENTS,<,5.0,15 Ratings,"B.K EVENTS Hoskote, Bangalore",,08904936245,Videography,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.153Z
M.M CATERING,<,5.0,1 Ratings,"Chintamani, Chintamani",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.153Z
The Terminal Multicuisine Restaurant,+,4.0,"6,776 Ratings","Thirupathi Highway Hoskote, Bangalore",,,,false,false,false,true,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.153Z
Kjp Caterers,+,4.2,26 Ratings,"Hoskote Hoskote, Bangalore",,,Brahmin Food Caterers For Wedding Upto 4000 Persons; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.153Z
Sbs Caterers,+,4.8,47 Ratings,"Nh4 Old Madras Road Hoskote, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.153Z
Sri Ruchi Priya Catering,+,5.0,4 Ratings,"Cross Doddadunnasandra, Bangalore",,,Caterers; Event Organisers,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.153Z
RVM Catering - Poorvika,+,5.0,5 Ratings,"BBMP Apartment Bethel Nagar, Bangalore",,08460257423,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.153Z
Vidhagdha Catering Services And Bouquet Hall,+,4.2,355 Ratings,"Main Road Thirumalashettyhalli, Bangalore",,08511343150,Parking Available; Home Delivery,false,false,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.153Z
Sapthagiri Caterings,+,4.0,4 Ratings,"Muneshwara Layout Kadugodi, Bangalore",,,Home Delivery,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.153Z
Ruchir Catering And Tiffin Services,R,3.1,8 Ratings,"Main Road Whitefield, Bangalore",,,,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.153Z
Sculleryhouse And Catering Services,S,3.5,1 Ratings,"Nagondanahalli Whitefield, Bangalore",,,,true,false,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.153Z
Akshaya Catering,+,4.0,54 Ratings,"Immadihalli Whitefield, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.153Z
Darbar Chowk,+,4.4,"1,509 Ratings","Nagondanahalli Whitefield, Bangalore",,,Parking Available; Home Delivery,false,false,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.154Z
Swachh Ahaara,+,4.4,251 Ratings,"Karnataka 560049 Virgonagar, Bangalore",,,,false,false,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.154Z
Paprika Kitchens,+,4.0,3 Ratings,"SLV Sungrove Whitefield, Bangalore",,,Home Delivery,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.154Z
Wins Restaurant,+,4.7,9 Ratings,"Farm Road Whitefield Main Road, Bangalore",,,,true,false,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.154Z
Nammura Thindi,N,3.5,2 Ratings,"Patel Layout Cheemasandra, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.154Z
Svadistha Bhojana,+,4.0,38 Ratings,"No.3 Virgonagar, Bangalore",,,,false,false,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.154Z
The Restaurant @Whitefield,+,4.2,531 Ratings,"Behind Reliance S Whitefield, Bangalore",,09725455858,,false,false,false,true,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.154Z
The Hub,+,3.4,55 Ratings,"ECC Road Whitefield, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.154Z
RR CATERING,R,5.0,23 Ratings,"EPIP Whitefield, Bangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.154Z
Pakashastra Hospitality Services,P,4.5,1 Ratings,"I Main Road Whitefield, Bangalore",,,Home Delivery,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.154Z
Annapoorani Mami Foods,A,4.5,7 Ratings,"Aavalahalli, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.154Z
SRI LAKSHMI VENKATESWARA CATERING SERVICE,S,4.0,1 Ratings,Bangalore,,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.154Z
Jyothi Catering (Andhra Style),+,5.0,123 Ratings,"Sai Serinity Layout Medahalli, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.154Z
Imperio Restaurant,+,3.9,"13,266 Ratings","Hagadur Main Road Whitefield, Bangalore",,,,false,false,false,true,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.154Z
Mandarin Ming,+,5.0,3 Ratings,"Nallurhalli Whitefield Varthur, Bangalore",,08511899025,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.155Z
RVM Caterings,R,5.0,1 Ratings,"Seegehalli Bethel Nagar, Bangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.155Z
Krutajnya Caters,K,2.5,1 Ratings,"ASHWINI LAYOUT Virgonagar, Bangalore",,,Non Veg Caterers Upto 500 Persons; Caterers,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.155Z
The Andhra Bhojanam Caterers,T,3.9,60 Ratings,"Whitefield Road Whitefield, Bangalore",,09845235679,Home Delivery,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.155Z
The Diner,+,4.2,"3,377 Ratings","Agrahara Road Whitefield, Bangalore",,,,false,false,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.155Z
Food Masters Catering Services,F,4.3,4 Ratings,"Koralur Colony Road Whitefield, Bangalore",,,Cooks; Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.155Z
Marigold Hibiscus Outdoor Catering,+,4.0,3 Ratings,"Nallurhalli Circle Whitefield, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.155Z
Food Plant Catering Services,F,3.5,2 Ratings,"Chikkathirupathi Road Hoskote, Bangalore",,,Caterers For Office Upto 150 Persons; Caterers,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.155Z
Brundhavan Caterers,+,4.1,56 Ratings,"Layout Bidrahalli Bidrahalli, Bangalore",,,Home Delivery,true,true,false,true,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.155Z
Santo Kewl,S,4.9,23 Ratings,"Kodigehalli Krishnarajapuram, Bangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.155Z
Rasoi Catering,+,5.0,1 Ratings,"Nallurahalli Whitefield, Bangalore",,,Caterers; Caterers Upto 50 Persons,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.155Z
Kailash Parbat (Inorbit Mall),K,3.1,58 Ratings,"Industrial Area Whitefield, Bangalore",,,,true,true,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.155Z
Hotel Manu Residency,+,3.9,"2,566 Ratings","Kadugodi Whitefield, Bangalore",,,,false,false,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.155Z
Sri Sairam Tent House,+,4.4,22 Ratings,"Maralubagilu Road Devanahalli, Bangalore",,07041090870,Caterers; Tent House,true,true,false,true,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.155Z
Huckleberry,H,4.7,6 Ratings,"Ramagondanahalli Whitefield, Bangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.155Z
Tag Kitchen & Bar,+,4.4,79 Ratings,"Nh 44 Devanahalli, Bangalore",,08401075698,,false,false,false,false,true,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.156Z
Mayuri Multicuisine Family Restaurant,+,3.7,"2,247 Ratings","Main Road Krishnarajapuram, Bangalore",,,,false,false,false,false,false,Caterers,Popular South Indian Caterers,Kolar,2025-06-03T16:51:34.156Z
