name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Isha Events,<,4.9,50 Ratings,"Road Maruthi Extension Malur, Kolar",,08792861893,Videography; Home Services Offered,true,true,false,true,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.289Z
C M S Events,<,5.0,9 Ratings,"NH75 Chadamanahalli Kolar HO, Kolar",,08460400427,Videography,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.290Z
BG EVENT MANGEMENT,<,4.8,100 Ratings,"Pallavi Nailya Kolar Fort, Kolar",,09725855337,Corporate; On Site Services; DJ,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.290Z
Hotel Harianand,<,5.0,3 Ratings,"Hotel Harianand Ajjapanahalli, Kolar",,08123898436,,true,true,false,true,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.290Z
Events to Be Memorable,<,5.0,14 Ratings,"Karalahalli Shanthi Nagar, Kolar",,08460204681,Banquet Hall Decoration; Car Decoration; Balloon Arch,true,true,false,true,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.290Z
Al Khaf Catering,<,4.9,8 Ratings,"Kg Mohalla Kuvempunagar Kolar, Kolar",,07405636705,Caterers; Flower Decorators,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.290Z
Majisa Rnm Sweets and Caterers,<,5.0,2 Ratings,"2nd Cross Road Robertsonpet, Kolar",,09972933072,Caterers For Office; Caterers,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.290Z
M E Events,<,5.0,3 Ratings,"Road Wardnumber 7 Malur Malur, Kolar",,09980801393,Banquet Hall Decoration; Car Decoration,true,true,false,true,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.290Z
Gns Cooking Contractor,<,3.5,2 Ratings,"N Subramani Main Road Mulbagal, Kolar",,09054598472,Caterers For Events; Caterers,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.290Z
Sree Durga Parameshwari Catering Service,<,4.5,15 Ratings,"Main Road Hanumantha Nagar, Bangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.290Z
Sri Gulab Caterers & Events,+,4.8,43 Ratings,"Androon Quilla, Raichur",,,,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.291Z
Sri Maa Asapura Caterers,+,4.8,18 Ratings,"Gunj Road M G Road Raichur, Raichur",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.291Z
Sr Events,+,4.4,18 Ratings,"Puduru Palakollu, West Godavari",,08460403938,Event Organisers; Caterers,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.291Z
Enzoey.com,+,4.5,133 Ratings,Mumbai,,08488949380,,true,true,false,true,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.291Z
Sab Hospitality Services,+,4.8,139 Ratings,"5 Viram Khand Gomti Nagar, Lucknow",,08460247319,Caterers For Hospital; Caterers For Wedding,true,true,false,true,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.291Z
Ebk Event Management Pvt Ltd,+,4.6,53 Ratings,"Extension 2 Nangloi Extension, Delhi",,08511787702,,true,true,false,true,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.291Z
Sri Sai Bhavan Pure Veg,+,3.7,775 Ratings,"Kolar Ho, Kolar",,,,false,false,false,true,false,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.291Z
Kgn Caterers,+,4.6,33 Ratings,"Kolar Road Bangarapet, Kolar",,,Caterers; Caterers For Parties,true,true,false,false,false,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.291Z
Dratha Creations Pvt Ltd,+,4.7,"2,052 Ratings","Revitters Block Marikuppam, Kolar",,,Videography,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.291Z
Mezban Foods,+,3.5,351 Ratings,"Opp Woodys Hotel Tamaka Kolar, Kolar",,,,true,false,false,false,false,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.291Z
Hotel Sri Sampoorna,+,3.9,541 Ratings,"No.2 Doddapet Kolar, Kolar",,,,true,true,false,false,false,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.291Z
Al Naaz Caterers,A,4.9,83 Ratings,"Mini Ibrahim Road Robertsonpet, Kolar",,,Caterers; Caterers For Parties,true,true,false,false,true,Caterers,Popular Caterers For Wedding,Kolar,2025-06-03T16:53:49.291Z
