name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sri Manjunatha Traders,<,4.3,8 Ratings,"Kataripalya Main Road Kolar Fort, Kolar",,08460534726,Water Purifier Dealers; Electricians,true,true,false,true,true,Electricians,,Kolar,2025-06-03T17:03:58.608Z
Shree Sakshi Electricals and Industrial Solutions,<,4.8,7 Ratings,"RF ROAD MALUR Malur, Kolar",,08792509197,Electricians; Panel Board Manufacturers,true,true,false,true,true,Electricians,,Kolar,2025-06-03T17:03:58.608Z
Bm Refrigeration,<,3.5,13 Ratings,"Jamia Masjid Road Malur, Kolar",,09054849407,Washing Machine Repair & Services; Refrigerator Repair & Services,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.608Z
H S Interior and Kitchen,<,4.0,10 Ratings,"Anand Giri Circle Bangarapet, Kolar",,07383072790,,true,true,false,true,true,Electricians,,Kolar,2025-06-03T17:03:58.608Z
Tabassum Contractors - Syed Baba Jan,<,5.0,4 Ratings,"Shahinshanagar Kolar HO, Kolar",,,Electrical Contractors; Plumbers,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.608Z
Adithya Interiors,<,4.7,3 Ratings,"ADITYA INTERIORS Malur, Kolar",,09740110488,,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.609Z
SRI LAKSHMI RANGANATHA ENTERPRISES,<,5.0,2 Ratings,"Hoskote Road Malur, Kolar",,09724299826,Residential,true,true,false,true,true,Electricians,,Kolar,2025-06-03T17:03:58.609Z
Bring The Light,<,4.5,3 Ratings,"Corner Kolar Gold Fields Kolar, Kolar",,,Electricians; Carpenters,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.609Z
Sukruth Enterprises,<,4.0,5 Ratings,"Karanjikatte Kolar Fort, Kolar",,,Electricians; CCTV Dealers,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.609Z
SV Enterprises,<,5.0,4 Ratings,"Malur, Kolar",,,Building,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.609Z
Arhaan Plumbing and Electrician Work,+,4.8,6 Ratings,"Dargah Mohalla Mulbagal Mulbagal, Kolar",,,,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.609Z
Amjad Pasha Electricals,A,5.0,3 Ratings,"Makka Masjid Road Mulbagal, Kolar",,,Plumbers; Electricians,false,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.609Z
SRS Electrical and Power Solution,S,4.0,10 Ratings,"Road Vemgal Village Kolar HO, Kolar",,,Water Purifier Dealers; Refrigerator Repair & Services,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.609Z
Umesh Electrian,+,5.0,1 Ratings,"Cotton Pet Mg Road Kolar, Kolar",,,Electricians,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.609Z
Sk Electrical & Plumbing,+,5.0,1 Ratings,"Gattu Kamadenahalli Robertsonpet, Kolar",,,,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.609Z
SBV Painting Contractors,S,5.0,2 Ratings,"Kurubarapete Chatrakodihalli, Kolar",,,Electricians; Painting Contractors,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.609Z
MBS Aluminium Material And Hardware,+,3.9,4 Ratings,"Main Road MG Road Kolar, Kolar",,,Aluminium Sliding Door Dealers; Bathroom Door Dealers,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.609Z
Amar electrician,+,4.3,15 Ratings,"2nd Cross Jayanagara, Kolar",,,Electricians; Electrical Contractors,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.610Z
Amar Electrician,+,4.3,15 Ratings,"Kolar Malur Road Kalavanchi, Kolar",,,Electricians; Electrical Installation Services,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.610Z
Manju Electrical Works,M,3.9,13 Ratings,"Jeedarahalli Hirekattigenahalli, Kolar",,,Electricians; Electrical Shops,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.610Z
Sln Electricals,S,3.7,9 Ratings,"Yaluvahalli, Nandi Hill",,,Electricians; Electrical Consultants,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.610Z
Srinivasa Auto Electrician Exide Battery Distubuter,S,4.0,6 Ratings,"Main Road Bangarapet, Kolar",,,Electricians; Battery Wholesalers,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.610Z
Ramdev Hardware And Electrical,R,4.4,5 Ratings,"Hasandahalli Road Malur, Kolar",,,Hardware Shops; Plumbers,false,true,false,true,true,Electricians,,Kolar,2025-06-03T17:03:58.610Z
Templetech Broadband Service,+,5.0,3 Ratings,"HALLI Main Road Beml Nagar, Kolar",,,Wifi Internet,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.610Z
Deepa electricals malur,+,5.0,3 Ratings,"Station Indiranagar Malur, Kolar",,,Electricians; Labour Contractors,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.610Z
Esha Electricals,E,4.8,3 Ratings,"Reddy Complex Bangarapet, Kolar",,,Company Authorised Dealer,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.610Z
Total Power Traders,+,4.8,3 Ratings,"Thadigol Village Srinivaspur, Kolar",,,24 Hours Open,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.610Z
Irfan Electrician,I,4.3,3 Ratings,"Housing Board Colony Jayanagara, Kolar",,,Electricians,false,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.610Z
New Friends Auto Electric Worker,N,3.0,3 Ratings,"Mulbagal, Kolar",,,Electricians,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.610Z
Manjunatha Electrics,M,4.5,2 Ratings,"Irabanahalii Malur, Kolar",,,Electricians; Electronic Goods Showrooms,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.610Z
S S Civil Engineering Contractor,+,4.0,2 Ratings,"Urgam Post Robertsonpet, Kolar",,,Residential,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.611Z
Pragathi Electrical,P,3.5,2 Ratings,"9th Main Kolar HO, Kolar",,,Plumbers; Electricians,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.611Z
Ajithkumar S,A,2.8,2 Ratings,"Muthagadhalli Shivarapatna, Kolar",,,Electricians; Electrical Contractors,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.611Z
MN traders,M,5.0,1 Ratings,"Road Mulbagal Mulbagal, Kolar",,,Plumbers; Electricians,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.611Z
MD Ghouse,M,5.0,1 Ratings,"Mulbagal, Kolar",,,Electricians,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.611Z
Avm electrical & plumbing work,A,5.0,1 Ratings,"R F Road Malur, Kolar",,,Plumbers; Electricians,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.611Z
Maruthi Electricals,M,5.0,1 Ratings,"Vivek Nagar, Kolar",,,Electricians; Electrical Shops,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.611Z
Indra Enterprises,+,5.0,1 Ratings,"Main Road Srinivaspur, Kolar",,,Electricians; Electrical Shops,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.611Z
Shree Electrical Industrial And Domestic Service,+,4.5,1 Ratings,"R F ROAD, Kolar",,,Electricians; Electrical Shops,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.611Z
VETRI Electricals,V,4.0,1 Ratings,"Old Danniel Road Robertsonpet, Kolar",,,24 Hours Open,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.611Z
Manju Enterprises,M,4.0,1 Ratings,"Rojahalli Cross Srinivaspur, Kolar",,,Electrical Appliance Repair & Services; Electricians,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.611Z
M Narayana Swamy,M,3.0,1 Ratings,"Masthenahalli, Kolar",,,Electricians,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.611Z
Golden Electricals,G,5.0,1 Ratings,"Main Road Nandagudi, Bangalore",,,24 Hours Open,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.611Z
Fabulous Enterprises Dandiganahalli,+,4.0,2 Ratings,"Vijayapura Town Chamrajpet, Bangalore",,,Electricians,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.611Z
H M S Auto Electrician Works,+,3.5,2 Ratings,Chintamani,,,Electricians; Electrical Contractors,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.611Z
Chennappa,C,4.5,2 Ratings,"Devanahalli Taluk, Bangalore",,,Electricians,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.611Z
Gr Electricals,+,5.0,3 Ratings,"Upparahalli Hoskote, Bangalore",,,Electricians; Plumbers,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.611Z
Shree Vinayak Electricals,S,4.8,2 Ratings,"Hoomandi Circle Hoskote, Bangalore",,,Electricians; Electricians For Residence,false,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.611Z
G P Electronics & Electricals,G,4.5,2 Ratings,"J M road Hoskote, Bangalore",,,TV Dealers-LG; Electricians,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.612Z
Shree Manjunatha Electrical Works,+,5.0,2 Ratings,"Raja Arts Road Hoskote, Bangalore",,,Electricians; Electrical Contractors,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.612Z
Bhagyalakshmi Traders,+,3.5,2 Ratings,"Kuppam Main Road Rallabudugur, Chittoor",,08460411126,Electricians; Cable Wire Dealers,true,true,false,false,false,Electricians,,Kolar,2025-06-03T17:03:58.612Z
Vinayaka Electrical,+,4.7,4 Ratings,"College Road Hoskote, Bangalore",,,Electricians; Electrical Goods Dealers,true,true,false,false,true,Electricians,,Kolar,2025-06-03T17:03:58.612Z
