name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Mathru Hospital &Maternity,<,3.8,50 Ratings,"Hospital Circle Kolar, Kolar",,07383635846,,true,true,false,true,true,Best Hospitals,,Kolar,2025-06-03T17:15:04.851Z
Vamshodaya Advanced Multispeciality Hospital,<,4.3,977 Ratings,"Main Road Kuvempunagar Kolar, Kolar",,08485982348,,true,false,false,true,true,Best Hospitals,,Kolar,2025-06-03T17:15:04.851Z
SHREE SAI HOSPITAL,<,4.6,128 Ratings,"SHREE SAI HOSPITAL Kolar Fort, Kolar",,08147955846,,true,true,false,true,true,Best Hospitals,,Kolar,2025-06-03T17:15:04.851Z
Md Clinic And Dental Care (Skin And Hair Clinic),<,4.9,62 Ratings,"Orgumpet Road Robertsonpet, Kolar",,08460445480,,true,true,false,true,true,Best Hospitals,,Kolar,2025-06-03T17:15:04.852Z
Hope Hospital,<,4.3,115 Ratings,"Hope Hospital Kurubarpet, Kolar",,07411556481,,true,true,false,true,true,Best Hospitals,,Kolar,2025-06-03T17:15:04.853Z
CS Clinic,<,4.6,44 Ratings,"Bangarpet Road Kolar Fort, Kolar",,,,true,true,false,false,true,Best Hospitals,,Kolar,2025-06-03T17:15:04.853Z
Meenakshi Diagnostic and Specialty Clinic Malur,<,4.9,569 Ratings,"Nehru Extension Malur, Kolar",,08123192736,,true,true,false,true,true,Best Hospitals,,Kolar,2025-06-03T17:15:04.854Z
SRI ANAND HOSPITAL,<,4.2,44 Ratings,"Narasapura Kolar, Kolar",,09980255994,,true,true,false,false,true,Best Hospitals,,Kolar,2025-06-03T17:15:04.855Z
Veda Hospital,<,3.7,46 Ratings,"Main Road Katari Palya, Kolar",,06366432267,,true,false,false,false,true,Best Hospitals,,Kolar,2025-06-03T17:15:04.855Z
Bethel Medical Mission Hospital & Hosmat Hospital Education Group,<,4.1,158 Ratings,"Preety Nagar Laggere, Bangalore",,07048209067,,true,true,false,false,true,Best Hospitals,,Kolar,2025-06-03T17:15:04.855Z
Shri Tulasigirish Diabetes Hospital & Diabetes Research Foundation,+,4.2,34 Ratings,"Mahaveer Road Bagalkot, Bagalkot",,,,true,true,false,false,true,Best Hospitals,,Kolar,2025-06-03T17:15:04.856Z
Global Health Tourism,G,4.6,38 Ratings,"Lane No 5 Vishwakarma Nagar, Nagpur",,09980635869,,true,true,false,false,true,Best Hospitals,,Kolar,2025-06-03T17:15:04.856Z
Pragati Medcity and Stem Cell Centre,+,4.8,30 Ratings,"Ajay Singh Marg Rohit Nagar, Bhopal",,09035344697,,true,false,false,true,true,Best Hospitals,,Kolar,2025-06-03T17:15:04.856Z
Nephron Kidney Kare Clinic,+,3.9,119 Ratings,"Bariatu Road Bariatu, Ranchi",,,,true,false,false,false,false,Best Hospitals,,Kolar,2025-06-03T17:15:04.856Z
Nangal Cancer Hospital & Research Institute,+,4.7,635 Ratings,"College Road Bikaner Agra Road, Bikaner",,,,true,true,false,true,true,Best Hospitals,,Kolar,2025-06-03T17:15:04.856Z
