name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Part Time Cook North Indian South Indian & Chinese Food,<,4.8,13 Ratings,"Kannamangala Rd Seegehalli Thopu, Bangalore",,,Cooks; South Indian Food Cooks,true,false,false,false,true,House keeping Services,Culinary Experts at Your Service: Cooks on Rent,Kolar,2025-06-03T17:16:50.793Z
Braja bhai,<,5.0,1 Ratings,"Whitfield Kadugodi, Bangalore",,,Cooks,true,false,false,false,true,House keeping Services,Culinary Experts at Your Service: Cooks on Rent,Kolar,2025-06-03T17:16:50.794Z
Dinesh Cook Services,<,3.6,6 Ratings,"1st Cross Whitefield, Bangalore",,,Cooks; Non Veg Food Cooks,true,false,false,false,false,House keeping Services,Culinary Experts at Your Service: Cooks on Rent,Kolar,2025-06-03T17:16:50.794Z
Cook Shiv Shankar,<,3.3,3 Ratings,"Itpl  Road Whitefield, Bangalore",,,Cooks; Non Veg Food Cooks,true,false,false,false,false,House keeping Services,Culinary Experts at Your Service: Cooks on Rent,Kolar,2025-06-03T17:16:50.794Z
Sri Venkateswara Bhagyalakshmi Tent House,<,4.1,7 Ratings,"Immadihalli Main Road Whitefield, Bangalore",,,Tents On Rent; Cooks,true,false,false,false,true,House keeping Services,Culinary Experts at Your Service: Cooks on Rent,Kolar,2025-06-03T17:16:50.794Z
Ke Group,<,3.8,192 Ratings,"Layout Whitefield Main Road, Bangalore",,09008542396,Housemaid,true,false,false,true,true,House keeping Services,Culinary Experts at Your Service: Cooks on Rent,Kolar,2025-06-03T17:16:50.794Z
Professional Cook - Bhimsen,<,4.0,1 Ratings,"Whitefield Main Road, Bangalore",,,Cooks,true,false,false,false,false,House keeping Services,Culinary Experts at Your Service: Cooks on Rent,Kolar,2025-06-03T17:16:50.794Z
Shankar Singh North Indian Cook,<,5.0,10 Ratings,"Road  Channasandra Whitefield, Bangalore",,,Cooks; South Indian Food Cooks,true,false,false,false,true,House keeping Services,Culinary Experts at Your Service: Cooks on Rent,Kolar,2025-06-03T17:16:50.794Z
Cook For Hire,<,5.0,1 Ratings,"Indian South Indian Whitefield, Bangalore",,,Cooks,true,false,false,false,true,House keeping Services,Culinary Experts at Your Service: Cooks on Rent,Kolar,2025-06-03T17:16:50.795Z
Mithlesh Paswan,<,2.5,2 Ratings,"Chansandra Main Road-Whitefield, Bangalore",,,Cooks; South Indian Food Cooks,true,false,false,false,false,House keeping Services,Culinary Experts at Your Service: Cooks on Rent,Kolar,2025-06-03T17:16:50.795Z
