name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Bm Halli Homes,<,4.4,5 Ratings,Kolar,,,Placement Services For Maids (For Employers),true,false,false,false,true,House keeping Services,Popular Placement Services For Maids For Employers,Kolar,2025-06-03T17:18:01.996Z
Sandeep Sk,<,3.0,3 Ratings,Kolar,,,Placement Services For Maids (For Employers),true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Kolar,2025-06-03T17:18:01.997Z
Venus Placements,<,3.7,200 Ratings,Udupi,,,Interview Room; Offline Aptitude Tests; Online Aptitude Tests,true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Kolar,2025-06-03T17:18:01.997Z
Standard Group,<,4.0,218 Ratings,Mangalore,,,Overseas Placement,true,false,false,false,true,House keeping Services,Popular Placement Services For Maids For Employers,Kolar,2025-06-03T17:18:01.997Z
Yes House Maid Service,<,3.7,203 Ratings,Pune,,07411586640,Placement Services For Maids (For Employers); Placement Services (For Employers),true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Kolar,2025-06-03T17:18:01.997Z
Balaji Manpower Consultancy Services,<,3.6,193 Ratings,Thane,,08123860225,Placement Services For Babysitter (Candidate); Placement Services For Driver (Candidate),true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Kolar,2025-06-03T17:18:01.997Z
Domestic Help India,<,3.4,27 Ratings,Thane,,07204989457,Placement Services For Maids (For Employers); Placement Services For Cook (For Employers),true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Kolar,2025-06-03T17:18:01.997Z
Great Corporate Solutions,<,3.8,12 Ratings,Mumbai,,08401151953,Overseas Placement,true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Kolar,2025-06-03T17:18:01.997Z
Vinayak Placement,<,3.4,52 Ratings,Jamshedpur,,08511498177,Placement Services For Hospital Staff (Candidate); Placement Services For Security Staff (Candidate),true,false,false,false,false,House keeping Services,Popular Placement Services For Maids For Employers,Kolar,2025-06-03T17:18:01.998Z
Rapid Manpower Services,<,3.8,280 Ratings,Jamshedpur,,09980756770,Placement Services (Candidate); Placement Services For Driver (Candidate),true,false,false,true,true,House keeping Services,Popular Placement Services For Maids For Employers,Kolar,2025-06-03T17:18:01.998Z
R K Placement Services,R,4.0,158 Ratings,Kanpur,,08734976048,Part Time Placement,true,false,false,false,true,House keeping Services,Popular Placement Services For Maids For Employers,Kolar,2025-06-03T17:18:01.998Z
