name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
3d Architects,<,4.8,6 Ratings,"Kolaramma Temple Road Kolar Fort, Kolar",,09980131894,,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.549Z
Cns Build Tech,<,5.0,41 Ratings,"Kolar Main Road Bangarapet, Kolar",,08735070393,Building,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.549Z
FUTURE LAND,<,3.5,2 Ratings,"Main Road Kanakanapalya, Kolar",,08460282338,Column Marking,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.549Z
Sri Sai Civil Contractors,<,5.0,5 Ratings,"Picher Road Robertsonpet, Kolar",,09980871886,Textured Wall Painting; Residential,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.549Z
Sm Constructions,<,4.5,2 Ratings,"Apmc Tomato Market Kolar HO, Kolar",,08460274638,,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.550Z
Bluebell Construction,<,4.7,6 Ratings,"TalkiesRoad Kolar Kolar Fort, Kolar",,09845448079,Textured Wall Painting; 3D Painting; 24 Hours Open,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.550Z
SV GOLDEN INTERO,<,5.0,4 Ratings,"2nd Floor Palasandram Layout, Kolar",,08971378845,Building; Industrial; Modular False Ceiling,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.550Z
Kad Construction,<,4.4,8 Ratings,"Doomlight Circle Kolar HO, Kolar",,08904959735,Building,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.550Z
Dharini Constructions,<,4.7,3 Ratings,"Adarsha Nagar Malur, Kolar",,08511664362,3D Painting; Textured Wall Painting,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.550Z
Tabassum Contractors - Syed Baba Jan,<,5.0,4 Ratings,"Shahinshanagar Kolar HO, Kolar",,,Electrical Contractors; Plumbers,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.550Z
Sri Guru Raghavendra Architect and Designs,S,4.0,3 Ratings,"Binny Layout Vijayanagar, Bangalore",,08511420672,Building,true,true,false,true,false,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.550Z
Checkmate Cubes,C,4.8,8 Ratings,"7th Cross Malleswaram, Bangalore",,08460529491,Civil Engineering Consultants; Architects,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.550Z
Enif Designs,+,4.5,65 Ratings,"Bluecross Chambers Infantry Road, Bangalore",,08511266914,Architects; Civil Contractors,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.550Z
Concept Interior Architects,+,4.6,19 Ratings,"2nd Cross Csi Layout, Tumkur",,,Architects; Civil Contractors,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.550Z
Chinitic Industries,+,5.0,2 Ratings,"Idikarai Main Road Idigarai, Coimbatore",,08460308699,Building; Industrial,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.551Z
Take Shape Interiors & Design Studio,+,4.5,28 Ratings,"Amman Nagar Sivathapuram, Salem",,07383601908,False Ceiling Contractors; Interior Designers,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.551Z
Advaith Design Studio,A,3.5,2 Ratings,"Main 2nd Cross Ramakrishnanagar, Mysore",,09724677932,Building,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.551Z
Shree ShivaNandi Constructions & Interiors,+,5.0,8 Ratings,"Bhadavane Davalagiri Badavane, Chitradurga",,07043941132,Building,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.551Z
Usk Constructions,+,3.9,55 Ratings,"Banashankari Badavane Biet, Davangere",,,Residential; Building,true,true,false,true,false,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.551Z
Krupa Builders & Infra Develpers PVT LTD,+,4.7,109 Ratings,"Nagar Sharavathi Nagar, Shimoga",,,Industrial; Residential,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.551Z
Design Ethics,+,4.9,159 Ratings,"BM Road Kushalnagar, Coorg",,,Industrial; Building; Online Appointments,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.551Z
Srhin Industry Private Limited,+,4.7,23 Ratings,"Nanthavanapatty Ns Nagar, Dindigul",,08460474960,Residential; Building,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Kolar,2025-06-03T17:25:17.551Z
