name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Elohe Coaching Pvt Ltd,<,4.0,2 Ratings,"HP Unit Main Gate Bangarapet, Kolar",,,Computer Training Institutes; Educational Institutions,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.413Z
NCFT Heights Institute,<,4.5,121 Ratings,"Trivandaram Road Palayamkottai, Tirunelveli",,,Computer Hardware Training Institutes; Computer Training Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.413Z
Kj's Trinity Colleges,<,4.0,"1,376 Ratings","Kondhwa Saswad Road Yewalewadi, Pune",,,,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.414Z
Vastukar Architect and Project Consultant,<,4.4,187 Ratings,"Nageswar Tangi Bhubaneswar, Bhubaneshwar",,,Industrial; Building,true,true,false,true,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.414Z
Aks University (Satna M.p),<,4.0,"1,851 Ratings","Panna Road Sherganj, Satna",,,Colleges; ITI Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.414Z
Augmintech Education Pvt Ltd,<,3.0,2 Ratings,"Main Road 17 Mango, Jamshedpur",,09054859277,Institutes For Hvac Engineering; 3Ds Max Training Institutes,true,true,false,false,false,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.414Z
Maa Bhagwati Institute,<,4.0,910 Ratings,"Ratanada, Jodhpur",,,Computer Hardware Training Institutes; Colleges,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.414Z
Mediversity Education Council,<,4.6,16 Ratings,"Main City Delhi Delhi Cantt, Delhi",,08460303856,Accept Donations; Pay Ahead; CCTV Surveillance,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.415Z
Times & Trends Academy,<,5.0,6 Ratings,"EPIP Zone Whitefield, Bangalore",,,Management Institutes; Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.415Z
HCD DREAM Interior Solutions,<,4.8,82 Ratings,"ITPL Main Road Mahadevapura, Bangalore",,,Interior Designers For Bungalow; Interior Designers,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.415Z
Dream Zone,+,4.4,52 Ratings,"Budigere Road Devanahalli, Bangalore",,,Fashion Designing Institutes For Women; Colleges,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.415Z
Eduleem Design College,+,5.0,73 Ratings,"Marathahalli Road Ittangur, Bangalore",,,Training Centres; CAD Training Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.415Z
Gopalan School Of Architecture And Planning,+,4.4,333 Ratings,"Hoodi Village Hoodi, Bangalore",,,Interior Designing Institutes; Architectural Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.415Z
CADD Centre,+,4.7,398 Ratings,"Old Madras Road Krishnarajapuram, Bangalore",,08734938442,Computer Training Institutes; SAP Training Institutes,true,true,false,true,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.415Z
Diamond College Of Management and Science,+,4.1,197 Ratings,"T C Palya Krishnarajapuram, Bangalore",,09980125089,Institutes; Colleges,true,true,false,true,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.415Z
Dream Zone,+,4.3,86 Ratings,"Varthur Main Road Marathahalli, Bangalore",,,Colleges; Computer Training Institutes,true,true,false,true,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.415Z
Educadd,+,4.7,159 Ratings,"Road Krishnarajapuram, Bangalore",,09980834791,Computer Software Training Institutes; Computer Training Institutes,true,true,false,true,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.415Z
Educadd,+,4.5,434 Ratings,"Outer Ring Road Marathahalli, Bangalore",,09980031140,CAD Training Institutes; Computer Training Institutes,true,true,false,true,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.416Z
Mindx Solutions,+,4.8,175 Ratings,"Karnasree Point Marathahalli, Bangalore",,,AUTOCAD Training Institutes; Computer Training Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.416Z
Scon Institutes,+,4.8,39 Ratings,"Marathahalli, Bangalore",,,Computer Software Training Institutes; Java Training Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.416Z
Idea Worldwide,I,4.9,25 Ratings,"Aecs Layout Road Marathahalli, Bangalore",,,Interior Designing Institutes; Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.416Z
Times & Trends Academy,T,4.5,4 Ratings,"Benniganahalli Old Madras Road, Bangalore",,,Management Institutes; Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.416Z
Adharshila Associate,+,4.6,37 Ratings,"Main Road Kadubeesanahalli, Bangalore",,,Building,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.416Z
Dream Zone,+,4.1,112 Ratings,"Bank Colony Extension Banaswadi, Bangalore",,,Fashion Designing Institutes; Tailoring Classes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.416Z
Bangalore School Of Design,+,4.5,190 Ratings,"Kothanur, Bangalore",,,,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.416Z
Edu CADD,+,4.6,193 Ratings,"Hosur Ho, Hosur",,,Computer Training Institutes For 3D Studio Max; Computer Training Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.416Z
CADD Centre,+,4.3,350 Ratings,"Nagar Signal Banaswadi, Bangalore",,09980101006,CAD Training Institutes; Computer Training Institutes,true,true,false,true,true,Interior Designers,Popular Interior Designing Institutes,Kolar,2025-06-03T17:31:08.416Z
