name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sky Rise Construction,<,4.9,19 Ratings,"S A K Layout Malur, Kolar",,09054213957,Builders; Interior Designers,true,true,false,true,true,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.419Z
Cns Build Tech,<,5.0,41 Ratings,"Kolar Main Road Bangarapet, Kolar",,08735070393,Building,true,true,false,false,true,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.419Z
FUTURE LAND,<,3.5,2 Ratings,"Main Road Kanakanapalya, Kolar",,08460282338,Column Marking,true,true,false,false,true,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.419Z
SV GOLDEN INTERO,<,5.0,4 Ratings,"2nd Floor Palasandram Layout, Kolar",,08971378845,Building; Industrial; Modular False Ceiling,true,true,false,true,true,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.419Z
Shiva Glass and Plywood,<,5.0,5 Ratings,"Budikote Main Road Bangarapet, Kolar",,08867887291,Plywood Door Dealers; Wooden Door,true,true,false,true,true,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.419Z
Sharan Kumar Building Contractor,<,4.8,2 Ratings,"Chowdeshwari Nagar Kolar HO, Kolar",,07041578034,Painting Contractors; Interior Designers,true,true,false,true,true,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.419Z
Dharini Constructions,<,4.7,3 Ratings,"Adarsha Nagar Malur, Kolar",,08511664362,3D Painting; Textured Wall Painting,true,true,false,true,true,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.419Z
3d Architects,<,4.8,6 Ratings,"Kolaramma Temple Road Kolar Fort, Kolar",,09980131894,,true,true,false,true,true,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.420Z
Sri Manjunatha Pop,<,3.3,3 Ratings,"Santhe Maidhana Kolar HO, Kolar",,,False Ceiling Contractors; Interior Designers,true,true,false,false,false,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.420Z
Adithya Interiors,<,4.7,3 Ratings,"ADITYA INTERIORS Malur, Kolar",,09740110488,,true,true,false,false,true,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.420Z
Tabassum Contractors - Syed Baba Jan,T,5.0,4 Ratings,"Shahinshanagar Kolar HO, Kolar",,,Electrical Contractors; Plumbers,true,true,false,false,true,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.420Z
Sm Constructions,S,4.5,2 Ratings,"Apmc Tomato Market Kolar HO, Kolar",,08460274638,,true,true,false,false,true,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.420Z
H S Interior and Kitchen,+,4.0,10 Ratings,"Anand Giri Circle Bangarapet, Kolar",,07383072790,,true,true,false,true,true,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.420Z
City Construction & Real Estate,+,5.0,12 Ratings,"Main Road Kolar Fort, Kolar",,09008327963,Residential; Battery Scrap,true,true,false,true,true,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.420Z
Sri Venkateswara Plaster & Interiors,+,4.2,9 Ratings,"V Kota Road Mulbagal, Kolar",,07041574763,3D Painting,true,true,false,true,true,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.420Z
Bluebell Construction,+,4.7,6 Ratings,"TalkiesRoad Kolar Kolar Fort, Kolar",,09845448079,Textured Wall Painting; 3D Painting; 24 Hours Open,true,true,false,false,true,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.420Z
Sri Sai Civil Contractors,+,5.0,5 Ratings,"Picher Road Robertsonpet, Kolar",,09980871886,Textured Wall Painting; Residential,true,true,false,false,true,Interior Designers,Popular Interior Designers,Kolar,2025-06-03T17:32:16.420Z
