name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
3d Architects,<,4.8,6 Ratings,"Kolaramma Temple Road Kolar Fort, Kolar",,09980131894,,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.081Z
Sky Rise Construction,<,4.9,19 Ratings,"S A K Layout Malur, Kolar",,09054213957,Builders; Interior Designers,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.081Z
City Construction & Real Estate,<,5.0,12 Ratings,"Main Road Kolar Fort, Kolar",,09008327963,Residential; Battery Scrap,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.081Z
Cns Build Tech,<,5.0,41 Ratings,"Kolar Main Road Bangarapet, Kolar",,08735070393,Building,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.081Z
SV GOLDEN INTERO,<,5.0,4 Ratings,"2nd Floor Palasandram Layout, Kolar",,08971378845,Building; Industrial; Modular False Ceiling,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.081Z
Sri Sai Civil Contractors,<,5.0,5 Ratings,"Picher Road Robertsonpet, Kolar",,09980871886,Textured Wall Painting; Residential,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.081Z
Dharini Constructions,<,4.7,3 Ratings,"Adarsha Nagar Malur, Kolar",,08511664362,3D Painting; Textured Wall Painting,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.082Z
H S Interior and Kitchen,<,4.0,10 Ratings,"Anand Giri Circle Bangarapet, Kolar",,07383072790,,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.082Z
Shiva Glass and Plywood,<,5.0,5 Ratings,"Budikote Main Road Bangarapet, Kolar",,08867887291,Plywood Door Dealers; Wooden Door,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.082Z
Adithya Interiors,<,4.7,3 Ratings,"ADITYA INTERIORS Malur, Kolar",,09740110488,,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.082Z
Five Star Pop Shop,+,5.0,1 Ratings,"Five Star Pop Shop Kolar Fort, Kolar",,07383713183,Pop Contractors; PVC Marble Sheet Dealers,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.082Z
Sm Constructions,S,4.5,2 Ratings,"Apmc Tomato Market Kolar HO, Kolar",,08460274638,,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.082Z
Bluebell Construction,+,4.7,6 Ratings,"TalkiesRoad Kolar Kolar Fort, Kolar",,09845448079,Textured Wall Painting; 3D Painting; 24 Hours Open,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.082Z
Sri Venkateswara Plaster & Interiors,+,4.2,9 Ratings,"V Kota Road Mulbagal, Kolar",,07041574763,3D Painting,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.082Z
Ssi Furniture,+,3.5,20 Ratings,"Doddanna Industrial Estate-Hegganahalli, Bangalore",,,Furniture Manufacturers; Interior Designers,true,true,false,true,false,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.082Z
Goodline Interior,+,5.0,1 Ratings,"Main Road Ullal Upkar Layout, Bangalore",,08735891921,Modular Kitchen Dealers; Interior Designers,true,true,false,false,false,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.082Z
Kcreative Dizayn,K,4.1,5 Ratings,"22nd Cross Hsr Layout Sector 3, Bangalore",,,Interior Designers For Bungalow; Interior Designers,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.082Z
AIE Buildtec Ind,+,4.5,14 Ratings,"Ganesh Temple Road Kundalahalli, Bangalore",,,Acoustic Insulation; Interior Designers,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.082Z
Royal Wood Designz,+,4.8,9 Ratings,"Harur Main Road Valasaiyur, Salem",,08460485960,Upvc Door; Bathroom Door Dealers,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.082Z
Take Shape Interiors & Design Studio,+,4.5,28 Ratings,"Amman Nagar Sivathapuram, Salem",,07383601908,False Ceiling Contractors; Interior Designers,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.082Z
V B Viraaaj Builders And Developers,+,4.3,164 Ratings,"R F Road R F Road, Anantapur",,,Builders; Construction Companies,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.082Z
Advaith Design Studio,A,3.5,2 Ratings,"Main 2nd Cross Ramakrishnanagar, Mysore",,09724677932,Building,true,true,false,false,false,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.082Z
Shree ShivaNandi Constructions & Interiors,+,5.0,8 Ratings,"Bhadavane Davalagiri Badavane, Chitradurga",,07043941132,Building,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
HN Groups HN Homes Interiors Artful,+,4.6,30 Ratings,"Banglore Rural Thanniruhalla, Hassan",,09035031473,Upvc Door; 3D Painting,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
Sri Kanteshwara Interior Design Studio,+,3.5,2 Ratings,"Hassan City Market, Hassan",,09980240465,Interior Designers; Upvc Window Dealers,true,true,false,false,false,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
Vivek Associates - Swing (Unjal) Plank & Chain Accessories,+,4.8,963 Ratings,"Colony Korattur Chennai North, Chennai",,,Wooden furniture dealers; Wooden swing dealers,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
Krupa Builders & Infra Develpers PVT LTD,+,4.7,109 Ratings,"Nagar Sharavathi Nagar, Shimoga",,,Industrial; Residential,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
Design Ethics,+,4.9,159 Ratings,"BM Road Kushalnagar, Coorg",,,Industrial; Building; Online Appointments,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
Brick& Stone Architects& Interiors,+,4.8,29 Ratings,"Kk Junction Ponnani Ponnani, Malappuram",,09054648562,Building; Industrial,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
Swarna Interiors,+,5.0,23 Ratings,"Cotton Market New Cotton Market, Hubli",,08511398922,Interior Designers; Interior Decorators,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
Pragnya Design Studio,+,4.3,31 Ratings,"Pb Road Vidyanagar, Hubli",,,Industrial; Building,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
B Mahendra And Brothers,+,4.0,157 Ratings,"Fort Road Durgadbail, Hubli",,,Imported; Upvc Door; Same Day Delivery,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
Padmashali Aluminium Fabricators,+,4.7,10 Ratings,"Sagri Kunjibettu, Udupi",,,Door Fabricators; Interior Designers,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
Aieem Architects,A,3.8,5 Ratings,"Park Road Vidyanagar Hubli, Hubli",,,Architects For Bungalow; Interior Designers,true,true,false,false,false,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
Angel & Ana's Aluminium,+,4.6,12 Ratings,"Industrial Area Baikampady, Mangalore",,,Interior Designers For Apartment; Interior Designers,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
Mahamaya Industries,+,3.9,23 Ratings,"Venkatapura Road Shirali Bazar, Shirali",,,Wooden Door,true,true,false,true,false,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
Shivapur Constructions,+,4.4,34 Ratings,"Vidyanagar P B Road Haveri, Haveri",,,Residential,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
Planning Point ( Mangalore ),+,4.7,30 Ratings,"Gurunagara Konchady, Mangalore",,,Industrial; Building,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
Vola Art Escape,+,4.8,353 Ratings,"Alto Porvorim, Goa",,,3D Painting,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.083Z
Shankh Swapna Interiors,+,4.6,28 Ratings,"Kathe Galli, Nashik",,08460565997,,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.084Z
Vastukala Associates,+,4.0,2 Ratings,"Anjur Road Mankoli, Bhiwandi",,09980884003,Industrial; Building,true,true,false,false,false,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.084Z
Gauritra Arts,+,4.2,6 Ratings,"Naupada-thane West, Thane",,09724676546,Building,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.084Z
Maurya Shejav Architects,M,3.1,7 Ratings,"Sector 19 KAMOTHE SECTOR 19, Navi Mumbai",,07048117368,,true,true,false,false,false,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.084Z
Pentagram Design Studio,+,4.9,30 Ratings,"Warje, Pune",,09972242495,Industrial; Building,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.084Z
MAYFOAM PRIVATE LIMITED,+,4.4,108 Ratings,"JALNA AURANGABAD ROAD Modikhana, Jalna",,,Pu Foam Manufacturers; Furniture Dealers,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.084Z
Shree Decors,+,4.3,62 Ratings,"Gymkhana Road Dombivli East, Thane",,08511493514,Upvc Door; Bathroom Door Dealers; Apartment,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.084Z
Khare Desiging and Development,+,5.0,9 Ratings,"Omaxe City 1, Indore",,07048447411,Building,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.084Z
Vastukar Architect and Project Consultant,+,4.4,187 Ratings,"Nageswar Tangi Bhubaneswar, Bhubaneshwar",,,Industrial; Building,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.084Z
Tec Materials Testing Lab,+,4.6,121 Ratings,"Chakkargadh Road Chakkargadh, Amreli",,,Industrial; Building,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.084Z
Finesse Art By Rachana Dave,+,4.7,52 Ratings,"Rakhial, Ahmedabad",,07041795459,Bronze Statue Manufacturers; Interior Designers,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.084Z
Noor Tech and Feb Pvt Ltd,N,5.0,2 Ratings,"Hazira, Gwalior",,09035194056,Industrial; Building,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.084Z
Sai Nath Construction,+,5.0,11 Ratings,"Gandhi Road Thatipur, Gwalior",,08511026941,,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.084Z
Zns Design & Interior Studio,+,4.8,15 Ratings,"Shopping Centre Aerodrome Circle, Kota-Rajasthan",,08488092760,Building,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.085Z
Hindustan Projects,+,4.1,14 Ratings,"VIVEKANAD NAGAR Baba Dham, Bhilwara",,,Farm; Industrial Land Surveyors,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.085Z
City Clap,+,4.0,652 Ratings,"Main Road Namkum, Ranchi",,,,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.085Z
Space Planner,S,5.0,2 Ratings,"Gilan Para Dumka Bypass, Dumka",,07048617635,Industrial; Building,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.085Z
Wooden Gift & Furniture Company,+,4.5,55 Ratings,"Road Ultadanga Main Road, Kolkata",,09035229764,Gift Box Manufacturers; Interior Designers,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.085Z
OAU Objects Architecture Urbanism,O,5.0,20 Ratings,"Bani Park, Jaipur",,08460513254,Industrial; Building,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.085Z
Krestt Engineering Designs,+,4.0,150 Ratings,"Paota B Road Paota, Jodhpur",,,Industrial; Building,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.085Z
Siddharth Poly Foam Pvt. Ltd.,+,4.6,40 Ratings,"Area Sahibabad Industrial Area, Ghaziabad",,08105676057,Foam Dealers; Mattress Dealers,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.086Z
Berrisol and Illusion Decors,+,4.1,26 Ratings,"Okhla Phase 1 Okhla, Delhi",,08511751701,,true,true,false,true,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.086Z
SEAHAWK INFRA N DESIGNS PRIVATE LIMITED,+,5.0,11 Ratings,"Pitampura, Delhi",,08511618208,,true,true,false,false,true,Interior Designers,Residence Interior Designers,Kolar - Elevate Your Living Space,2025-06-03T17:26:24.086Z
