name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Chandrodaya Enterprises,<,3.9,23 Ratings,"Industrial Area Narasapura Kolar, Kolar",,,Overseas Placement,true,false,false,false,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Sunshine Manpower Solutions,<,4.9,"1,515 Ratings","Masjid Main Road Rahmath Nagar, Kolar",,,Placement Services (Candidate),true,false,false,false,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Heyviwes Hr Consultancy,<,4.6,608 Ratings,"Mirza Road Srinivaspur, Kolar",,,Staffing Solutions,true,false,false,false,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Cd Max Services,<,4.3,44 Ratings,"KGF Main Road Soregowdanakote, Kolar",,,Interview Room; Overseas Placement,true,false,false,true,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Master Jobs,<,4.3,24 Ratings,"Subhash Nagar, Kolar",,,Placement Services (Candidate),true,false,false,false,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Master Job,<,4.3,24 Ratings,"3rd Cross Robertsonpet, Kolar",,,Placement Services (Candidate); Placement Services (For Employers),true,false,false,false,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Gnm Consultancy,<,3.2,23 Ratings,"No.17 2nd Floor Mathushree, Kolar",,,Overseas Placement,true,false,false,false,false,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Universal Manpower Service,<,4.2,13 Ratings,"Bangarapet, Kolar",,,Overseas Placement,true,false,false,false,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Gokul Placement Services,<,4.6,11 Ratings,"Chikkaballpura District Chelur, Kolar",,,Placement Services (Candidate); Placement Services (For Employers),true,false,false,false,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
E Yuga Technologies,<,4.6,8 Ratings,"Kolar HO, Kolar",,,Placement Services (Candidate),true,false,false,false,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Ideal Groups,I,3.7,6 Ratings,"Bus Stand Road Kolar Ho, Kolar",,,Placement Services (Candidate); Placement Services For Call Centre (Candidate),true,false,false,false,false,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Abhigna Enterprises,A,4.0,5 Ratings,"Annayya Reddy Complex Lakkur, Kolar",,,Placement Services (Candidate); Placement Services (For Employers),false,false,false,false,false,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Aptech Computer Education,+,4.0,4 Ratings,"Road (Geetha Road) Robertsonpet, Kolar",,,Placement Services (Candidate); Computer Training Institutes,false,false,false,false,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Umms Company Pvt Ltd (head Office),U,4.0,2 Ratings,"Malurbangarapet Road, Kolar",,,Placement Services (Candidate),false,false,false,false,false,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Uniq Security Solution Pvt Ltd.,U,4.0,2 Ratings,"Industrial Road Achatnahalli, Kolar",,,Placement Services (Candidate),false,false,false,false,false,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Acb Enterprises,A,4.0,2 Ratings,"Narsapura Industrial Road, Kolar",,,Placement Services (Candidate),true,false,false,true,false,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
SSI Services,S,2.5,3 Ratings,"Stadium Road Srinivaspur, Kolar",,,Placement Services (Candidate); Placement Services For Part Time Job (Candidate),true,false,false,false,false,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Sri Sai Enterprises,S,5.0,1 Ratings,"Banglore Mulbagal, Kolar",,,Online Placement,true,false,false,false,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Boj Consultancy Services,B,4.5,1 Ratings,"Oorgaum, Kolar",,,Placement Services (Candidate); Placement Services (For Employers),true,false,false,false,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.212Z
Yanko Star Reallty Llp,Y,3.5,1 Ratings,"Cross Karanjikatte Road Kolar, Kolar",,,Placement Services (Candidate); Placement Services (For Employers),true,false,false,false,false,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.213Z
Msc Hr Solutions,M,3.8,4 Ratings,"Narasapura Kolar, Bangalore",,,Overseas Placement,true,false,false,false,false,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.213Z
Khans Consultancy,K,3.3,3 Ratings,"Chowdareddy Palya, Chintamani",,,Placement Services (Candidate),false,false,false,false,false,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.213Z
Ssms Enterprises,S,5.0,1 Ratings,"vagat cross Hoskote, Bangalore",,,Placement Services (Candidate); Placement Services For IT Industry (Candidate),true,false,false,false,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.213Z
D N Placements,D,5.0,1 Ratings,"Bagepalli Taluka Hoskote, Bangalore",,,Placement Services (Candidate); Placement Services For Security Staff (Candidate),true,false,false,false,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.213Z
Al-Manpower Supply Service,A,3.7,37 Ratings,"Gangamma Gudi Road Hoskote, Bangalore",,07383321172,Placement Services (Candidate); Placement Services For Driver (Candidate),true,false,false,false,false,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.213Z
Leeworld Facility Solutions,L,5.0,2 Ratings,"E Muthasandra, Bangalore",,,Placement Services (Candidate),true,false,false,false,false,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.213Z
ASB Global Management Services,A,5.0,3 Ratings,"Basaveshwara Nilaya Hoskote, Bangalore",,,Placement Services (Candidate); Placement Services For Driver (Candidate),true,false,false,false,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.213Z
Shri Dayananda Enterprise,S,3.2,3 Ratings,"Bangalore Rural Hoskote, Bangalore",,,Placement Services (Candidate); Placement Services For Driver (Candidate),true,false,false,false,false,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.213Z
Innovsource Services Pvt Ltd,I,3.9,25 Ratings,"Doddadunnasandra, Bangalore",,,Placement Services (Candidate),false,false,false,false,false,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.213Z
Allaudhin,A,4.7,7 Ratings,"MG Road Agrahara, Chintamani",,,Interview Room; Offline Aptitude Tests,false,false,false,false,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.213Z
Improvar Hr India Llp,I,4.9,9 Ratings,"Lakkondahalli Hand Post Hoskote, Bangalore",,,Overseas Placement,true,false,false,false,true,Placement Services Candidate,,Kolar,2025-06-03T17:45:44.213Z
