name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Mrn Printers Malur,<,3.5,2 Ratings,Kolar,,08511953647,Digital; Flex,true,false,false,false,true,Reliable Printing Services,,Kolar - Quality You Can Trust,2025-06-03T17:44:32.414Z
YUVA PRINT HOUSE,<,3.5,2 Ratings,Kolar,,08511665668,Digital; Flex,true,false,false,false,true,Reliable Printing Services,,Kolar - Quality You Can Trust,2025-06-03T17:44:32.414Z
My Photo Palace,<,5.0,4 Ratings,Kolar,,08460540165,,true,false,false,false,false,Reliable Printing Services,,Kolar - Quality You Can Trust,2025-06-03T17:44:32.414Z
Rahul Printers,<,5.0,4 Ratings,Kolar,,,Flex; Book,true,false,false,false,true,Reliable Printing Services,,Kolar - Quality You Can Trust,2025-06-03T17:44:32.415Z
Shangrila Entreprises,<,4.8,293 Ratings,Kolar,,,Same Day Delivery,true,false,false,false,true,Reliable Printing Services,,Kolar - Quality You Can Trust,2025-06-03T17:44:32.415Z
Akshatha Graphics & Printers,<,4.6,27 Ratings,Kolar,,,Printing Services; Printing Agents,true,false,false,false,false,Reliable Printing Services,,Kolar - Quality You Can Trust,2025-06-03T17:44:32.415Z
Sri Sai Digital Prints,<,4.2,27 Ratings,Kolar,,,Printing Services,true,false,false,false,false,Reliable Printing Services,,Kolar - Quality You Can Trust,2025-06-03T17:44:32.415Z
Sri Chowdeshwari Digital Seva Kendra,<,4.8,19 Ratings,Kolar,,,Same Day Delivery,true,false,false,false,false,Reliable Printing Services,,Kolar - Quality You Can Trust,2025-06-03T17:44:32.415Z
Sir Balaji Offset Printers,<,4.4,18 Ratings,Kolar,,,Printing Services,false,false,false,false,false,Reliable Printing Services,,Kolar - Quality You Can Trust,2025-06-03T17:44:32.415Z
Spandana Digital Prints,<,4.1,18 Ratings,Kolar,,,Flex,true,false,false,false,true,Reliable Printing Services,,Kolar - Quality You Can Trust,2025-06-03T17:44:32.415Z
Spandana Digital Prints,+,4.1,18 Ratings,Kolar,,,Printing Services,true,false,false,false,false,Reliable Printing Services,,Kolar - Quality You Can Trust,2025-06-03T17:44:32.415Z
