name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Exman A-1 Security Services,<,5.0,1 Ratings,"Kolar Fort, Kolar",,07411659880,Bodyguard; Lost Device Tracking; Bouncer Services,true,true,false,false,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.166Z
Maheshwari Enterprises,<,4.7,8 Ratings,"Matnahalli, Kolar",,,Security Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.166Z
Unity Guarding Services and Allide Services,<,4.1,7 Ratings,"4th Phase Yelahanka New Town, Bangalore",,08401799259,Bouncer Services; Armed Security Services,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.167Z
Disha Security and Allied Services,<,4.9,10 Ratings,"BSNL Office Road Anandapura, Bangalore",,07048811686,Armed Security Services; Bouncer Services,true,true,false,false,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.167Z
Kavipriya HR Solutions Pvt. Ltd.,<,4.0,46 Ratings,"5th A Cross Banaswadi, Bangalore",,08105161465,Bouncer Services; Armed Security Services,true,true,false,true,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.168Z
Sharp Intelligence Bureau,<,4.5,46 Ratings,"BG Road Bilekahalli, Bangalore",,09980224063,Bodyguard,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.169Z
United India Facilities Management Services,<,5.0,6 Ratings,"Kempapura Hebbal, Bangalore",,09980227164,Security Services; Housekeeping Services,true,true,false,false,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.169Z
Sharada Enterprises,<,5.0,7 Ratings,"Railway Station Doddaballapur, Bangalore",,09054827980,Lost Device Tracking; Bouncer Services; Armed Security Services,true,true,false,false,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.169Z
Rajdhani Detective Agencies,<,4.9,497 Ratings,"4th A Main Road Vijayanagar, Bangalore",,,Security Services For Guard; Security Services,true,true,false,false,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.169Z
Avengers Facility Services,<,4.8,207 Ratings,"Abdulla Khan Estate Gandhi Nagar, Kurnool",,08401332171,,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.170Z
Location One Facility Management Services Private Limited,L,4.2,30 Ratings,"Market Road Ernakulam Bazar, Ernakulam",,07383061424,Bodyguard; Bouncer Services,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.170Z
Kalmeshwar Industrial And Security Service,+,4.0,16 Ratings,"Court Circle Neeligin Road Hubli, Hubli",,08401237168,Bouncer Services; Armed Security Services; Bodyguard,true,true,false,true,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.170Z
GRPS SECURITY AND FACILITY MANAGEMENT SERVICE PVT.LTD,+,4.8,24 Ratings,"Gandhi  Nagar Gokul Road, Hubli",,08490086960,"Registration-ESIC, EPFO, GST, PSARA Licence.; Facility Management; Bodyguard",true,true,false,false,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.170Z
Royal Security Force and Allied Services,+,4.2,97 Ratings,"PUDI MAIN ROAD V.l.puram, Rajahmundry",,08128274453,Bodyguard; Bouncer Services,true,true,false,false,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.170Z
Lion Heart Force,+,4.4,52 Ratings,"Stand Ashram Road Bijapur City, Bijapur-Karnataka",,08734976472,Bodyguard; Armed Bodyguard; Bouncer Services,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.170Z
Lion Security Guard & Manpower Agency,L,4.0,3 Ratings,"Opp Basva Pu College Sedam Road, Gulbarga",,08904246083,Bodyguard; Armed Security Services; Bouncer Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.170Z
Manish Man Power Agency,+,3.9,99 Ratings,"PWD Quarters Old Jewargi Road, Gulbarga",,,Offers Training Program; Armed Security Services,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
Cyber Crime Helpline LLP,+,4.2,"4,120 Ratings","Kondhwa Khurd, Pune",,,Cyber Security Services; Security Services,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
Helik Advisory Ltd,+,4.4,70 Ratings,"Mumbai Central, Mumbai",,09845242125,Security Services; Handwriting Experts,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
YLALA SECURITY & MANPOWER PRIVATE LIMITED,+,4.6,69 Ratings,"Bhandara Road Bagadganj, Nagpur",,08511796849,Atm Security Guard; Home Security Guard; Background Verification,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
Bombay Forensic,+,4.1,401 Ratings,"Modi Street Fort, Mumbai",,,,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
Sandhu Security Service,S,3.0,2 Ratings,"Stand Vadodara Mahanagar Palika, Vadodara",,09035041846,Bodyguard; Bouncer Services; Armed Security Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
Tec Materials Testing Lab,+,4.6,121 Ratings,"Chakkargadh Road Chakkargadh, Amreli",,,Industrial; Building,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
Hindustan Security Service,H,4.4,36 Ratings,"Mega Mall Ambedkarnagar, Surendra Nagar-Gujarat",,07405935633,Bodyguard; Bouncer Services; Armed Security Services,true,true,false,false,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
United Security Service,+,4.6,108 Ratings,"Office No. 418 Yagnik Road, Rajkot",,08401607590,,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
National Protective Security Services,+,3.9,26 Ratings,"Tata Kandra Main Road Gamharia, Jamshedpur",,09980106281,Female Security; Security; Guard Dog Security,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
VICTUS SECURITY & MANSOURCE PVT LTD,V,4.3,34 Ratings,"Khelgaon Hotwar, Ranchi",,07801998519,Bodyguard; Bouncer Services; Armed Security Services,true,true,false,false,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
Rajpoot Security Gaurd Services,R,4.1,15 Ratings,"Deva Road Malhaur, Lucknow",,08867842107,Bodyguard; Armed Security Services,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
Aastha Security Services,+,4.5,43 Ratings,"Gt Road Sarsol, Aligarh",,07041451342,,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
Crown Security Service,+,4.2,76 Ratings,"Mathura Road Sasni Gate, Aligarh",,08128145354,Bodyguard; Armed Bodyguard; Bouncer Services,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
Lagarda Security Services Private Limited,L,4.4,7 Ratings,"Dharam Colony Gurgaon, Gurgaon",,08904987080,PSO Cum Driver Services; Bouncer Services; Armed Security Services,true,true,false,false,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
Rajput Protection Service Pvt Ltd,+,4.2,18 Ratings,"Shyam Park Extension, Sahibabad",,08296592872,Bouncer Services; Armed Security Services,true,true,false,false,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
Planwey Global Services Pvt. Ltd.,+,3.8,74 Ratings,"Sector 62 Noida Sector 63, Noida",,09606219415,,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
Asap Ifm Services India Private Limited,A,4.6,7 Ratings,"Sector 55 Sushant Lok Phase 2, Gurgaon",,09054474785,Bouncer Services; Armed Security Services,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.171Z
GOLDEN TRIANGLE SECURITY SERVICES PVT. LTD.,+,4.1,119 Ratings,"Amrik Singh Road Bhatinda City, Bhatinda",,08460564776,Bodyguard; Lost Device Tracking; Bouncer Services,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
APS Security Services And Labour Contrac,A,4.5,6 Ratings,"Houser Road Malur, Kolar",,,Security Services For Residence; Security Services,true,true,false,false,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Itc Security Group,I,3.7,7 Ratings,"Housur Mmain Road Malur, Kolar",,,Security Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Force 18 Academy And Security Services Pvt Ltd,F,4.6,5 Ratings,"Kadaburu Road Kadabur, Kolar",,,Security Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Sunrise Facility Services,S,5.0,3 Ratings,"Bangarpete Main Road Kolar Fort, Kolar",,,Security Services; Security Guard Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Luucy Angles Bangalore,L,4.3,3 Ratings,"Road Nidaramangala, Kolar",,,Security Services; Security Escort Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Intellivision Networks Private Limited,I,5.0,2 Ratings,"Mallur Road Malur, Kolar",,,Company Authorised Dealer,true,true,false,false,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Sri Vinayaka Roadways,S,4.5,2 Ratings,"Kolar Extension, Kolar",,,Security Services; Security Escort Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
PMP Security Management & Service,+,5.0,1 Ratings,"M B Main Road Kolar Fort, Kolar",,,Bouncer Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Sv Security sarves,S,4.5,1 Ratings,"Kalyana Mantapa Road, Kolar",,,Security Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
C K Road Lines,C,4.5,1 Ratings,"Chikkaballapura Katamachnahalli, Chintamani",,,Security Services; Security Escort Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Action Commandos Security System,A,5.0,1 Ratings,"Hoskote, Bangalore",,,Security Services; Security Services For Office,false,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Dhanush Detective Security Services,D,3.0,2 Ratings,"Main Road Narayanapura, Bangalore",,,Bodyguard,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Aishwarya Security Services,A,5.0,1 Ratings,"Kr Beedhi Melinpete Hoskote, Bangalore",,,Security Services,false,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Hitech World Young Needs Managements Services,H,4.9,9 Ratings,"MV Extension Hoskote, Bangalore",,,Bouncer Services; Armed Security Services,true,true,false,true,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Radar Security Services,R,4.5,1 Ratings,"Kr Road Hoskote, Bangalore",,,Bouncer Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Sp Security Forces,+,3.7,3 Ratings,"Sidlaghatta, Chickballapur",,,Bouncer Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Spartans Security Agencies,S,5.0,1 Ratings,"Sameerapuram KG nagar Chamrajpet, Bangalore",,,Security Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Sri Velmurugan Earthmovers,S,4.5,4 Ratings,"Dasarlapalli, Chittoor",,,Security Services; Security Escort Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Icon India Facilities Management Services,I,4.6,3 Ratings,"Sai Layout Shirdi Sai Layout, Bangalore",,,Security Services; Security Services For Guard,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Nc Security Services,+,5.0,2 Ratings,"Samethanahalli Whitefield, Bangalore",,,Security Services; Flag Retailers,true,true,false,false,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Gk Management Protection Force,G,4.0,2 Ratings,"Kalidasa Road Kannamangala, Bangalore",,,Security Services; Security Services For Guard,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
SPS Protection Services,+,4.0,16 Ratings,"Virgonagar Post Virgonagar, Bangalore",,,Bouncer Services; Armed Security Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Ga Facility Management,G,4.3,3 Ratings,"Thirumalashettyhalli, Bangalore",,,Security Services,false,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Eagle Facility Management Services,E,4.5,4 Ratings,"Mina Road Channasandra, Bangalore",,,Security Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Mokshith Security And Service,M,4.0,6 Ratings,"Sankarapura Main Road Kadugodi, Bangalore",,,Bodyguard,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
Mokshith Security Services,M,4.0,6 Ratings,"Whitefield, Bangalore",,,Security Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.172Z
PS Security & Facility Services,+,3.4,7 Ratings,"Ramaiah  Garden Whitefield, Bangalore",,,Security Services For Gate; Security Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.173Z
Platinum Cctv,P,4.5,4 Ratings,"Bidare Agraha, Bangalore",,,Security Services,false,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.173Z
Civilian Securities,C,5.0,2 Ratings,"Bapuji Circle Kadugodi, Bangalore",,,Security Services For Factory; Security Services,true,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.173Z
Probe Sources,P,4.3,3 Ratings,"Main Road Whitefield, Bangalore",,,Security Services; Security Services For Guard,false,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.173Z
Bs 4 Security Services,B,3.0,1 Ratings,"3rd Street Kadugodi, Bangalore",,,Security Services,false,true,false,false,false,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.173Z
Indian Facility Solutions Pvt Ltd,+,4.8,70 Ratings,"Sitaram Palya Whitefield, Bangalore",,,Detective; Background Verification; Security Guard,true,true,false,true,true,Security System,Find Top Security Services,Kolar for Trusted Protection,2025-06-03T17:59:09.173Z
